" Daily soil water balance output for Alfalfa in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for  Alfalfa at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","532.86","0.09","0.9","0.0","3.46","0.9","3.11","2.43","2.43","0.0","0.0","26.4","107.37","498.58","249.29","472.18","391.21","0.0","","2015.0","10.0","532.86","105.07","94.56","165.312472441"
"2015.0","10.0","2.0","275.0","532.86","0.09","0.9","0.0","4.19","0.9","3.77","0.0","0.0","0.0","0.0","30.17","107.37","498.58","249.29","468.41","391.21","0.0","","2015.0","11.0","532.86","47.51","50.03","87.4638641732"
"2015.0","10.0","3.0","276.0","532.86","0.09","0.9","0.0","4.26","0.9","3.83","0.0","0.0","0.0","0.0","34.0","107.37","498.58","249.29","464.58","391.21","0.0","","2015.0","12.0","532.86","32.91","37.43","65.4361870079"
"2015.0","10.0","4.0","277.0","532.86","0.09","0.9","0.0","3.51","0.9","3.16","0.0","0.0","0.0","0.0","37.16","107.37","498.58","249.29","461.42","391.21","0.0","","2016.0","1.0","532.86","33.63","39.11","68.3732106299"
"2015.0","10.0","5.0","278.0","532.86","0.09","0.9","0.0","3.33","0.9","3.0","0.0","0.0","0.0","0.0","40.16","107.37","498.58","249.29","458.42","391.21","0.0","","2016.0","2.0","532.86","60.32","56.53","98.8273484252"
"2015.0","10.0","6.0","279.0","532.86","0.09","0.9","0.0","3.33","0.9","3.0","0.0","0.0","0.0","0.0","43.16","107.37","498.58","249.29","455.42","391.21","0.0","","2016.0","3.0","532.86","82.48","79.39","138.791848425"
"2015.0","10.0","7.0","280.0","532.86","0.09","0.9","0.0","3.41","0.9","3.07","0.0","0.0","0.0","0.0","46.22","107.37","498.58","249.29","452.36","391.21","0.0","","2016.0","4.0","532.86","126.41","116.35","203.40636811"
"2015.0","10.0","8.0","281.0","532.86","0.09","0.9","0.0","3.55","0.9","3.2","0.0","0.0","0.0","0.0","49.42","107.37","498.58","249.29","449.16","391.21","0.0","","2016.0","5.0","532.86","157.45","142.86","249.751901575"
"2015.0","10.0","9.0","282.0","532.86","0.09","0.9","0.0","4.28","0.9","3.85","0.0","0.0","0.0","0.0","53.27","107.37","498.58","249.29","445.31","391.21","0.0","","2016.0","6.0","532.86","198.28","178.45","311.971348425"
"2015.0","10.0","10.0","283.0","532.86","0.09","0.9","0.0","3.98","0.9","3.58","0.0","0.0","0.0","0.0","56.85","107.37","498.58","249.29","441.73","391.21","0.0","","2016.0","7.0","532.86","205.37","184.85","323.160009843"
"2015.0","10.0","11.0","284.0","532.86","0.09","0.9","0.0","3.67","0.9","3.3","0.0","0.0","0.0","0.0","60.16","107.37","498.58","249.29","438.42","391.21","0.0","","2016.0","8.0","532.86","181.4","163.26","285.415759843"
"2015.0","10.0","12.0","285.0","532.86","0.09","0.9","0.0","3.66","0.9","3.29","0.0","0.0","0.0","0.0","63.45","107.37","498.58","249.29","435.13","391.21","0.0","","2016.0","9.0","532.86","136.5","122.85","214.769852362"
"2015.0","10.0","13.0","286.0","532.86","0.09","0.9","0.0","4.12","0.9","3.71","0.0","0.0","0.0","0.0","67.16","107.37","498.58","249.29","431.42","391.21","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","532.86","0.09","0.9","0.0","4.14","0.9","3.73","0.0","0.0","0.0","0.0","70.88","107.37","498.58","249.29","427.7","391.21","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","532.86","0.09","0.9","0.0","3.64","0.9","3.28","0.0","0.0","0.0","0.0","74.16","107.37","498.58","249.29","424.42","391.21","0.0","","","","","","",""
