" Daily soil water balance output for Native Vegetation in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Native Vegetation in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","18973.5867675","0.08","0.3","0.0","3.75","0.3","1.125","0.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","18973.5867675","109.35","43.9133","2733.57220406"
"2015.0","10.0","2.0","275.0","18973.5867675","0.08","0.3","0.0","4.73","0.3","1.419","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","18973.5867675","47.14","45.3848","2825.17204962"
"2015.0","10.0","3.0","276.0","18973.5867675","0.08","0.31","0.0","4.62","0.31","1.4322","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","18973.5867675","31.27","34.6602","2157.57320236"
"2015.0","10.0","4.0","277.0","18973.5867675","0.08","0.32","0.0","3.81","0.32","1.2192","1.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","18973.5867675","33.35","38.2332","2379.98995275"
"2015.0","10.0","5.0","278.0","18973.5867675","0.08","0.32","0.0","3.49","0.32","1.1168","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","18973.5867675","59.7","61.0428","3799.87159557"
"2015.0","10.0","6.0","279.0","18973.5867675","0.08","0.33","0.0","3.51","0.33","1.1583","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","18973.5867675","81.6","84.3997","5253.82228051"
"2015.0","10.0","7.0","280.0","18973.5867675","0.08","0.34","0.0","3.33","0.34","1.1322","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","18973.5867675","131.34","120.1158","7477.12451919"
"2015.0","10.0","8.0","281.0","18973.5867675","0.08","0.35","0.0","3.42","0.35","1.197","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","18973.5867675","165.1","114.8132","7147.04137879"
"2015.0","10.0","9.0","282.0","18973.5867675","0.08","0.35","0.0","4.16","0.35","1.456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","18973.5867675","205.77","102.8794","6404.17067746"
"2015.0","10.0","10.0","283.0","18973.5867675","0.08","0.36","0.0","4.24","0.36","1.5264","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","18973.5867675","221.67","85.029","5292.99576527"
"2015.0","10.0","11.0","284.0","18973.5867675","0.08","0.37","0.0","3.72","0.37","1.3764","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","18973.5867675","196.17","68.7272","4278.22011971"
"2015.0","10.0","12.0","285.0","18973.5867675","0.08","0.38","0.0","3.83","0.38","1.4554","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","18973.5867675","144.44","45.9113","2857.9463063"
"2015.0","10.0","13.0","286.0","18973.5867675","0.08","0.38","0.0","4.13","0.38","1.5694","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","18973.5867675","0.08","0.39","0.0","4.28","0.39","1.6692","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
