" Daily soil water balance output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","2969.63","0.08","0.0","0.0","3.66","0.08","0.31","0.47","0.47","0.0","0.0","22.03","28.8","409.65","204.83","387.62","380.85","0.0","","2015.0","10.0","2969.63","107.84","8.85","86.2244931102"
"2015.0","10.0","2.0","275.0","2969.63","0.08","0.0","0.0","4.58","0.08","0.38","0.0","0.0","0.0","0.0","22.41","28.8","409.65","204.83","387.24","380.85","0.0","","2015.0","11.0","2969.63","47.31","43.39","422.743588255"
"2015.0","10.0","3.0","276.0","2969.63","0.08","0.0","0.0","4.49","0.08","0.37","0.0","0.0","0.0","0.0","22.79","28.8","409.65","204.83","386.86","380.85","0.0","","2015.0","12.0","2969.63","31.35","34.63","337.395954396"
"2015.0","10.0","4.0","277.0","2969.63","0.08","0.0","0.0","3.72","0.08","0.31","0.83","0.83","0.0","0.0","22.27","28.8","409.65","204.83","387.38","380.85","0.0","","2016.0","1.0","2969.63","33.06","37.62","366.527167323"
"2015.0","10.0","5.0","278.0","2969.63","0.08","0.0","0.0","3.44","0.08","0.29","0.0","0.0","0.0","0.0","22.55","28.8","409.65","204.83","387.1","380.85","0.0","","2016.0","2.0","2969.63","59.04","43.89","427.615028543"
"2015.0","10.0","6.0","279.0","2969.63","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","22.84","28.8","409.65","204.83","386.81","380.85","0.0","","2016.0","3.0","2969.63","80.87","54.31","529.13584416"
"2015.0","10.0","7.0","280.0","2969.63","0.08","0.0","0.0","3.33","0.08","0.28","0.0","0.0","0.0","0.0","23.12","28.8","409.65","204.83","386.53","380.85","0.0","","2016.0","4.0","2969.63","130.44","55.01","535.955860564"
"2015.0","10.0","8.0","281.0","2969.63","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","23.4","28.8","409.65","204.83","386.25","380.85","0.0","","2016.0","5.0","2969.63","162.51","37.65","366.81945374"
"2015.0","10.0","9.0","282.0","2969.63","0.08","0.0","0.0","4.18","0.08","0.35","0.0","0.0","0.0","0.0","23.75","28.8","409.65","204.83","385.9","380.85","0.0","","2016.0","6.0","2969.63","202.95","157.77","1537.1342687"
"2015.0","10.0","10.0","283.0","2969.63","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","24.09","28.8","409.65","204.83","385.56","380.85","0.0","","2016.0","7.0","2969.63","216.37","227.19","2213.48503839"
"2015.0","10.0","11.0","284.0","2969.63","0.08","0.0","0.0","3.68","0.08","0.3","0.0","0.0","0.0","0.0","24.39","28.8","409.65","204.83","385.26","380.85","0.0","","2016.0","8.0","2969.63","191.21","160.08","1559.64032283"
"2015.0","10.0","12.0","285.0","2969.63","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","24.7","28.8","409.65","204.83","384.95","380.85","0.0","","2016.0","9.0","2969.63","141.73","14.52","141.466625984"
"2015.0","10.0","13.0","286.0","2969.63","0.08","0.0","0.0","4.1","0.08","0.34","0.0","0.0","0.0","0.0","25.04","28.8","409.65","204.83","384.61","380.85","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","2969.63","0.08","0.0","0.0","4.27","0.08","0.35","0.0","0.0","0.0","0.0","25.39","28.8","409.65","204.83","384.26","380.85","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","2969.63","0.08","0.0","0.0","3.73","0.08","0.31","0.0","0.0","0.0","0.0","25.69","28.8","409.65","204.83","383.96","380.85","0.0","","","","","","",""
