" Daily soil water balance output for Potatoes in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Potatoes in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","594.68","0.08","0.0","0.0","3.68","0.08","0.31","0.46","0.46","0.0","0.0","20.37","25.65","208.48","104.24","188.12","182.83","0.0","","2015.0","10.0","594.68","108.61","8.82","17.2082598425"
"2015.0","10.0","2.0","275.0","594.68","0.08","0.0","0.0","4.58","0.08","0.38","0.02","0.02","0.0","0.0","20.73","25.65","208.48","104.24","187.76","182.83","0.0","","2015.0","11.0","594.68","47.16","47.36","92.4017217848"
"2015.0","10.0","3.0","276.0","594.68","0.08","0.0","0.0","4.53","0.08","0.37","0.0","0.0","0.0","0.0","21.1","25.65","208.48","104.24","187.38","182.83","0.0","","2015.0","12.0","594.68","31.9","36.1","70.4329002625"
"2015.0","10.0","4.0","277.0","594.68","0.08","0.0","0.0","3.67","0.08","0.3","0.82","0.82","0.0","0.0","20.58","25.65","208.48","104.24","187.9","182.83","0.0","","2016.0","1.0","594.68","33.72","38.94","75.9738818898"
"2015.0","10.0","5.0","278.0","594.68","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","20.87","25.65","208.48","104.24","187.61","182.83","0.0","","2016.0","2.0","594.68","60.04","44.42","86.6656351706"
"2015.0","10.0","6.0","279.0","594.68","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","21.16","25.65","208.48","104.24","187.33","182.83","0.0","","2016.0","3.0","594.68","82.15","55.08","107.463826772"
"2015.0","10.0","7.0","280.0","594.68","0.08","0.0","0.0","3.38","0.08","0.28","0.0","0.0","0.0","0.0","21.43","25.65","208.48","104.24","187.05","182.83","0.0","","2016.0","4.0","594.68","130.95","92.46","180.394070866"
"2015.0","10.0","8.0","281.0","594.68","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","21.72","25.65","208.48","104.24","186.76","182.83","0.0","","2016.0","5.0","594.68","164.12","140.29","273.712786089"
"2015.0","10.0","9.0","282.0","594.68","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","22.07","25.65","208.48","104.24","186.42","182.83","0.0","","2016.0","6.0","594.68","207.59","221.15","431.474678478"
"2015.0","10.0","10.0","283.0","594.68","0.08","0.0","0.0","4.21","0.08","0.34","0.0","0.0","0.0","0.0","22.41","25.65","208.48","104.24","186.07","182.83","0.0","","2016.0","7.0","594.68","220.88","242.94","473.988055118"
"2015.0","10.0","11.0","284.0","594.68","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","22.72","25.65","208.48","104.24","185.76","182.83","0.0","","2016.0","8.0","594.68","195.62","176.87","345.082190289"
"2015.0","10.0","12.0","285.0","594.68","0.08","0.0","0.0","3.79","0.08","0.31","0.0","0.0","0.0","0.0","23.03","25.65","208.48","104.24","185.46","182.83","0.0","","2016.0","9.0","594.68","143.85","12.42","24.2320393701"
"2015.0","10.0","13.0","286.0","594.68","0.08","0.0","0.0","4.16","0.08","0.34","0.0","0.0","0.0","0.0","23.37","25.65","208.48","104.24","185.12","182.83","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","594.68","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","23.72","25.65","208.48","104.24","184.77","182.83","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","594.68","0.08","0.0","0.0","3.77","0.08","0.31","0.0","0.0","0.0","0.0","24.02","25.65","208.48","104.24","184.46","182.83","0.0","","","","","","",""
