" Daily soil water balance output for Fallow in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Fallow in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","11382.15051","0.08","0.08","0.0","3.68","0.08","0.2944","0.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","11382.15051","108.61","8.6888","324.465975562"
"2015.0","10.0","2.0","275.0","11382.15051","0.08","0.08","0.0","4.58","0.08","0.3664","0.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","11382.15051","47.16","47.3947","1769.86092118"
"2015.0","10.0","3.0","276.0","11382.15051","0.08","0.08","0.0","4.53","0.08","0.3624","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","11382.15051","31.9","36.1361","1349.43086957"
"2015.0","10.0","4.0","277.0","11382.15051","0.08","0.08","0.0","3.67","0.08","0.2936","0.82","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","11382.15051","33.72","38.9044","1452.8075338"
"2015.0","10.0","5.0","278.0","11382.15051","0.08","0.08","0.0","3.44","0.08","0.2752","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","11382.15051","60.04","44.3954","1657.85802084"
"2015.0","10.0","6.0","279.0","11382.15051","0.08","0.08","0.0","3.48","0.08","0.2784","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","11382.15051","82.15","55.0931","2057.34237619"
"2015.0","10.0","7.0","280.0","11382.15051","0.08","0.08","0.0","3.38","0.08","0.2704","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","11382.15051","130.95","75.245","2809.87504962"
"2015.0","10.0","8.0","281.0","11382.15051","0.08","0.08","0.0","3.47","0.08","0.2776","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","11382.15051","164.12","47.1992","1762.56036205"
"2015.0","10.0","9.0","282.0","11382.15051","0.08","0.08","0.0","4.25","0.08","0.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","11382.15051","207.59","32.0942","1198.49414337"
"2015.0","10.0","10.0","283.0","11382.15051","0.08","0.08","0.0","4.21","0.08","0.3368","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","11382.15051","220.88","25.4041","948.665648855"
"2015.0","10.0","11.0","284.0","11382.15051","0.08","0.08","0.0","3.76","0.08","0.3008","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","11382.15051","195.62","18.651","696.484544495"
"2015.0","10.0","12.0","285.0","11382.15051","0.08","0.08","0.0","3.79","0.08","0.3032","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","11382.15051","143.85","12.5206","467.556934631"
"2015.0","10.0","13.0","286.0","11382.15051","0.08","0.08","0.0","4.16","0.08","0.3328","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","11382.15051","0.08","0.08","0.0","4.3","0.08","0.344","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
