" Daily soil water balance output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","226.18","0.08","0.8","0.0","3.66","0.8","2.93","0.49","0.49","0.0","0.0","10.89","30.52","128.0","64.0","117.11","97.48","0.0","","2015.0","10.0","226.18","107.8","86.25","64.0027066929"
"2015.0","10.0","2.0","275.0","226.18","0.08","0.8","0.0","4.58","0.8","3.66","0.0","0.0","0.0","0.0","14.55","30.52","128.0","64.0","113.45","97.48","0.0","","2015.0","11.0","226.18","47.33","46.36","34.4019186352"
"2015.0","10.0","3.0","276.0","226.18","0.08","0.8","0.0","4.48","0.8","3.58","0.0","0.0","0.0","0.0","18.13","30.52","128.0","64.0","109.87","97.48","0.0","","2015.0","12.0","226.18","31.39","35.49","26.3357224409"
"2015.0","10.0","4.0","277.0","226.18","0.08","0.8","0.0","3.71","0.8","2.97","0.95","0.95","0.0","0.0","20.15","30.52","128.0","64.0","107.85","97.48","0.0","","2016.0","1.0","226.18","33.08","37.64","27.931152231"
"2015.0","10.0","5.0","278.0","226.18","0.08","0.8","0.0","3.44","0.8","2.75","0.0","0.0","0.0","0.0","22.9","30.52","128.0","64.0","105.1","97.48","0.0","","2016.0","2.0","226.18","59.1","51.67","38.3422591864"
"2015.0","10.0","6.0","279.0","226.18","0.08","0.8","0.0","3.46","0.8","2.77","0.0","0.0","0.0","0.0","25.67","30.52","128.0","64.0","102.33","97.48","0.0","","2016.0","3.0","226.18","80.9","71.76","53.2502519685"
"2015.0","10.0","7.0","280.0","226.18","0.08","0.8","0.0","3.33","0.8","2.66","0.0","0.0","0.0","0.0","28.34","30.52","128.0","64.0","99.66","97.48","0.0","","2016.0","4.0","226.18","130.37","106.43","78.9774849081"
"2015.0","10.0","8.0","281.0","226.18","0.08","0.8","0.0","3.41","0.8","2.73","0.0","0.0","0.0","0.0","0.0","30.52","128.0","64.0","128.0","97.48","31.06","","2016.0","5.0","226.18","162.46","130.0","96.467847769"
"2015.0","10.0","9.0","282.0","226.18","0.08","0.8","0.0","4.18","0.8","3.34","0.0","0.0","0.0","0.0","3.34","30.52","128.0","64.0","124.66","97.48","0.0","","2016.0","6.0","226.18","202.87","162.3","120.436397638"
"2015.0","10.0","10.0","283.0","226.18","0.08","0.8","0.0","4.12","0.8","3.3","0.0","0.0","0.0","0.0","6.64","30.52","128.0","64.0","121.36","97.48","0.0","","2016.0","7.0","226.18","216.1","172.87","128.279975722"
"2015.0","10.0","11.0","284.0","226.18","0.08","0.8","0.0","3.69","0.8","2.95","0.0","0.0","0.0","0.0","9.59","30.52","128.0","64.0","118.41","97.48","0.0","","2016.0","8.0","226.18","191.1","152.9","113.461030184"
"2015.0","10.0","12.0","285.0","226.18","0.08","0.8","0.0","3.76","0.8","3.01","0.0","0.0","0.0","0.0","12.6","30.52","128.0","64.0","115.4","97.48","0.0","","2016.0","9.0","226.18","141.7","113.38","84.1348044619"
"2015.0","10.0","13.0","286.0","226.18","0.08","0.8","0.0","4.1","0.8","3.28","0.0","0.0","0.0","0.0","15.88","30.52","128.0","64.0","112.12","97.48","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","226.18","0.08","0.8","0.0","4.27","0.8","3.42","0.0","0.0","0.0","0.0","19.3","30.52","128.0","64.0","108.7","97.48","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","226.18","0.08","0.8","0.0","3.73","0.8","2.98","0.0","0.0","0.0","0.0","22.28","30.52","128.0","64.0","105.72","97.48","0.0","","","","","","",""
