" Daily soil water balance output for Other Deciduous in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Other Deciduous in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","420.99","0.08","0.0","0.0","3.59","0.08","0.3","2.27","2.27","0.0","0.0","22.21","24.3","345.64","172.82","323.43","321.34","0.0","","2015.0","10.0","420.99","108.2","8.8","12.1545669291"
"2015.0","10.0","2.0","275.0","420.99","0.08","0.0","0.0","4.41","0.08","0.37","0.36","0.36","0.0","0.0","22.22","24.3","345.64","172.82","323.42","321.34","0.0","","2015.0","11.0","420.99","47.2","46.86","64.7230688976"
"2015.0","10.0","3.0","276.0","420.99","0.08","0.0","0.0","4.46","0.08","0.37","0.0","0.0","0.0","0.0","22.59","24.3","345.64","172.82","323.05","321.34","0.0","","2015.0","12.0","420.99","32.8","37.22","51.4082933071"
"2015.0","10.0","4.0","277.0","420.99","0.08","0.0","0.0","3.55","0.08","0.29","0.41","0.41","0.0","0.0","22.47","24.3","345.64","172.82","323.17","321.34","0.0","","2016.0","1.0","420.99","34.3","39.6","54.6955511811"
"2015.0","10.0","5.0","278.0","420.99","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","22.76","24.3","345.64","172.82","322.89","321.34","0.0","","2016.0","2.0","420.99","60.9","43.74","60.4137224409"
"2015.0","10.0","6.0","279.0","420.99","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","23.04","24.3","345.64","172.82","322.6","321.34","0.0","","2016.0","3.0","420.99","83.8","56.17","77.5820482283"
"2015.0","10.0","7.0","280.0","420.99","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","23.33","24.3","345.64","172.82","322.32","321.34","0.0","","2016.0","4.0","420.99","130.55","78.47","108.382825787"
"2015.0","10.0","8.0","281.0","420.99","0.08","0.0","0.0","3.53","0.08","0.29","0.0","0.0","0.0","0.0","23.62","24.3","345.64","172.82","322.03","321.34","0.0","","2016.0","5.0","420.99","164.12","134.91","186.337798228"
"2015.0","10.0","9.0","282.0","420.99","0.08","0.0","0.0","4.37","0.08","0.36","0.0","0.0","0.0","0.0","23.98","24.3","345.64","172.82","321.67","321.34","0.0","","2016.0","6.0","420.99","209.37","217.75","300.756471457"
"2015.0","10.0","10.0","283.0","420.99","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","24.32","24.3","345.64","172.82","321.32","321.34","0.0","","2016.0","7.0","420.99","219.93","248.54","343.283643701"
"2015.0","10.0","11.0","284.0","420.99","0.08","0.0","0.0","3.82","0.08","0.31","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","2016.0","8.0","420.99","194.47","207.79","286.999711614"
"2015.0","10.0","12.0","285.0","420.99","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","24.61","24.3","345.64","172.82","321.04","321.34","0.0","","2016.0","9.0","420.99","143.12","71.55","98.8249163386"
"2015.0","10.0","13.0","286.0","420.99","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","420.99","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","24.65","24.3","345.64","172.82","321.0","321.34","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","420.99","0.08","0.0","0.0","3.81","0.08","0.31","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","",""
