" Daily soil water balance output for Olives in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Olives in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1418.65","0.08","0.7","0.0","3.59","0.7","2.51","2.27","2.27","0.0","0.0","10.13","87.15","395.02","197.51","384.89","307.87","0.0","","2015.0","10.0","1418.65","108.2","75.77","352.661123688"
"2015.0","10.0","2.0","275.0","1418.65","0.08","0.7","0.0","4.41","0.7","3.09","0.36","0.36","0.0","0.0","12.85","87.15","395.02","197.51","382.17","307.87","0.0","","2015.0","11.0","1418.65","47.2","48.27","224.666126969"
"2015.0","10.0","3.0","276.0","1418.65","0.08","0.7","0.0","4.46","0.7","3.12","0.0","0.0","0.0","0.0","15.98","87.15","395.02","197.51","379.04","307.87","0.0","","2015.0","12.0","1418.65","32.8","37.22","173.235410105"
"2015.0","10.0","4.0","277.0","1418.65","0.08","0.7","0.0","3.55","0.7","2.49","0.41","0.41","0.0","0.0","18.05","87.15","395.02","197.51","376.97","307.87","0.0","","2016.0","1.0","1418.65","34.3","39.6","184.312795276"
"2015.0","10.0","5.0","278.0","1418.65","0.08","0.7","0.0","3.41","0.7","2.39","0.0","0.0","0.0","0.0","20.44","87.15","395.02","197.51","374.58","307.87","0.0","","2016.0","2.0","1418.65","60.9","48.58","226.108979659"
"2015.0","10.0","6.0","279.0","1418.65","0.08","0.7","0.0","3.44","0.7","2.41","0.0","0.0","0.0","0.0","22.85","87.15","395.02","197.51","372.17","307.87","0.0","","2016.0","3.0","1418.65","83.8","68.88","320.592559055"
"2015.0","10.0","7.0","280.0","1418.65","0.08","0.7","0.0","3.44","0.7","2.41","0.0","0.0","0.0","0.0","25.25","87.15","395.02","197.51","369.77","307.87","0.0","","2016.0","4.0","1418.65","130.55","97.76","455.010577428"
"2015.0","10.0","8.0","281.0","1418.65","0.08","0.7","0.0","3.53","0.7","2.47","0.0","0.0","0.0","0.0","27.73","87.15","395.02","197.51","367.3","307.87","0.0","","2016.0","5.0","1418.65","164.12","117.92","548.842545932"
"2015.0","10.0","9.0","282.0","1418.65","0.08","0.7","0.0","4.37","0.7","3.06","0.0","0.0","0.0","0.0","30.78","87.15","395.02","197.51","364.24","307.87","0.0","","2016.0","6.0","1418.65","209.37","146.59","682.283147966"
"2015.0","10.0","10.0","283.0","1418.65","0.08","0.7","0.0","4.22","0.7","2.95","0.0","0.0","0.0","0.0","33.74","87.15","395.02","197.51","361.28","307.87","0.0","","2016.0","7.0","1418.65","219.93","153.96","716.585807087"
"2015.0","10.0","11.0","284.0","1418.65","0.08","0.7","0.0","3.82","0.7","2.67","0.0","0.0","0.0","0.0","36.41","87.15","395.02","197.51","358.61","307.87","0.0","","2016.0","8.0","1418.65","194.47","136.12","633.551961942"
"2015.0","10.0","12.0","285.0","1418.65","0.08","0.7","0.0","3.76","0.7","2.63","0.0","0.0","0.0","0.0","39.04","87.15","395.02","197.51","355.98","307.87","0.0","","2016.0","9.0","1418.65","143.12","100.24","466.55339895"
"2015.0","10.0","13.0","286.0","1418.65","0.08","0.7","0.0","4.18","0.7","2.93","0.0","0.0","0.0","0.0","41.97","87.15","395.02","197.51","353.05","307.87","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1418.65","0.08","0.7","0.0","4.25","0.7","2.98","0.0","0.0","0.0","0.0","44.95","87.15","395.02","197.51","350.08","307.87","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1418.65","0.08","0.7","0.0","3.81","0.7","2.67","0.0","0.0","0.0","0.0","47.61","87.15","395.02","197.51","347.41","307.87","0.0","","","","","","",""
