" Daily soil water balance output for Fallow in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Fallow in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","8898.2263395","0.08","0.08","0.0","3.76","0.08","0.3008","0.31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","8898.2263395","109.58","8.7664","255.923265691"
"2015.0","10.0","2.0","275.0","8898.2263395","0.08","0.08","0.0","4.74","0.08","0.3792","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","8898.2263395","47.12","43.5958","1272.72078691"
"2015.0","10.0","3.0","276.0","8898.2263395","0.08","0.08","0.0","4.63","0.08","0.3704","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","8898.2263395","31.38","33.8991","989.638663075"
"2015.0","10.0","4.0","277.0","8898.2263395","0.08","0.08","0.0","3.8","0.08","0.304","2.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","8898.2263395","33.5","37.4597","1093.58559452"
"2015.0","10.0","5.0","278.0","8898.2263395","0.08","0.08","0.0","3.49","0.08","0.2792","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","8898.2263395","59.83","44.2822","1292.75931237"
"2015.0","10.0","6.0","279.0","8898.2263395","0.08","0.08","0.0","3.52","0.08","0.2816","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","8898.2263395","81.79","54.7215","1597.52064513"
"2015.0","10.0","7.0","280.0","8898.2263395","0.08","0.08","0.0","3.34","0.08","0.2672","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","8898.2263395","131.53","68.216","1991.47443561"
"2015.0","10.0","8.0","281.0","8898.2263395","0.08","0.08","0.0","3.43","0.08","0.2744","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","8898.2263395","165.62","41.2543","1204.36384146"
"2015.0","10.0","9.0","282.0","8898.2263395","0.08","0.08","0.0","4.18","0.08","0.3344","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","8898.2263395","206.91","30.7662","898.177858288"
"2015.0","10.0","10.0","283.0","8898.2263395","0.08","0.08","0.0","4.26","0.08","0.3408","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","8898.2263395","222.8","24.9475","728.308732299"
"2015.0","10.0","11.0","284.0","8898.2263395","0.08","0.08","0.0","3.74","0.08","0.2992","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","8898.2263395","197.3","18.6049","543.145049947"
"2015.0","10.0","12.0","285.0","8898.2263395","0.08","0.08","0.0","3.84","0.08","0.3072","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","8898.2263395","144.78","12.2942","358.91264522"
"2015.0","10.0","13.0","286.0","8898.2263395","0.08","0.08","0.0","4.14","0.08","0.3312","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","8898.2263395","0.08","0.08","0.0","4.29","0.08","0.3432","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
