" Daily soil water balance output for Potatoes in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Potatoes in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","3143.77","0.08","0.0","0.0","3.59","0.08","0.3","2.27","2.27","0.0","0.0","22.21","24.3","197.51","98.76","175.3","173.21","0.0","","2015.0","10.0","3143.77","108.2","8.8","90.7650131234"
"2015.0","10.0","2.0","275.0","3143.77","0.08","0.0","0.0","4.41","0.08","0.37","0.36","0.36","0.0","0.0","22.22","24.3","197.51","98.76","175.29","173.21","0.0","","2015.0","11.0","3143.77","47.2","46.86","483.323694882"
"2015.0","10.0","3.0","276.0","3143.77","0.08","0.0","0.0","4.46","0.08","0.37","0.0","0.0","0.0","0.0","22.59","24.3","197.51","98.76","174.92","173.21","0.0","","2015.0","12.0","3143.77","32.8","37.22","383.894748688"
"2015.0","10.0","4.0","277.0","3143.77","0.08","0.0","0.0","3.55","0.08","0.29","0.41","0.41","0.0","0.0","22.47","24.3","197.51","98.76","175.04","173.21","0.0","","2016.0","1.0","3143.77","34.3","39.6","408.442559055"
"2015.0","10.0","5.0","278.0","3143.77","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","22.76","24.3","197.51","98.76","174.75","173.21","0.0","","2016.0","2.0","3143.77","60.9","43.74","451.143372047"
"2015.0","10.0","6.0","279.0","3143.77","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","23.04","24.3","197.51","98.76","174.47","173.21","0.0","","2016.0","3.0","3143.77","83.8","56.17","579.348953084"
"2015.0","10.0","7.0","280.0","3143.77","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","23.33","24.3","197.51","98.76","174.19","173.21","0.0","","2016.0","4.0","3143.77","130.55","112.53","1160.65760531"
"2015.0","10.0","8.0","281.0","3143.77","0.08","0.0","0.0","3.53","0.08","0.29","0.0","0.0","0.0","0.0","23.62","24.3","197.51","98.76","173.89","173.21","0.0","","2016.0","5.0","3143.77","164.12","177.28","1828.50244619"
"2015.0","10.0","9.0","282.0","3143.77","0.08","0.0","0.0","4.37","0.08","0.36","0.0","0.0","0.0","0.0","23.98","24.3","197.51","98.76","173.54","173.21","0.0","","2016.0","6.0","3143.77","209.37","202.19","2085.42931857"
"2015.0","10.0","10.0","283.0","3143.77","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","24.32","24.3","197.51","98.76","173.19","173.21","0.0","","2016.0","7.0","3143.77","219.93","30.35","313.036153215"
"2015.0","10.0","11.0","284.0","3143.77","0.08","0.0","0.0","3.82","0.08","0.31","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","2016.0","8.0","3143.77","194.47","19.16","197.620187664"
"2015.0","10.0","12.0","285.0","3143.77","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","24.61","24.3","197.51","98.76","172.9","173.21","0.0","","2016.0","9.0","3143.77","143.12","12.66","130.577848425"
"2015.0","10.0","13.0","286.0","3143.77","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","3143.77","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","24.65","24.3","197.51","98.76","172.86","173.21","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","3143.77","0.08","0.0","0.0","3.81","0.08","0.31","0.0","0.0","0.0","0.0","24.3","24.3","197.51","98.76","173.21","173.21","0.0","","","","","","",""
