" Daily soil water balance output for Other Deciduous in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Other Deciduous in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","132.1","0.08","0.94","0.0","3.66","0.94","3.45","0.47","0.47","0.0","0.0","106.91","109.73","438.91","219.46","332.0","329.18","0.0","","2015.0","10.0","132.1","107.84","94.68","41.0342125984"
"2015.0","10.0","2.0","275.0","132.1","0.08","0.94","0.0","4.58","0.94","4.3","0.0","0.0","0.0","0.0","0.0","109.73","438.91","219.46","438.91","329.18","111.21","","2015.0","11.0","132.1","47.31","44.77","19.4032709974"
"2015.0","10.0","3.0","276.0","132.1","0.08","0.93","0.0","4.49","0.93","4.19","0.0","0.0","0.0","0.0","4.19","109.73","438.91","219.46","434.72","329.18","0.0","","2015.0","12.0","132.1","31.35","34.63","15.008605643"
"2015.0","10.0","4.0","277.0","132.1","0.08","0.93","0.0","3.72","0.93","3.46","0.83","0.83","0.0","0.0","6.82","109.73","438.91","219.46","432.09","329.18","0.0","","2016.0","1.0","132.1","33.06","37.62","16.3044685039"
"2015.0","10.0","5.0","278.0","132.1","0.08","0.92","0.0","3.44","0.92","3.18","0.0","0.0","0.0","0.0","10.01","109.73","438.91","219.46","428.91","329.18","0.0","","2016.0","2.0","132.1","59.04","43.89","19.0218799213"
"2015.0","10.0","6.0","279.0","132.1","0.08","0.92","0.0","3.47","0.92","3.19","0.0","0.0","0.0","0.0","13.2","109.73","438.91","219.46","425.71","329.18","0.0","","2016.0","3.0","132.1","80.87","54.31","23.5378969816"
"2015.0","10.0","7.0","280.0","132.1","0.08","0.92","0.0","3.33","0.92","3.05","0.0","0.0","0.0","0.0","16.25","109.73","438.91","219.46","422.66","329.18","0.0","","2016.0","4.0","132.1","130.44","72.86","31.5774475066"
"2015.0","10.0","8.0","281.0","132.1","0.08","0.91","0.0","3.41","0.91","3.11","0.0","0.0","0.0","0.0","19.36","109.73","438.91","219.46","419.56","329.18","0.0","","2016.0","5.0","132.1","162.51","123.84","53.6721259843"
"2015.0","10.0","9.0","282.0","132.1","0.08","0.91","0.0","4.18","0.91","3.79","0.0","0.0","0.0","0.0","23.14","109.73","438.91","219.46","415.77","329.18","0.0","","2016.0","6.0","132.1","202.95","194.29","84.205082021"
"2015.0","10.0","10.0","283.0","132.1","0.08","0.9","0.0","4.12","0.9","3.72","0.0","0.0","0.0","0.0","26.86","109.73","438.91","219.46","412.05","329.18","0.0","","2016.0","7.0","132.1","216.37","227.17","98.4552395013"
"2015.0","10.0","11.0","284.0","132.1","0.08","0.9","0.0","3.68","0.9","3.3","0.0","0.0","0.0","0.0","30.16","109.73","438.91","219.46","408.75","329.18","0.0","","2016.0","8.0","132.1","191.21","200.76","87.0091732283"
"2015.0","10.0","12.0","285.0","132.1","0.08","0.89","0.0","3.76","0.89","3.36","0.0","0.0","0.0","0.0","33.52","109.73","438.91","219.46","405.39","329.18","0.0","","2016.0","9.0","132.1","141.73","143.28","62.0974015748"
"2015.0","10.0","13.0","286.0","132.1","0.08","0.89","0.0","4.1","0.89","3.64","0.0","0.0","0.0","0.0","37.16","109.73","438.91","219.46","401.75","329.18","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","132.1","0.08","0.88","0.0","4.27","0.88","3.77","0.0","0.0","0.0","0.0","40.93","109.73","438.91","219.46","397.98","329.18","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","132.1","0.08","0.88","0.0","3.73","0.88","3.28","0.0","0.0","0.0","0.0","44.21","109.73","438.91","219.46","394.7","329.18","0.0","","","","","","",""
