" Daily soil water balance output for Sunflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Sunflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","149.0","0.08","0.0","0.0","3.76","0.08","0.31","0.31","0.31","0.0","0.0","22.36","22.5","320.04","160.02","297.68","297.54","0.0","","2015.0","10.0","149.0","109.58","8.82","4.31161417323"
"2015.0","10.0","2.0","275.0","149.0","0.08","0.0","0.0","4.74","0.08","0.39","0.0","0.0","0.0","0.0","22.75","22.5","320.04","160.02","297.29","297.54","0.0","","2015.0","11.0","149.0","47.12","43.6","21.313648294"
"2015.0","10.0","3.0","276.0","149.0","0.08","0.0","0.0","4.63","0.08","0.38","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","2015.0","12.0","149.0","31.38","33.9","16.5718503937"
"2015.0","10.0","4.0","277.0","149.0","0.08","0.0","0.0","3.8","0.08","0.31","2.04","2.04","0.0","0.0","20.77","22.5","320.04","160.02","299.27","297.54","0.0","","2016.0","1.0","149.0","33.5","37.43","18.2974737533"
"2015.0","10.0","5.0","278.0","149.0","0.08","0.0","0.0","3.49","0.08","0.29","0.0","0.0","0.0","0.0","21.06","22.5","320.04","160.02","298.98","297.54","0.0","","2016.0","2.0","149.0","59.83","44.27","21.6411745407"
"2015.0","10.0","6.0","279.0","149.0","0.08","0.0","0.0","3.52","0.08","0.29","0.0","0.0","0.0","0.0","21.35","22.5","320.04","160.02","298.69","297.54","0.0","","2016.0","3.0","149.0","81.79","54.75","26.7642716535"
"2015.0","10.0","7.0","280.0","149.0","0.08","0.0","0.0","3.34","0.08","0.27","0.0","0.0","0.0","0.0","21.62","22.5","320.04","160.02","298.42","297.54","0.0","","2016.0","4.0","149.0","131.53","68.31","33.393011811"
"2015.0","10.0","8.0","281.0","149.0","0.08","0.0","0.0","3.43","0.08","0.28","0.0","0.0","0.0","0.0","21.9","22.5","320.04","160.02","298.14","297.54","0.0","","2016.0","5.0","149.0","165.62","51.52","25.1853018373"
"2015.0","10.0","9.0","282.0","149.0","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","22.24","22.5","320.04","160.02","297.8","297.54","0.0","","2016.0","6.0","149.0","206.91","184.31","90.0990485564"
"2015.0","10.0","10.0","283.0","149.0","0.08","0.0","0.0","4.26","0.08","0.35","0.0","0.0","0.0","0.0","22.58","22.5","320.04","160.02","297.46","297.54","0.0","","2016.0","7.0","149.0","222.8","245.05","119.791502625"
"2015.0","10.0","11.0","284.0","149.0","0.08","0.0","0.0","3.74","0.08","0.3","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","2016.0","8.0","149.0","197.3","162.98","79.6719816273"
"2015.0","10.0","12.0","285.0","149.0","0.08","0.0","0.0","3.84","0.08","0.31","0.0","0.0","0.0","0.0","22.81","22.5","320.04","160.02","297.23","297.54","0.0","","2016.0","9.0","149.0","144.78","13.93","6.80961286089"
"2015.0","10.0","13.0","286.0","149.0","0.08","0.0","0.0","4.14","0.08","0.33","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","149.0","0.08","0.0","0.0","4.29","0.08","0.35","0.0","0.0","0.0","0.0","22.85","22.5","320.04","160.02","297.19","297.54","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","149.0","0.08","0.0","0.0","3.77","0.08","0.3","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
