" Daily soil water balance output for Almonds in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almonds in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","26.91","0.09","1.15","0.0","3.46","1.15","3.98","1.26","1.26","0.0","0.0","132.21","140.12","560.48","280.24","428.27","420.36","0.0","","2015.0","10.0","26.91","105.45","104.19","9.19866437008"
"2015.0","10.0","2.0","275.0","26.91","0.09","1.15","0.0","4.31","1.15","4.96","0.01","0.01","0.0","0.0","137.16","140.12","560.48","280.24","423.32","420.36","0.0","","2015.0","11.0","26.91","47.37","48.27","4.26163287402"
"2015.0","10.0","3.0","276.0","26.91","0.09","1.15","0.0","4.3","1.15","4.94","0.0","0.0","0.0","0.0","0.0","140.12","560.48","280.24","560.48","420.36","142.1","","2015.0","12.0","26.91","32.3","36.69","3.23926476378"
"2015.0","10.0","4.0","277.0","26.91","0.08","1.15","0.0","3.53","1.15","4.06","0.23","0.23","0.0","0.0","3.83","140.12","560.48","280.24","556.65","420.36","0.0","","2016.0","1.0","26.91","33.38","38.92","3.43614566929"
"2015.0","10.0","5.0","278.0","26.91","0.08","1.15","0.0","3.35","1.15","3.85","0.0","0.0","0.0","0.0","7.68","140.12","560.48","280.24","552.79","420.36","0.0","","2016.0","2.0","26.91","59.73","46.02","4.06298622047"
"2015.0","10.0","6.0","279.0","26.91","0.08","1.15","0.0","3.36","1.15","3.86","0.0","0.0","0.0","0.0","11.55","140.12","560.48","280.24","548.93","420.36","0.0","","2016.0","3.0","26.91","81.77","60.86","5.37317125984"
"2015.0","10.0","7.0","280.0","26.91","0.08","1.15","0.0","3.38","1.15","3.89","0.0","0.0","0.0","0.0","15.43","140.12","560.48","280.24","545.04","420.36","0.0","","2016.0","4.0","26.91","127.51","93.28","8.2354488189"
"2015.0","10.0","8.0","281.0","26.91","0.08","1.15","0.0","3.48","1.15","4.0","0.0","0.0","0.0","0.0","19.44","140.12","560.48","280.24","541.04","420.36","0.0","","2016.0","5.0","26.91","157.74","137.82","12.167769685"
"2015.0","10.0","9.0","282.0","26.91","0.08","1.15","0.0","4.25","1.15","4.89","0.0","0.0","0.0","0.0","24.32","140.12","560.48","280.24","536.15","420.36","0.0","","2016.0","6.0","26.91","200.31","204.55","18.0591879921"
"2015.0","10.0","10.0","283.0","26.91","0.08","1.13","0.0","4.01","1.13","4.52","0.0","0.0","0.0","0.0","28.85","140.12","560.48","280.24","531.63","420.36","0.0","","2016.0","7.0","26.91","209.1","238.88","21.0900944882"
"2015.0","10.0","11.0","284.0","26.91","0.08","1.11","0.0","3.66","1.11","4.05","0.0","0.0","0.0","0.0","32.9","140.12","560.48","280.24","527.58","420.36","0.0","","2016.0","8.0","26.91","184.75","212.48","18.7593070866"
"2015.0","10.0","12.0","285.0","26.91","0.08","1.08","0.0","3.68","1.08","3.99","0.0","0.0","0.0","0.0","36.89","140.12","560.48","280.24","523.59","420.36","0.0","","2016.0","9.0","26.91","138.71","159.5","14.0818405512"
"2015.0","10.0","13.0","286.0","26.91","0.08","1.06","0.0","4.1","1.06","4.36","0.0","0.0","0.0","0.0","41.25","140.12","560.48","280.24","519.23","420.36","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","26.91","0.08","1.04","0.0","4.19","1.04","4.36","0.0","0.0","0.0","0.0","45.61","140.12","560.48","280.24","514.87","420.36","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","26.91","0.08","1.02","0.0","3.65","1.02","3.72","0.0","0.0","0.0","0.0","49.33","140.12","560.48","280.24","511.14","420.36","0.0","","","","","","",""
