" Daily soil water balance output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","875.57","0.08","0.79","0.0","3.68","0.79","2.9","0.46","0.46","0.0","0.0","11.1","28.5","231.65","115.82","220.55","203.15","0.0","","2015.0","10.0","875.57","108.61","48.91","140.499109908"
"2015.0","10.0","2.0","275.0","875.57","0.08","0.78","0.0","4.58","0.78","3.56","0.02","0.02","0.0","0.0","14.64","28.5","231.65","115.82","217.01","203.15","0.0","","2015.0","11.0","875.57","47.16","47.36","136.046572178"
"2015.0","10.0","3.0","276.0","875.57","0.08","0.76","0.0","4.53","0.76","3.46","0.0","0.0","0.0","0.0","18.1","28.5","231.65","115.82","213.55","203.15","0.0","","2015.0","12.0","875.57","31.9","36.1","103.701040026"
"2015.0","10.0","4.0","277.0","875.57","0.08","0.75","0.0","3.67","0.75","2.76","0.82","0.82","0.0","0.0","20.04","28.5","231.65","115.82","211.61","203.15","0.0","","2016.0","1.0","875.57","33.72","38.94","111.859238189"
"2015.0","10.0","5.0","278.0","875.57","0.08","0.74","0.0","3.44","0.74","2.55","0.0","0.0","0.0","0.0","22.59","28.5","231.65","115.82","209.06","203.15","0.0","","2016.0","2.0","875.57","60.04","44.42","127.601113517"
"2015.0","10.0","6.0","279.0","875.57","0.08","0.73","0.0","3.48","0.73","2.54","0.0","0.0","0.0","0.0","25.13","28.5","231.65","115.82","206.52","203.15","0.0","","2016.0","3.0","875.57","82.15","55.08","158.223082677"
"2015.0","10.0","7.0","280.0","875.57","0.08","0.72","0.0","3.38","0.72","2.43","0.0","0.0","0.0","0.0","27.56","28.5","231.65","115.82","204.09","203.15","0.0","","2016.0","4.0","875.57","130.95","75.35","216.450785761"
"2015.0","10.0","8.0","281.0","875.57","0.08","0.71","0.0","3.47","0.71","2.45","0.0","0.0","0.0","0.0","30.01","28.5","231.65","115.82","201.64","203.15","0.0","","2016.0","5.0","875.57","164.12","130.21","374.041895341"
"2015.0","10.0","9.0","282.0","875.57","0.08","0.69","0.0","4.25","0.69","2.95","0.0","0.0","0.0","0.0","32.96","28.5","231.65","115.82","198.69","203.15","0.0","","2016.0","6.0","875.57","207.59","218.79","628.497245079"
"2015.0","10.0","10.0","283.0","875.57","0.08","0.68","0.0","4.21","0.68","2.87","0.0","0.0","0.0","0.0","35.83","28.5","231.65","115.82","195.82","203.15","0.0","","2016.0","7.0","875.57","220.88","220.88","634.500989501"
"2015.0","10.0","11.0","284.0","875.57","0.08","0.67","0.0","3.76","0.67","2.52","0.0","0.0","0.0","0.0","38.35","28.5","231.65","115.82","193.3","203.15","0.0","","2016.0","8.0","875.57","195.62","195.62","561.938987533"
"2015.0","10.0","12.0","285.0","875.57","0.08","0.66","0.0","3.79","0.66","2.5","0.0","0.0","0.0","0.0","40.85","28.5","231.65","115.82","190.8","203.15","0.0","","2016.0","9.0","875.57","143.85","135.21","388.404920276"
"2015.0","10.0","13.0","286.0","875.57","0.08","0.65","0.0","4.16","0.65","2.69","0.0","0.0","0.0","0.0","43.54","28.5","231.65","115.82","188.11","203.15","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","875.57","0.08","0.64","0.0","4.3","0.64","2.73","0.0","0.0","0.0","0.0","46.27","28.5","231.65","115.82","185.38","203.15","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","875.57","0.08","0.62","0.0","3.77","0.62","2.35","0.0","0.0","0.0","0.0","48.62","28.5","231.65","115.82","183.03","203.15","0.0","","","","","","",""
