" Daily soil water balance output for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","7218.93","0.08","0.9","0.0","3.66","0.9","3.29","0.47","0.47","0.0","0.0","20.67","124.88","536.45","268.22","515.78","411.56","0.0","","2015.0","10.0","7218.93","107.84","97.04","2298.31025984"
"2015.0","10.0","2.0","275.0","7218.93","0.08","0.9","0.0","4.58","0.9","4.12","0.0","0.0","0.0","0.0","24.79","124.88","536.45","268.22","511.66","411.56","0.0","","2015.0","11.0","7218.93","47.31","48.02","1137.31305315"
"2015.0","10.0","3.0","276.0","7218.93","0.08","0.9","0.0","4.49","0.9","4.04","0.0","0.0","0.0","0.0","28.83","124.88","536.45","268.22","507.61","411.56","0.0","","2015.0","12.0","7218.93","31.35","35.78","847.41901378"
"2015.0","10.0","4.0","277.0","7218.93","0.08","0.9","0.0","3.72","0.9","3.35","0.83","0.83","0.0","0.0","31.35","124.88","536.45","268.22","505.1","411.56","0.0","","2016.0","1.0","7218.93","33.06","37.68","892.418905512"
"2015.0","10.0","5.0","278.0","7218.93","0.08","0.9","0.0","3.44","0.9","3.1","0.0","0.0","0.0","0.0","34.45","124.88","536.45","268.22","502.0","411.56","0.0","","2016.0","2.0","7218.93","59.04","55.77","1320.86524311"
"2015.0","10.0","6.0","279.0","7218.93","0.08","0.9","0.0","3.47","0.9","3.12","0.0","0.0","0.0","0.0","37.57","124.88","536.45","268.22","498.88","411.56","0.0","","2016.0","3.0","7218.93","80.87","77.54","1836.46926575"
"2015.0","10.0","7.0","280.0","7218.93","0.08","0.9","0.0","3.33","0.9","3.0","0.0","0.0","0.0","0.0","40.57","124.88","536.45","268.22","495.88","411.56","0.0","","2016.0","4.0","7218.93","130.44","118.66","2810.36165945"
"2015.0","10.0","8.0","281.0","7218.93","0.08","0.9","0.0","3.41","0.9","3.07","0.0","0.0","0.0","0.0","43.64","124.88","536.45","268.22","492.81","411.56","0.0","","2016.0","5.0","7218.93","162.51","146.29","3464.75482185"
"2015.0","10.0","9.0","282.0","7218.93","0.08","0.9","0.0","4.18","0.9","3.76","0.0","0.0","0.0","0.0","47.4","124.88","536.45","268.22","489.05","411.56","0.0","","2016.0","6.0","7218.93","202.95","182.66","4326.14748622"
"2015.0","10.0","10.0","283.0","7218.93","0.08","0.9","0.0","4.12","0.9","3.71","0.0","0.0","0.0","0.0","51.11","124.88","536.45","268.22","485.34","411.56","0.0","","2016.0","7.0","7218.93","216.37","194.74","4612.25206102"
"2015.0","10.0","11.0","284.0","7218.93","0.08","0.9","0.0","3.68","0.9","3.31","0.0","0.0","0.0","0.0","54.42","124.88","536.45","268.22","482.03","411.56","0.0","","2016.0","8.0","7218.93","191.21","172.1","4076.0428248"
"2015.0","10.0","12.0","285.0","7218.93","0.08","0.9","0.0","3.76","0.9","3.38","0.0","0.0","0.0","0.0","57.8","124.88","536.45","268.22","478.65","411.56","0.0","","2016.0","9.0","7218.93","141.73","127.56","3021.15062598"
"2015.0","10.0","13.0","286.0","7218.93","0.08","0.9","0.0","4.1","0.9","3.69","0.0","0.0","0.0","0.0","61.49","124.88","536.45","268.22","474.96","411.56","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","7218.93","0.08","0.9","0.0","4.27","0.9","3.84","0.0","0.0","0.0","0.0","65.34","124.88","536.45","268.22","471.11","411.56","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","7218.93","0.08","0.9","0.0","3.73","0.9","3.36","0.0","0.0","0.0","0.0","68.69","124.88","536.45","268.22","467.76","411.56","0.0","","","","","","",""
