" Daily soil water balance output for Walnuts in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","483.26","0.09","1.02","0.0","3.46","1.02","3.52","1.26","1.26","0.0","0.0","107.07","118.65","474.62","237.31","367.55","355.96","0.0","","2015.0","10.0","483.26","105.45","96.8","153.476272966"
"2015.0","10.0","2.0","275.0","483.26","0.09","1.01","0.0","4.31","1.01","4.35","0.01","0.01","0.0","0.0","111.41","118.65","474.62","237.31","363.2","355.96","0.0","","2015.0","11.0","483.26","47.37","48.6","77.0552362205"
"2015.0","10.0","3.0","276.0","483.26","0.09","1.0","0.0","4.3","1.0","4.31","0.0","0.0","0.0","0.0","115.73","118.65","474.62","237.31","358.89","355.96","0.0","","2015.0","12.0","483.26","32.3","36.69","58.1719468504"
"2015.0","10.0","4.0","277.0","483.26","0.08","1.0","0.0","3.53","1.0","3.52","0.23","0.23","0.0","0.0","0.0","118.65","474.62","237.31","474.62","355.96","119.01","","2016.0","1.0","483.26","33.38","38.92","61.7076089239"
"2015.0","10.0","5.0","278.0","483.26","0.08","0.99","0.0","3.35","0.99","3.31","0.0","0.0","0.0","0.0","3.31","118.65","474.62","237.31","471.31","355.96","0.0","","2016.0","2.0","483.26","59.73","46.02","72.9646496063"
"2015.0","10.0","6.0","279.0","483.26","0.08","0.98","0.0","3.36","0.98","3.3","0.0","0.0","0.0","0.0","6.61","118.65","474.62","237.31","468.01","355.96","0.0","","2016.0","3.0","483.26","81.77","55.41","87.8524822835"
"2015.0","10.0","7.0","280.0","483.26","0.08","0.98","0.0","3.38","0.98","3.3","0.0","0.0","0.0","0.0","9.91","118.65","474.62","237.31","464.71","355.96","0.0","","2016.0","4.0","483.26","127.51","72.47","114.901089895"
"2015.0","10.0","8.0","281.0","483.26","0.08","0.97","0.0","3.48","0.97","3.37","0.0","0.0","0.0","0.0","13.28","118.65","474.62","237.31","461.34","355.96","0.0","","2016.0","5.0","483.26","157.74","120.33","190.783057087"
"2015.0","10.0","9.0","282.0","483.26","0.08","0.96","0.0","4.25","0.96","4.08","0.0","0.0","0.0","0.0","17.36","118.65","474.62","237.31","457.26","355.96","0.0","","2016.0","6.0","483.26","200.31","184.62","292.714767717"
"2015.0","10.0","10.0","283.0","483.26","0.08","0.95","0.0","4.01","0.95","3.83","0.0","0.0","0.0","0.0","21.19","118.65","474.62","237.31","453.43","355.96","0.0","","2016.0","7.0","483.26","209.1","229.57","363.982933727"
"2015.0","10.0","11.0","284.0","483.26","0.08","0.95","0.0","3.66","0.95","3.47","0.0","0.0","0.0","0.0","24.65","118.65","474.62","237.31","449.97","355.96","0.0","","2016.0","8.0","483.26","184.75","212.49","336.902616142"
"2015.0","10.0","12.0","285.0","483.26","0.08","0.94","0.0","3.68","0.94","3.46","0.0","0.0","0.0","0.0","28.11","118.65","474.62","237.31","446.51","355.96","0.0","","2016.0","9.0","483.26","138.71","153.99","244.150942913"
"2015.0","10.0","13.0","286.0","483.26","0.08","0.93","0.0","4.1","0.93","3.83","0.0","0.0","0.0","0.0","31.94","118.65","474.62","237.31","442.68","355.96","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","483.26","0.08","0.93","0.0","4.19","0.93","3.88","0.0","0.0","0.0","0.0","35.82","118.65","474.62","237.31","438.8","355.96","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","483.26","0.08","0.92","0.0","3.65","0.92","3.35","0.0","0.0","0.0","0.0","39.17","118.65","474.62","237.31","435.45","355.96","0.0","","","","","","",""
