" Daily soil water balance output for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Cherries in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","28.02","0.08","1.05","0.0","3.66","1.05","3.84","0.47","0.47","0.0","0.0","92.73","113.61","454.45","227.22","361.72","340.84","0.0","","2015.0","10.0","28.02","107.84","104.05","9.56522637795"
"2015.0","10.0","2.0","275.0","28.02","0.08","1.05","0.0","4.58","1.05","4.81","0.0","0.0","0.0","0.0","97.54","113.61","454.45","227.22","356.91","340.84","0.0","","2015.0","11.0","28.02","47.31","44.77","4.11566732283"
"2015.0","10.0","3.0","276.0","28.02","0.08","1.05","0.0","4.49","1.05","4.71","0.0","0.0","0.0","0.0","102.25","113.61","454.45","227.22","352.2","340.84","0.0","","2015.0","12.0","28.02","31.35","34.63","3.18350590551"
"2015.0","10.0","4.0","277.0","28.02","0.08","1.05","0.0","3.72","1.05","3.91","0.83","0.83","0.0","0.0","105.33","113.61","454.45","227.22","349.12","340.84","0.0","","2016.0","1.0","28.02","33.06","37.62","3.45837401575"
"2015.0","10.0","5.0","278.0","28.02","0.08","1.05","0.0","3.44","1.05","3.61","0.0","0.0","0.0","0.0","108.94","113.61","454.45","227.22","345.51","340.84","0.0","","2016.0","2.0","28.02","59.04","43.89","4.03476968504"
"2015.0","10.0","6.0","279.0","28.02","0.08","1.05","0.0","3.47","1.05","3.64","0.0","0.0","0.0","0.0","112.59","113.61","454.45","227.22","341.86","340.84","0.0","","2016.0","3.0","28.02","80.87","54.31","4.99267125984"
"2015.0","10.0","7.0","280.0","28.02","0.08","1.05","0.0","3.33","1.05","3.5","0.0","0.0","0.0","0.0","0.0","113.61","454.45","227.22","454.45","340.84","116.08","","2016.0","4.0","28.02","130.44","72.86","6.69795669291"
"2015.0","10.0","8.0","281.0","28.02","0.08","1.05","0.0","3.41","1.05","3.58","0.0","0.0","0.0","0.0","3.58","113.61","454.45","227.22","450.87","340.84","0.0","","2016.0","5.0","28.02","162.51","123.84","11.384503937"
"2015.0","10.0","9.0","282.0","28.02","0.08","1.04","0.0","4.18","1.04","4.35","0.0","0.0","0.0","0.0","7.93","113.61","454.45","227.22","446.52","340.84","0.0","","2016.0","6.0","28.02","202.95","194.29","17.8609114173"
"2015.0","10.0","10.0","283.0","28.02","0.08","1.03","0.0","4.12","1.03","4.24","0.0","0.0","0.0","0.0","12.17","113.61","454.45","227.22","442.28","340.84","0.0","","2016.0","7.0","28.02","216.37","227.17","20.8835413386"
"2015.0","10.0","11.0","284.0","28.02","0.08","1.02","0.0","3.68","1.02","3.75","0.0","0.0","0.0","0.0","15.92","113.61","454.45","227.22","438.53","340.84","0.0","","2016.0","8.0","28.02","191.21","200.76","18.4556929134"
"2015.0","10.0","12.0","285.0","28.02","0.08","1.01","0.0","3.76","1.01","3.79","0.0","0.0","0.0","0.0","19.71","113.61","454.45","227.22","434.74","340.84","0.0","","2016.0","9.0","28.02","141.73","148.82","13.6808937008"
"2015.0","10.0","13.0","286.0","28.02","0.08","1.0","0.0","4.1","1.0","4.09","0.0","0.0","0.0","0.0","23.8","113.61","454.45","227.22","430.65","340.84","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","28.02","0.08","0.99","0.0","4.27","0.99","4.22","0.0","0.0","0.0","0.0","28.01","113.61","454.45","227.22","426.44","340.84","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","28.02","0.08","0.98","0.0","3.73","0.98","3.64","0.0","0.0","0.0","0.0","31.66","113.61","454.45","227.22","422.79","340.84","0.0","","","","","","",""
