" Daily soil water balance output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","8005.09","0.09","0.95","0.0","3.46","0.95","3.29","1.26","1.26","0.0","0.0","14.95","53.34","227.99","114.0","213.04","174.65","0.0","","2015.0","10.0","8005.09","105.45","100.21","2631.85718143"
"2015.0","10.0","2.0","275.0","8005.09","0.09","0.95","0.0","4.31","0.95","4.09","0.01","0.01","0.0","0.0","19.03","53.34","227.99","114.0","208.96","174.65","0.0","","2015.0","11.0","8005.09","47.37","50.49","1326.04000689"
"2015.0","10.0","3.0","276.0","8005.09","0.09","0.95","0.0","4.3","0.95","4.09","0.0","0.0","0.0","0.0","23.12","53.34","227.99","114.0","204.87","174.65","0.0","","2015.0","12.0","8005.09","32.3","37.07","973.584928806"
"2015.0","10.0","4.0","277.0","8005.09","0.08","0.95","0.0","3.53","0.95","3.35","0.23","0.23","0.0","0.0","26.24","53.34","227.99","114.0","201.75","174.65","0.0","","2016.0","1.0","8005.09","33.38","38.92","1022.17225328"
"2015.0","10.0","5.0","278.0","8005.09","0.08","0.95","0.0","3.35","0.95","3.18","0.0","0.0","0.0","0.0","29.42","53.34","227.99","114.0","198.57","174.65","0.0","","2016.0","2.0","8005.09","59.73","59.13","1552.9559439"
"2015.0","10.0","6.0","279.0","8005.09","0.08","0.95","0.0","3.36","0.95","3.19","0.0","0.0","0.0","0.0","32.61","53.34","227.99","114.0","195.38","174.65","0.0","","2016.0","3.0","8005.09","81.77","81.63","2143.88286319"
"2015.0","10.0","7.0","280.0","8005.09","0.08","0.95","0.0","3.38","0.95","3.21","0.0","0.0","0.0","0.0","35.83","53.34","227.99","114.0","192.16","174.65","0.0","","2016.0","4.0","8005.09","127.51","122.34","3213.06663583"
"2015.0","10.0","8.0","281.0","8005.09","0.08","0.95","0.0","3.48","0.95","3.31","0.0","0.0","0.0","0.0","39.13","53.34","227.99","114.0","188.86","174.65","0.0","","2016.0","5.0","8005.09","157.74","150.79","3960.260896"
"2015.0","10.0","9.0","282.0","8005.09","0.08","0.95","0.0","4.25","0.95","4.04","0.0","0.0","0.0","0.0","43.17","53.34","227.99","114.0","184.82","174.65","0.0","","2016.0","6.0","8005.09","200.31","190.32","4998.45383465"
"2015.0","10.0","10.0","283.0","8005.09","0.08","0.95","0.0","4.01","0.95","3.81","0.0","0.0","0.0","0.0","46.98","53.34","227.99","114.0","181.01","174.65","0.0","","2016.0","7.0","8005.09","209.1","198.61","5216.17757513"
"2015.0","10.0","11.0","284.0","8005.09","0.08","0.95","0.0","3.66","0.95","3.48","0.0","0.0","0.0","0.0","50.46","53.34","227.99","114.0","177.53","174.65","0.0","","2016.0","8.0","8005.09","184.75","175.5","4609.22997047"
"2015.0","10.0","12.0","285.0","8005.09","0.08","0.95","0.0","3.68","0.95","3.5","0.0","0.0","0.0","0.0","0.0","53.34","227.99","114.0","227.99","174.65","53.95","","2016.0","9.0","8005.09","138.71","131.77","3460.73067356"
"2015.0","10.0","13.0","286.0","8005.09","0.08","0.95","0.0","4.1","0.95","3.9","0.0","0.0","0.0","0.0","3.9","53.34","227.99","114.0","224.1","174.65","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","8005.09","0.08","0.95","0.0","4.19","0.95","3.98","0.0","0.0","0.0","0.0","7.88","53.34","227.99","114.0","220.11","174.65","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","8005.09","0.08","0.95","0.0","3.65","0.95","3.47","0.0","0.0","0.0","0.0","11.34","53.34","227.99","114.0","216.65","174.65","0.0","","","","","","",""
