" Daily soil water balance output for Olives in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Olives in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","13.12","0.08","0.7","0.0","3.66","0.7","2.56","0.47","0.47","0.0","0.0","78.64","80.11","351.13","175.56","272.49","271.02","0.0","","2015.0","10.0","13.12","107.84","75.49","3.24943832021"
"2015.0","10.0","2.0","275.0","13.12","0.08","0.7","0.0","4.58","0.7","3.21","0.0","0.0","0.0","0.0","0.0","80.11","351.13","175.56","351.13","271.02","81.85","","2015.0","11.0","13.12","47.31","45.18","1.94475590551"
"2015.0","10.0","3.0","276.0","13.12","0.08","0.7","0.0","4.49","0.7","3.14","0.0","0.0","0.0","0.0","3.14","80.11","351.13","175.56","347.99","271.02","0.0","","2015.0","12.0","13.12","31.35","35.11","1.51129658793"
"2015.0","10.0","4.0","277.0","13.12","0.08","0.7","0.0","3.72","0.7","2.6","0.83","0.83","0.0","0.0","4.92","80.11","351.13","175.56","346.21","271.02","0.0","","2016.0","1.0","13.12","33.06","37.62","1.61933858268"
"2015.0","10.0","5.0","278.0","13.12","0.08","0.7","0.0","3.44","0.7","2.41","0.0","0.0","0.0","0.0","7.33","80.11","351.13","175.56","343.8","271.02","0.0","","2016.0","2.0","13.12","59.04","48.08","2.06958530184"
"2015.0","10.0","6.0","279.0","13.12","0.08","0.7","0.0","3.47","0.7","2.43","0.0","0.0","0.0","0.0","9.75","80.11","351.13","175.56","341.38","271.02","0.0","","2016.0","3.0","13.12","80.87","66.25","2.85170603675"
"2015.0","10.0","7.0","280.0","13.12","0.08","0.7","0.0","3.33","0.7","2.33","0.0","0.0","0.0","0.0","12.09","80.11","351.13","175.56","339.04","271.02","0.0","","2016.0","4.0","13.12","130.44","94.57","4.07072965879"
"2015.0","10.0","8.0","281.0","13.12","0.08","0.7","0.0","3.41","0.7","2.39","0.0","0.0","0.0","0.0","14.47","80.11","351.13","175.56","336.66","271.02","0.0","","2016.0","5.0","13.12","162.51","113.79","4.89804724409"
"2015.0","10.0","9.0","282.0","13.12","0.08","0.7","0.0","4.18","0.7","2.93","0.0","0.0","0.0","0.0","17.4","80.11","351.13","175.56","333.73","271.02","0.0","","2016.0","6.0","13.12","202.95","142.08","6.11577952756"
"2015.0","10.0","10.0","283.0","13.12","0.08","0.7","0.0","4.12","0.7","2.88","0.0","0.0","0.0","0.0","20.28","80.11","351.13","175.56","330.85","271.02","0.0","","2016.0","7.0","13.12","216.37","151.47","6.51996850394"
"2015.0","10.0","11.0","284.0","13.12","0.08","0.7","0.0","3.68","0.7","2.58","0.0","0.0","0.0","0.0","22.86","80.11","351.13","175.56","328.27","271.02","0.0","","2016.0","8.0","13.12","191.21","133.85","5.76152230971"
"2015.0","10.0","12.0","285.0","13.12","0.08","0.7","0.0","3.76","0.7","2.63","0.0","0.0","0.0","0.0","25.49","80.11","351.13","175.56","325.64","271.02","0.0","","2016.0","9.0","13.12","141.73","99.21","4.27045669291"
"2015.0","10.0","13.0","286.0","13.12","0.08","0.7","0.0","4.1","0.7","2.87","0.0","0.0","0.0","0.0","28.36","80.11","351.13","175.56","322.77","271.02","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","13.12","0.08","0.7","0.0","4.27","0.7","2.99","0.0","0.0","0.0","0.0","31.35","80.11","351.13","175.56","319.78","271.02","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","13.12","0.08","0.7","0.0","3.73","0.7","2.61","0.0","0.0","0.0","0.0","33.96","80.11","351.13","175.56","317.17","271.02","0.0","","","","","","",""
