" Daily soil water balance output for Riparian in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Riparian in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","9619.2293085","0.08","1.1","0.0","3.44","1.1","3.784","1.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","9619.2293085","105.33","111.2293","3510.30230487"
"2015.0","10.0","2.0","275.0","9619.2293085","0.08","1.1","0.0","4.29","1.1","4.719","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","9619.2293085","47.38","50.8585","1605.0510951"
"2015.0","10.0","3.0","276.0","9619.2293085","0.08","1.1","0.0","4.29","1.1","4.719","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","9619.2293085","32.3","36.8439","1162.76221365"
"2015.0","10.0","4.0","277.0","9619.2293085","0.08","1.09","0.0","3.53","1.09","3.8477","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","9619.2293085","33.33","38.4848","1214.54762497"
"2015.0","10.0","5.0","278.0","9619.2293085","0.08","1.09","0.0","3.35","1.09","3.6515","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","9619.2293085","59.7","51.4419","1623.46270395"
"2015.0","10.0","6.0","279.0","9619.2293085","0.08","1.09","0.0","3.35","1.09","3.6515","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","9619.2293085","81.66","72.5052","2288.202575"
"2015.0","10.0","7.0","280.0","9619.2293085","0.08","1.08","0.0","3.37","1.08","3.6396","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","9619.2293085","127.34","111.5907","3521.70778214"
"2015.0","10.0","8.0","281.0","9619.2293085","0.08","1.08","0.0","3.48","1.08","3.7584","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","9619.2293085","157.51","151.0354","4766.54903642"
"2015.0","10.0","9.0","282.0","9619.2293085","0.08","1.08","0.0","4.25","1.08","4.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","9619.2293085","199.92","209.8693","6623.2969866"
"2015.0","10.0","10.0","283.0","9619.2293085","0.08","1.07","0.0","4.0","1.07","4.28","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","9619.2293085","208.58","229.438","7240.86855014"
"2015.0","10.0","11.0","284.0","9619.2293085","0.08","1.07","0.0","3.66","1.07","3.9162","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","9619.2293085","184.25","202.675","6396.25098458"
"2015.0","10.0","12.0","285.0","9619.2293085","0.08","1.07","0.0","3.67","1.07","3.9269","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","9619.2293085","138.41","152.251","4804.91234071"
"2015.0","10.0","13.0","286.0","9619.2293085","0.08","1.06","0.0","4.1","1.06","4.346","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","9619.2293085","0.08","1.06","0.0","4.19","1.06","4.4414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
