" Daily soil water balance output for Tomato in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1807.62","0.08","0.0","0.0","3.68","0.08","0.31","0.46","0.46","0.0","0.0","28.35","28.5","347.32","173.66","318.97","318.82","0.0","","2015.0","10.0","1807.62","108.61","8.82","52.3071141732"
"2015.0","10.0","2.0","275.0","1807.62","0.08","0.0","0.0","4.58","0.08","0.38","0.02","0.02","0.0","0.0","28.71","28.5","347.32","173.66","318.61","318.82","0.0","","2015.0","11.0","1807.62","47.16","47.36","280.86903937"
"2015.0","10.0","3.0","276.0","1807.62","0.08","0.0","0.0","4.53","0.08","0.37","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","2015.0","12.0","1807.62","31.9","36.1","214.091476378"
"2015.0","10.0","4.0","277.0","1807.62","0.08","0.0","0.0","3.67","0.08","0.3","0.82","0.82","0.0","0.0","27.98","28.5","347.32","173.66","319.34","318.82","0.0","","2016.0","1.0","1807.62","33.72","38.94","230.934129921"
"2015.0","10.0","5.0","278.0","1807.62","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","28.27","28.5","347.32","173.66","319.05","318.82","0.0","","2016.0","2.0","1807.62","60.04","44.42","263.433334646"
"2015.0","10.0","6.0","279.0","1807.62","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","28.55","28.5","347.32","173.66","318.77","318.82","0.0","","2016.0","3.0","1807.62","82.15","55.08","326.652590551"
"2015.0","10.0","7.0","280.0","1807.62","0.08","0.0","0.0","3.38","0.08","0.28","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","2016.0","4.0","1807.62","130.95","75.35","446.864064961"
"2015.0","10.0","8.0","281.0","1807.62","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","28.79","28.5","347.32","173.66","318.53","318.82","0.0","","2016.0","5.0","1807.62","164.12","78.08","463.054362205"
"2015.0","10.0","9.0","282.0","1807.62","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","2016.0","6.0","1807.62","207.59","209.07","1239.89210433"
"2015.0","10.0","10.0","283.0","1807.62","0.08","0.0","0.0","4.21","0.08","0.34","0.0","0.0","0.0","0.0","28.84","28.5","347.32","173.66","318.48","318.82","0.0","","2016.0","7.0","1807.62","220.88","242.97","1440.93645472"
"2015.0","10.0","11.0","284.0","1807.62","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","2016.0","8.0","1807.62","195.62","167.27","991.99671063"
"2015.0","10.0","12.0","285.0","1807.62","0.08","0.0","0.0","3.79","0.08","0.31","0.0","0.0","0.0","0.0","28.81","28.5","347.32","173.66","318.51","318.82","0.0","","2016.0","9.0","1807.62","143.85","12.42","73.6569566929"
"2015.0","10.0","13.0","286.0","1807.62","0.08","0.0","0.0","4.16","0.08","0.34","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1807.62","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","28.85","28.5","347.32","173.66","318.47","318.82","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1807.62","0.08","0.0","0.0","3.77","0.08","0.31","0.0","0.0","0.0","0.0","28.5","28.5","347.32","173.66","318.82","318.82","0.0","","","","","","",""
