" Daily soil water balance output for Urban Landscape in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","189.26","0.09","0.8","0.0","3.45","0.8","2.76","2.35","2.35","0.0","0.0","11.15","31.45","128.0","64.0","116.85","96.55","0.0","","2015.0","10.0","189.26","104.91","83.93","52.1148024934"
"2015.0","10.0","2.0","275.0","189.26","0.09","0.8","0.0","4.18","0.8","3.34","0.0","0.0","0.0","0.0","14.49","31.45","128.0","64.0","113.51","96.55","0.0","","2015.0","11.0","189.26","47.5","49.02","30.4380748031"
"2015.0","10.0","3.0","276.0","189.26","0.09","0.8","0.0","4.25","0.8","3.4","0.0","0.0","0.0","0.0","17.89","31.45","128.0","64.0","110.11","96.55","0.0","","2015.0","12.0","189.26","32.9","37.23","23.1172893701"
"2015.0","10.0","4.0","277.0","189.26","0.09","0.8","0.0","3.51","0.8","2.81","0.0","0.0","0.0","0.0","20.7","31.45","128.0","64.0","107.3","96.55","0.0","","2016.0","1.0","189.26","33.59","39.05","24.2473851706"
"2015.0","10.0","5.0","278.0","189.26","0.09","0.8","0.0","3.34","0.8","2.67","0.0","0.0","0.0","0.0","23.37","31.45","128.0","64.0","104.63","96.55","0.0","","2016.0","2.0","189.26","60.31","52.05","32.3194980315"
"2015.0","10.0","6.0","279.0","189.26","0.09","0.8","0.0","3.33","0.8","2.66","0.0","0.0","0.0","0.0","26.03","31.45","128.0","64.0","101.97","96.55","0.0","","2016.0","3.0","189.26","82.48","73.58","45.6881587927"
"2015.0","10.0","7.0","280.0","189.26","0.09","0.8","0.0","3.41","0.8","2.73","0.0","0.0","0.0","0.0","28.76","31.45","128.0","64.0","99.24","96.55","0.0","","2016.0","4.0","189.26","126.35","105.39","65.4399980315"
"2015.0","10.0","8.0","281.0","189.26","0.09","0.8","0.0","3.55","0.8","2.84","0.0","0.0","0.0","0.0","0.0","31.45","128.0","64.0","128.0","96.55","31.6","","2016.0","5.0","189.26","157.02","127.63","79.2495203412"
"2015.0","10.0","9.0","282.0","189.26","0.09","0.8","0.0","4.27","0.8","3.42","0.0","0.0","0.0","0.0","3.42","31.45","128.0","64.0","124.58","96.55","0.0","","2016.0","6.0","189.26","197.49","157.99","98.1010085302"
"2015.0","10.0","10.0","283.0","189.26","0.09","0.8","0.0","3.97","0.8","3.18","0.0","0.0","0.0","0.0","6.59","31.45","128.0","64.0","121.41","96.55","0.0","","2016.0","7.0","189.26","204.39","163.49","101.516133202"
"2015.0","10.0","11.0","284.0","189.26","0.09","0.8","0.0","3.67","0.8","2.94","0.0","0.0","0.0","0.0","9.53","31.45","128.0","64.0","118.47","96.55","0.0","","2016.0","8.0","189.26","180.38","144.32","89.6128713911"
"2015.0","10.0","12.0","285.0","189.26","0.09","0.8","0.0","3.66","0.8","2.93","0.0","0.0","0.0","0.0","12.46","31.45","128.0","64.0","115.54","96.55","0.0","","2016.0","9.0","189.26","136.36","109.08","67.7312362205"
"2015.0","10.0","13.0","286.0","189.26","0.09","0.8","0.0","4.12","0.8","3.3","0.0","0.0","0.0","0.0","15.75","31.45","128.0","64.0","112.25","96.55","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","189.26","0.09","0.8","0.0","4.14","0.8","3.31","0.0","0.0","0.0","0.0","19.06","31.45","128.0","64.0","108.94","96.55","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","189.26","0.09","0.8","0.0","3.65","0.8","2.92","0.0","0.0","0.0","0.0","21.98","31.45","128.0","64.0","106.02","96.55","0.0","","","","","","",""
