" Daily soil water balance output for Other Deciduous in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Other Deciduous in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","317.58","0.08","0.95","0.0","3.68","0.95","3.48","0.46","0.46","0.0","0.0","114.8","123.07","492.27","246.14","377.47","369.21","0.0","","2015.0","10.0","317.58","108.61","95.52","99.5250708661"
"2015.0","10.0","2.0","275.0","317.58","0.08","0.94","0.0","4.58","0.94","4.31","0.02","0.02","0.0","0.0","119.1","123.07","492.27","246.14","373.18","369.21","0.0","","2015.0","11.0","317.58","47.16","48.81","50.8565610236"
"2015.0","10.0","3.0","276.0","317.58","0.08","0.94","0.0","4.53","0.94","4.24","0.0","0.0","0.0","0.0","0.0","123.07","492.27","246.14","492.27","369.21","123.34","","2015.0","12.0","317.58","31.9","36.1","37.6136417323"
"2015.0","10.0","4.0","277.0","317.58","0.08","0.93","0.0","3.67","0.93","3.42","0.82","0.82","0.0","0.0","2.6","123.07","492.27","246.14","489.67","369.21","0.0","","2016.0","1.0","317.58","33.72","38.94","40.5727204724"
"2015.0","10.0","5.0","278.0","317.58","0.08","0.93","0.0","3.44","0.93","3.19","0.0","0.0","0.0","0.0","5.79","123.07","492.27","246.14","486.48","369.21","0.0","","2016.0","2.0","317.58","60.04","44.42","46.282492126"
"2015.0","10.0","6.0","279.0","317.58","0.08","0.92","0.0","3.48","0.92","3.21","0.0","0.0","0.0","0.0","9.0","123.07","492.27","246.14","483.27","369.21","0.0","","2016.0","3.0","317.58","82.15","55.08","57.3894566929"
"2015.0","10.0","7.0","280.0","317.58","0.08","0.92","0.0","3.38","0.92","3.1","0.0","0.0","0.0","0.0","12.1","123.07","492.27","246.14","480.17","369.21","0.0","","2016.0","4.0","317.58","130.95","80.82","84.2087125984"
"2015.0","10.0","8.0","281.0","317.58","0.08","0.91","0.0","3.47","0.91","3.17","0.0","0.0","0.0","0.0","15.27","123.07","492.27","246.14","477.0","369.21","0.0","","2016.0","5.0","317.58","164.12","129.67","135.106950787"
"2015.0","10.0","9.0","282.0","317.58","0.08","0.91","0.0","4.25","0.91","3.86","0.0","0.0","0.0","0.0","19.13","123.07","492.27","246.14","473.14","369.21","0.0","","2016.0","6.0","317.58","207.59","208.18","216.908807087"
"2015.0","10.0","10.0","283.0","317.58","0.08","0.9","0.0","4.21","0.9","3.8","0.0","0.0","0.0","0.0","22.94","123.07","492.27","246.14","469.34","369.21","0.0","","2016.0","7.0","317.58","220.88","231.91","241.633785433"
"2015.0","10.0","11.0","284.0","317.58","0.08","0.9","0.0","3.76","0.9","3.38","0.0","0.0","0.0","0.0","26.32","123.07","492.27","246.14","465.96","369.21","0.0","","2016.0","8.0","317.58","195.62","205.37","213.98098622"
"2015.0","10.0","12.0","285.0","317.58","0.08","0.89","0.0","3.79","0.89","3.39","0.0","0.0","0.0","0.0","29.71","123.07","492.27","246.14","462.57","369.21","0.0","","2016.0","9.0","317.58","143.85","145.81","151.923687008"
"2015.0","10.0","13.0","286.0","317.58","0.08","0.89","0.0","4.16","0.89","3.7","0.0","0.0","0.0","0.0","33.41","123.07","492.27","246.14","458.86","369.21","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","317.58","0.08","0.88","0.0","4.3","0.88","3.81","0.0","0.0","0.0","0.0","37.21","123.07","492.27","246.14","455.06","369.21","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","317.58","0.08","0.88","0.0","3.77","0.88","3.32","0.0","0.0","0.0","0.0","40.53","123.07","492.27","246.14","451.74","369.21","0.0","","","","","","",""
