" Daily soil water balance output for Corn in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","41211.48","0.08","0.0","0.0","3.59","0.08","0.3","2.27","2.27","0.0","0.0","30.43","32.4","460.86","230.43","430.43","428.46","0.0","","2015.0","10.0","41211.48","108.2","8.8","1189.83275591"
"2015.0","10.0","2.0","275.0","41211.48","0.08","0.0","0.0","4.41","0.08","0.37","0.36","0.36","0.0","0.0","30.44","32.4","460.86","230.43","430.42","428.46","0.0","","2015.0","11.0","41211.48","47.2","46.86","6335.8594252"
"2015.0","10.0","3.0","276.0","41211.48","0.08","0.0","0.0","4.46","0.08","0.37","0.0","0.0","0.0","0.0","30.81","32.4","460.86","230.43","430.05","428.46","0.0","","2015.0","12.0","41211.48","32.8","37.22","5032.45172441"
"2015.0","10.0","4.0","277.0","41211.48","0.08","0.0","0.0","3.55","0.08","0.29","0.41","0.41","0.0","0.0","30.69","32.4","460.86","230.43","430.17","428.46","0.0","","2016.0","1.0","41211.48","34.3","39.6","5354.24740157"
"2015.0","10.0","5.0","278.0","41211.48","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","30.97","32.4","460.86","230.43","429.88","428.46","0.0","","2016.0","2.0","41211.48","60.9","43.74","5914.00962992"
"2015.0","10.0","6.0","279.0","41211.48","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","31.26","32.4","460.86","230.43","429.6","428.46","0.0","","2016.0","3.0","41211.48","83.8","56.17","7594.64839764"
"2015.0","10.0","7.0","280.0","41211.48","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","31.54","32.4","460.86","230.43","429.32","428.46","0.0","","2016.0","4.0","41211.48","130.55","69.3","9369.93295276"
"2015.0","10.0","8.0","281.0","41211.48","0.08","0.0","0.0","3.53","0.08","0.29","0.0","0.0","0.0","0.0","31.83","32.4","460.86","230.43","429.03","428.46","0.0","","2016.0","5.0","41211.48","164.12","62.48","8447.81256693"
"2015.0","10.0","9.0","282.0","41211.48","0.08","0.0","0.0","4.37","0.08","0.36","0.0","0.0","0.0","0.0","32.19","32.4","460.86","230.43","428.67","428.46","0.0","","2016.0","6.0","41211.48","209.37","154.25","20855.8752953"
"2015.0","10.0","10.0","283.0","41211.48","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","32.54","32.4","460.86","230.43","428.32","428.46","0.0","","2016.0","7.0","41211.48","219.93","219.04","29616.0189606"
"2015.0","10.0","11.0","284.0","41211.48","0.08","0.0","0.0","3.82","0.08","0.31","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","2016.0","8.0","41211.48","194.47","56.52","7641.97129134"
"2015.0","10.0","12.0","285.0","41211.48","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","32.71","32.4","460.86","230.43","428.15","428.46","0.0","","2016.0","9.0","41211.48","143.12","12.66","1711.73666929"
"2015.0","10.0","13.0","286.0","41211.48","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","41211.48","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","32.75","32.4","460.86","230.43","428.11","428.46","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","41211.48","0.08","0.0","0.0","3.81","0.08","0.31","0.0","0.0","0.0","0.0","32.4","32.4","460.86","230.43","428.46","428.46","0.0","","","","","","",""
