" Daily soil water balance output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","113.42","0.09","0.0","0.0","3.46","0.09","0.3","1.26","1.26","0.0","0.0","17.87","28.05","569.98","284.99","552.11","541.93","0.0","","2015.0","10.0","113.42","105.45","8.79","3.27087204724"
"2015.0","10.0","2.0","275.0","113.42","0.09","0.0","0.0","4.31","0.09","0.37","0.01","0.01","0.0","0.0","18.22","28.05","569.98","284.99","551.75","541.93","0.0","","2015.0","11.0","113.42","47.37","47.02","17.4967467192"
"2015.0","10.0","3.0","276.0","113.42","0.09","0.0","0.0","4.3","0.09","0.37","0.0","0.0","0.0","0.0","18.59","28.05","569.98","284.99","551.39","541.93","0.0","","2015.0","12.0","113.42","32.3","36.69","13.6528208661"
"2015.0","10.0","4.0","277.0","113.42","0.08","0.0","0.0","3.53","0.08","0.3","0.23","0.23","0.0","0.0","18.66","28.05","569.98","284.99","551.32","541.93","0.0","","2016.0","1.0","113.42","33.38","38.92","14.4826325459"
"2015.0","10.0","5.0","278.0","113.42","0.08","0.0","0.0","3.35","0.08","0.28","0.0","0.0","0.0","0.0","18.94","28.05","569.98","284.99","551.03","541.93","0.0","","2016.0","2.0","113.42","59.73","46.02","17.1246338583"
"2015.0","10.0","6.0","279.0","113.42","0.08","0.0","0.0","3.36","0.08","0.28","0.0","0.0","0.0","0.0","19.23","28.05","569.98","284.99","550.75","541.93","0.0","","2016.0","3.0","113.42","81.77","55.41","20.618773622"
"2015.0","10.0","7.0","280.0","113.42","0.08","0.0","0.0","3.38","0.08","0.29","0.0","0.0","0.0","0.0","19.51","28.05","569.98","284.99","550.46","541.93","0.0","","2016.0","4.0","113.42","127.51","55.71","20.7304074803"
"2015.0","10.0","8.0","281.0","113.42","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","19.81","28.05","569.98","284.99","550.17","541.93","0.0","","2016.0","5.0","113.42","157.74","63.55","23.6477723097"
"2015.0","10.0","9.0","282.0","113.42","0.08","0.0","0.0","4.25","0.08","0.36","0.0","0.0","0.0","0.0","20.16","28.05","569.98","284.99","549.81","541.93","0.0","","2016.0","6.0","113.42","200.31","162.19","60.3529849081"
"2015.0","10.0","10.0","283.0","113.42","0.08","0.0","0.0","4.01","0.08","0.34","0.0","0.0","0.0","0.0","20.5","28.05","569.98","284.99","549.47","541.93","0.0","","2016.0","7.0","113.42","209.1","219.6","81.715984252"
"2015.0","10.0","11.0","284.0","113.42","0.08","0.0","0.0","3.66","0.08","0.31","0.0","0.0","0.0","0.0","20.81","28.05","569.98","284.99","549.17","541.93","0.0","","2016.0","8.0","113.42","184.75","136.1","50.6445603675"
"2015.0","10.0","12.0","285.0","113.42","0.08","0.0","0.0","3.68","0.08","0.31","0.0","0.0","0.0","0.0","21.12","28.05","569.98","284.99","548.86","541.93","0.0","","2016.0","9.0","113.42","138.71","12.63","4.69978543307"
"2015.0","10.0","13.0","286.0","113.42","0.08","0.0","0.0","4.1","0.08","0.34","0.0","0.0","0.0","0.0","21.46","28.05","569.98","284.99","548.52","541.93","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","113.42","0.08","0.0","0.0","4.19","0.08","0.35","0.0","0.0","0.0","0.0","21.81","28.05","569.98","284.99","548.17","541.93","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","113.42","0.08","0.0","0.0","3.65","0.08","0.3","0.0","0.0","0.0","0.0","22.11","28.05","569.98","284.99","547.86","541.93","0.0","","","","","","",""
