" Daily soil water balance output for Riparian in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Water Surface in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","3939.496173","0.1","1.1","0.0","3.42","1.1","3.762","1.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","3939.496173","104.99","110.8701","1432.98010056"
"2015.0","10.0","2.0","275.0","3939.496173","0.1","1.1","0.0","4.25","1.1","4.675","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","3939.496173","47.39","50.6418","654.537983247"
"2015.0","10.0","3.0","276.0","3939.496173","0.1","1.1","0.0","4.27","1.1","4.697","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","3939.496173","32.46","36.9997","478.215802336"
"2015.0","10.0","4.0","277.0","3939.496173","0.1","1.09","0.0","3.51","1.09","3.8259","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","3939.496173","33.4","38.9543","503.478726286"
"2015.0","10.0","5.0","278.0","3939.496173","0.1","1.09","0.0","3.33","1.09","3.6297","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","3939.496173","59.76","53.058","685.767020824"
"2015.0","10.0","6.0","279.0","3939.496173","0.1","1.09","0.0","3.34","1.09","3.6406","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","3939.496173","82.02","73.71","952.691151286"
"2015.0","10.0","7.0","280.0","3939.496173","0.1","1.08","0.0","3.38","1.08","3.6504","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","3939.496173","126.68","110.2544","1425.02226659"
"2015.0","10.0","8.0","281.0","3939.496173","0.1","1.08","0.0","3.49","1.08","3.7692","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","3939.496173","156.45","148.9824","1925.57609791"
"2015.0","10.0","9.0","282.0","3939.496173","0.1","1.08","0.0","4.25","1.08","4.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","3939.496173","198.24","208.1001","2689.66386992"
"2015.0","10.0","10.0","283.0","3939.496173","0.1","1.07","0.0","3.98","1.07","4.2586","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","3939.496173","206.09","226.699","2930.05197809"
"2015.0","10.0","11.0","284.0","3939.496173","0.1","1.07","0.0","3.65","1.07","3.9055","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","3939.496173","182.12","200.332","2589.26229439"
"2015.0","10.0","12.0","285.0","3939.496173","0.1","1.07","0.0","3.66","1.07","3.9162","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","3939.496173","137.31","151.041","1952.18320691"
"2015.0","10.0","13.0","286.0","3939.496173","0.1","1.06","0.0","4.1","1.06","4.346","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","3939.496173","0.1","1.06","0.0","4.16","1.06","4.4096","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
