" Daily soil water balance output for Native Vegetation in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Native Vegetation at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1510.503444","0.09","0.3","0.0","3.44","0.3","1.032","2.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","1510.503444","104.69","42.0434","208.355316593","0.0","0.0"
"2015.0","10.0","2.0","275.0","1510.503444","0.09","0.3","0.0","4.17","0.3","1.251","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","1510.503444","47.51","48.1394","238.565385473","0.0","0.0"
"2015.0","10.0","3.0","276.0","1510.503444","0.09","0.31","0.0","4.22","0.31","1.3082","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","1510.503444","32.85","37.1371","184.04106775","0.0","0.0"
"2015.0","10.0","4.0","277.0","1510.503444","0.09","0.32","0.0","3.51","0.32","1.1232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","1510.503444","33.58","39.0465","193.503519443","0.0","0.0"
"2015.0","10.0","5.0","278.0","1510.503444","0.09","0.32","0.0","3.34","0.32","1.0688","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","1510.503444","60.25","61.311","303.840146506","0.0","0.0"
"2015.0","10.0","6.0","279.0","1510.503444","0.09","0.33","0.0","3.33","0.33","1.0989","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","1510.503444","82.59","85.5421","423.922692444","0.0","0.0"
"2015.0","10.0","7.0","280.0","1510.503444","0.09","0.34","0.0","3.41","0.34","1.1594","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","1510.503444","126.15","115.8913","574.324828673","0.0","0.0"
"2015.0","10.0","8.0","281.0","1510.503444","0.09","0.35","0.0","3.57","0.35","1.2495","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","1510.503444","156.25","111.0817","550.489797951","31.19","154.568905572"
"2015.0","10.0","9.0","282.0","1510.503444","0.09","0.35","0.0","4.25","0.35","1.4875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","1510.503444","195.99","97.9721","485.522291555","107.92","534.821298151"
"2015.0","10.0","10.0","283.0","1510.503444","0.09","0.36","0.0","3.95","0.36","1.422","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","1510.503444","202.45","77.6718","384.919689638","209.73","1039.36314734"
"2015.0","10.0","11.0","284.0","1510.503444","0.09","0.37","0.0","3.66","0.37","1.3542","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","1510.503444","178.2","62.4174","309.323155071","141.38","700.639688034"
"2015.0","10.0","12.0","285.0","1510.503444","0.09","0.38","0.0","3.66","0.38","1.3908","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","1510.503444","136.11","43.2713","214.440445132","0.0","0.0"
"2015.0","10.0","13.0","286.0","1510.503444","0.09","0.38","0.0","4.13","0.38","1.5694","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","14.0","287.0","1510.503444","0.09","0.39","0.0","4.13","0.39","1.6107","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","15.0","288.0","1510.503444","0.09","0.4","0.0","3.65","0.4","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","16.0","289.0","1510.503444","0.09","0.41","0.0","3.63","0.41","1.4883","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","17.0","290.0","1510.503444","0.09","0.42","0.0","3.07","0.42","1.2894","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","18.0","291.0","1510.503444","0.09","0.42","0.0","2.8","0.42","1.176","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","19.0","292.0","1510.503444","0.09","0.43","0.0","2.67","0.43","1.1481","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","20.0","293.0","1510.503444","0.09","0.44","0.0","3.95","0.44","1.738","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","21.0","294.0","1510.503444","0.09","0.45","0.0","3.34","0.45","1.503","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","22.0","295.0","1510.503444","0.09","0.45","0.0","2.94","0.45","1.323","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","23.0","296.0","1510.503444","0.09","0.46","0.0","2.69","0.46","1.2374","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","24.0","297.0","1510.503444","0.09","0.47","0.0","2.53","0.47","1.1891","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","25.0","298.0","1510.503444","0.09","0.48","0.0","3.09","0.48","1.4832","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","26.0","299.0","1510.503444","0.09","0.48","0.0","2.52","0.48","1.2096","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","27.0","300.0","1510.503444","0.09","0.49","0.0","2.06","0.49","1.0094","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","28.0","301.0","1510.503444","0.09","0.5","0.0","2.25","0.5","1.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","29.0","302.0","1510.503444","0.09","0.51","0.0","4.13","0.51","2.1063","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","30.0","303.0","1510.503444","0.09","0.52","0.0","3.47","0.52","1.8044","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","10.0","31.0","304.0","1510.503444","0.09","0.52","0.0","3.13","0.52","1.6276","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","1.0","305.0","1510.503444","0.09","0.53","0.0","2.31","0.53","1.2243","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","2.0","306.0","1510.503444","1.17","0.54","0.0","1.26","1.17","1.4742","18.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","3.0","307.0","1510.503444","1.13","0.55","0.0","2.15","1.13","2.4295","15.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
"2015.0","11.0","4.0","308.0","1510.503444","1.12","0.55","0.0","2.98","1.12","3.3376","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","",""
