" Daily soil water balance output for Cucurbits in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1904.36","0.08","0.0","0.0","3.59","0.08","0.3","2.27","2.27","0.0","0.0","24.91","27.0","356.62","178.31","331.7","329.62","0.0","","2015.0","10.0","1904.36","108.2","8.8","54.9815223097"
"2015.0","10.0","2.0","275.0","1904.36","0.08","0.0","0.0","4.41","0.08","0.37","0.36","0.36","0.0","0.0","24.92","27.0","356.62","178.31","331.7","329.62","0.0","","2015.0","11.0","1904.36","47.2","46.86","292.776606299"
"2015.0","10.0","3.0","276.0","1904.36","0.08","0.0","0.0","4.46","0.08","0.37","0.0","0.0","0.0","0.0","25.29","27.0","356.62","178.31","331.33","329.62","0.0","","2015.0","12.0","1904.36","32.8","37.22","232.546847769"
"2015.0","10.0","4.0","277.0","1904.36","0.08","0.0","0.0","3.55","0.08","0.29","0.41","0.41","0.0","0.0","25.17","27.0","356.62","178.31","331.44","329.62","0.0","","2016.0","1.0","1904.36","34.3","39.6","247.416850394"
"2015.0","10.0","5.0","278.0","1904.36","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","25.46","27.0","356.62","178.31","331.16","329.62","0.0","","2016.0","2.0","1904.36","60.9","43.74","273.28315748"
"2015.0","10.0","6.0","279.0","1904.36","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","25.74","27.0","356.62","178.31","330.87","329.62","0.0","","2016.0","3.0","1904.36","83.8","56.17","350.944557743"
"2015.0","10.0","7.0","280.0","1904.36","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","26.03","27.0","356.62","178.31","330.59","329.62","0.0","","2016.0","4.0","1904.36","130.55","69.3","432.979488189"
"2015.0","10.0","8.0","281.0","1904.36","0.08","0.0","0.0","3.53","0.08","0.29","0.0","0.0","0.0","0.0","26.32","27.0","356.62","178.31","330.3","329.62","0.0","","2016.0","5.0","1904.36","164.12","121.14","756.870637795"
"2015.0","10.0","9.0","282.0","1904.36","0.08","0.0","0.0","4.37","0.08","0.36","0.0","0.0","0.0","0.0","26.68","27.0","356.62","178.31","329.94","329.62","0.0","","2016.0","6.0","1904.36","209.37","192.65","1203.65798556"
"2015.0","10.0","10.0","283.0","1904.36","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","27.02","27.0","356.62","178.31","329.59","329.62","0.0","","2016.0","7.0","1904.36","219.93","198.9","1242.7073622"
"2015.0","10.0","11.0","284.0","1904.36","0.08","0.0","0.0","3.82","0.08","0.31","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","2016.0","8.0","1904.36","194.47","23.68","147.950278215"
"2015.0","10.0","12.0","285.0","1904.36","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","27.31","27.0","356.62","178.31","329.31","329.62","0.0","","2016.0","9.0","1904.36","143.12","12.66","79.0984173228"
"2015.0","10.0","13.0","286.0","1904.36","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1904.36","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","27.35","27.0","356.62","178.31","329.27","329.62","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1904.36","0.08","0.0","0.0","3.81","0.08","0.31","0.0","0.0","0.0","0.0","27.0","27.0","356.62","178.31","329.62","329.62","0.0","","","","","","",""
