" Daily soil water balance output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","348.94","0.08","0.78","0.0","3.76","0.78","2.93","0.31","0.31","0.0","0.0","77.26","80.01","320.04","160.02","242.78","240.03","0.0","","2015.0","10.0","348.94","109.58","11.44","13.0966981627"
"2015.0","10.0","2.0","275.0","348.94","0.08","0.0","0.0","4.74","0.08","0.39","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","2015.0","11.0","348.94","47.12","43.6","49.9139895013"
"2015.0","10.0","3.0","276.0","348.94","0.08","0.0","0.0","4.63","0.08","0.38","0.0","0.0","0.0","0.0","22.88","22.5","320.04","160.02","297.16","297.54","0.0","","2015.0","12.0","348.94","31.38","33.9","38.8092716535"
"2015.0","10.0","4.0","277.0","348.94","0.08","0.0","0.0","3.8","0.08","0.31","2.04","2.04","0.0","0.0","20.84","22.5","320.04","160.02","299.2","297.54","0.0","","2016.0","1.0","348.94","33.5","37.43","42.8504730971"
"2015.0","10.0","5.0","278.0","348.94","0.08","0.0","0.0","3.49","0.08","0.29","0.0","0.0","0.0","0.0","21.13","22.5","320.04","160.02","298.91","297.54","0.0","","2016.0","2.0","348.94","59.83","44.27","50.6810164042"
"2015.0","10.0","6.0","279.0","348.94","0.08","0.0","0.0","3.52","0.08","0.29","0.0","0.0","0.0","0.0","21.41","22.5","320.04","160.02","298.63","297.54","0.0","","2016.0","3.0","348.94","81.79","54.75","62.6786909449"
"2015.0","10.0","7.0","280.0","348.94","0.08","0.0","0.0","3.34","0.08","0.27","0.0","0.0","0.0","0.0","21.69","22.5","320.04","160.02","298.35","297.54","0.0","","2016.0","4.0","348.94","131.53","68.31","78.2023996063"
"2015.0","10.0","8.0","281.0","348.94","0.08","0.0","0.0","3.43","0.08","0.28","0.0","0.0","0.0","0.0","21.97","22.5","320.04","160.02","298.07","297.54","0.0","","2016.0","5.0","348.94","165.62","41.41","47.4068418635"
"2015.0","10.0","9.0","282.0","348.94","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","22.31","22.5","320.04","160.02","297.73","297.54","0.0","","2016.0","6.0","348.94","206.91","143.64","164.441409449"
"2015.0","10.0","10.0","283.0","348.94","0.08","0.0","0.0","4.26","0.08","0.35","0.0","0.0","0.0","0.0","22.65","22.5","320.04","160.02","297.39","297.54","0.0","","2016.0","7.0","348.94","222.8","189.86","217.354817585"
"2015.0","10.0","11.0","284.0","348.94","0.08","0.0","0.0","3.74","0.08","0.3","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","2016.0","8.0","348.94","197.3","187.43","214.572914042"
"2015.0","10.0","12.0","285.0","348.94","0.08","0.0","0.0","3.84","0.08","0.31","0.0","0.0","0.0","0.0","22.81","22.5","320.04","160.02","297.23","297.54","0.0","","2016.0","9.0","348.94","144.78","128.89","147.555369423"
"2015.0","10.0","13.0","286.0","348.94","0.08","0.0","0.0","4.14","0.08","0.33","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","348.94","0.08","0.0","0.0","4.29","0.08","0.35","0.0","0.0","0.0","0.0","22.85","22.5","320.04","160.02","297.19","297.54","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","348.94","0.08","0.0","0.0","3.77","0.08","0.3","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","",""
