" Daily soil water balance output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","3117.75","0.08","0.0","0.0","3.76","0.08","0.31","0.31","0.31","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","2015.0","10.0","3117.75","109.58","8.82","90.2183562992"
"2015.0","10.0","2.0","275.0","3117.75","0.08","0.0","0.0","4.74","0.08","0.39","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","2015.0","11.0","3117.75","47.12","43.6","445.977362205"
"2015.0","10.0","3.0","276.0","3117.75","0.08","0.0","0.0","4.63","0.08","0.38","0.0","0.0","0.0","0.0","25.13","24.75","514.57","257.29","489.44","489.82","0.0","","2015.0","12.0","3117.75","31.38","33.9","346.757627953"
"2015.0","10.0","4.0","277.0","3117.75","0.08","0.0","0.0","3.8","0.08","0.31","2.04","2.04","0.0","0.0","23.09","24.75","514.57","257.29","491.48","489.82","0.0","","2016.0","1.0","3117.75","33.5","37.43","382.86542815"
"2015.0","10.0","5.0","278.0","3117.75","0.08","0.0","0.0","3.49","0.08","0.29","0.0","0.0","0.0","0.0","23.38","24.75","514.57","257.29","491.2","489.82","0.0","","2016.0","2.0","3117.75","59.83","44.27","452.830684055"
"2015.0","10.0","6.0","279.0","3117.75","0.08","0.0","0.0","3.52","0.08","0.29","0.0","0.0","0.0","0.0","23.66","24.75","514.57","257.29","490.91","489.82","0.0","","2016.0","3.0","3117.75","81.79","54.75","560.028912402"
"2015.0","10.0","7.0","280.0","3117.75","0.08","0.0","0.0","3.34","0.08","0.27","0.0","0.0","0.0","0.0","23.94","24.75","514.57","257.29","490.64","489.82","0.0","","2016.0","4.0","3117.75","131.53","68.31","698.731963583"
"2015.0","10.0","8.0","281.0","3117.75","0.08","0.0","0.0","3.43","0.08","0.28","0.0","0.0","0.0","0.0","24.22","24.75","514.57","257.29","490.36","489.82","0.0","","2016.0","5.0","3117.75","165.62","77.67","794.473892717"
"2015.0","10.0","9.0","282.0","3117.75","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","24.56","24.75","514.57","257.29","490.02","489.82","0.0","","2016.0","6.0","3117.75","206.91","215.5","2204.31471457"
"2015.0","10.0","10.0","283.0","3117.75","0.08","0.0","0.0","4.26","0.08","0.35","0.0","0.0","0.0","0.0","24.9","24.75","514.57","257.29","489.67","489.82","0.0","","2016.0","7.0","3117.75","222.8","78.05","798.360851378"
"2015.0","10.0","11.0","284.0","3117.75","0.08","0.0","0.0","3.74","0.08","0.3","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","2016.0","8.0","3117.75","197.3","18.59","190.154109252"
"2015.0","10.0","12.0","285.0","3117.75","0.08","0.0","0.0","3.84","0.08","0.31","0.0","0.0","0.0","0.0","25.06","24.75","514.57","257.29","489.51","489.82","0.0","","2016.0","9.0","3117.75","144.78","12.32","126.019291339"
"2015.0","10.0","13.0","286.0","3117.75","0.08","0.0","0.0","4.14","0.08","0.33","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","3117.75","0.08","0.0","0.0","4.29","0.08","0.35","0.0","0.0","0.0","0.0","25.1","24.75","514.57","257.29","489.48","489.82","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","3117.75","0.08","0.0","0.0","3.77","0.08","0.3","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","",""
