" Daily soil water balance output for Almonds in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Almond in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1169.57","0.08","1.15","0.0","3.66","1.15","4.21","0.47","0.47","0.0","0.0","116.23","131.88","527.51","263.75","411.28","395.63","0.0","","2015.0","10.0","1169.57","107.84","106.55","408.850667651"
"2015.0","10.0","2.0","275.0","1169.57","0.08","1.15","0.0","4.58","1.15","5.27","0.0","0.0","0.0","0.0","121.5","131.88","527.51","263.75","406.01","395.63","0.0","","2015.0","11.0","1169.57","47.31","44.48","170.677406824"
"2015.0","10.0","3.0","276.0","1169.57","0.08","1.15","0.0","4.49","1.15","5.16","0.0","0.0","0.0","0.0","126.66","131.88","527.51","263.75","400.85","395.63","0.0","","2015.0","12.0","1169.57","31.35","34.63","132.881263451"
"2015.0","10.0","4.0","277.0","1169.57","0.08","1.15","0.0","3.72","1.15","4.28","0.83","0.83","0.0","0.0","130.11","131.88","527.51","263.75","397.4","395.63","0.0","","2016.0","1.0","1169.57","33.06","37.62","144.35440748"
"2015.0","10.0","5.0","278.0","1169.57","0.08","1.15","0.0","3.44","1.15","3.96","0.0","0.0","0.0","0.0","0.0","131.88","527.51","263.75","527.51","395.63","134.06","","2016.0","2.0","1169.57","59.04","43.89","168.413475394"
"2015.0","10.0","6.0","279.0","1169.57","0.08","1.15","0.0","3.47","1.15","3.99","0.0","0.0","0.0","0.0","3.99","131.88","527.51","263.75","523.52","395.63","0.0","","2016.0","3.0","1169.57","80.87","59.84","229.616367454"
"2015.0","10.0","7.0","280.0","1169.57","0.08","1.15","0.0","3.33","1.15","3.83","0.0","0.0","0.0","0.0","7.82","131.88","527.51","263.75","519.69","395.63","0.0","","2016.0","4.0","1169.57","130.44","94.52","362.689489501"
"2015.0","10.0","8.0","281.0","1169.57","0.08","1.15","0.0","3.41","1.15","3.92","0.0","0.0","0.0","0.0","11.74","131.88","527.51","263.75","515.77","395.63","0.0","","2016.0","5.0","1169.57","162.51","140.05","537.395926837"
"2015.0","10.0","9.0","282.0","1169.57","0.08","1.15","0.0","4.18","1.15","4.81","0.0","0.0","0.0","0.0","16.55","131.88","527.51","263.75","510.96","395.63","0.0","","2016.0","6.0","1169.57","202.95","207.21","795.100392717"
"2015.0","10.0","10.0","283.0","1169.57","0.08","1.13","0.0","4.12","1.13","4.65","0.0","0.0","0.0","0.0","21.2","131.88","527.51","263.75","506.31","395.63","0.0","","2016.0","7.0","1169.57","216.37","247.17","948.43378248"
"2015.0","10.0","11.0","284.0","1169.57","0.08","1.11","0.0","3.68","1.11","4.07","0.0","0.0","0.0","0.0","25.27","131.88","527.51","263.75","502.24","395.63","0.0","","2016.0","8.0","1169.57","191.21","219.87","843.678989173"
"2015.0","10.0","12.0","285.0","1169.57","0.08","1.08","0.0","3.76","1.08","4.08","0.0","0.0","0.0","0.0","29.35","131.88","527.51","263.75","498.16","395.63","0.0","","2016.0","9.0","1169.57","141.73","162.97","625.343907152"
"2015.0","10.0","13.0","286.0","1169.57","0.08","1.06","0.0","4.1","1.06","4.36","0.0","0.0","0.0","0.0","33.71","131.88","527.51","263.75","493.8","395.63","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1169.57","0.08","1.04","0.0","4.27","1.04","4.45","0.0","0.0","0.0","0.0","38.15","131.88","527.51","263.75","489.35","395.63","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1169.57","0.08","1.02","0.0","3.73","1.02","3.8","0.0","0.0","0.0","0.0","41.96","131.88","527.51","263.75","485.55","395.63","0.0","","","","","","",""
