" Daily soil water balance output for Riparian in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Vineyard at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","4.2254955","0.09","1.1","0.0","3.44","1.1","3.784","2.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","4.2254955","104.69","110.5612","1.53272917675"
"2015.0","10.0","2.0","275.0","4.2254955","0.09","1.1","0.0","4.17","1.1","4.587","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","4.2254955","47.51","50.8205","0.704533445071"
"2015.0","10.0","3.0","276.0","4.2254955","0.09","1.1","0.0","4.22","1.1","4.642","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","4.2254955","32.85","37.3412","0.517667560907"
"2015.0","10.0","4.0","277.0","4.2254955","0.09","1.09","0.0","3.51","1.09","3.8259","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","4.2254955","33.58","39.0465","0.541308431892"
"2015.0","10.0","5.0","278.0","4.2254955","0.09","1.09","0.0","3.34","1.09","3.6406","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","4.2254955","60.25","52.0239","0.721216388919"
"2015.0","10.0","6.0","279.0","4.2254955","0.09","1.09","0.0","3.33","1.09","3.6297","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","4.2254955","82.59","73.679","1.02142481281"
"2015.0","10.0","7.0","280.0","4.2254955","0.09","1.08","0.0","3.41","1.08","3.6828","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","4.2254955","126.15","110.7929","1.53594127422"
"2015.0","10.0","8.0","281.0","4.2254955","0.09","1.08","0.0","3.57","1.08","3.8556","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","4.2254955","156.25","149.9035","2.07813833558"
"2015.0","10.0","9.0","282.0","4.2254955","0.09","1.08","0.0","4.25","1.08","4.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","4.2254955","195.99","205.7316","2.85209301184"
"2015.0","10.0","10.0","283.0","4.2254955","0.09","1.07","0.0","3.95","1.07","4.2265","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","4.2254955","202.45","222.695","3.08725958127"
"2015.0","10.0","11.0","284.0","4.2254955","0.09","1.07","0.0","3.66","1.07","3.9162","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","4.2254955","178.2","196.02","2.71745940915"
"2015.0","10.0","12.0","285.0","4.2254955","0.09","1.07","0.0","3.66","1.07","3.9162","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","4.2254955","136.11","149.721","2.07560830628"
"2015.0","10.0","13.0","286.0","4.2254955","0.09","1.06","0.0","4.13","1.06","4.3778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","4.2254955","0.09","1.06","0.0","4.13","1.06","4.3778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
