" Daily soil water balance output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","5715.76","0.08","0.0","0.0","3.59","0.08","0.3","2.27","2.27","0.0","0.0","27.73","29.7","600.92","300.46","573.19","571.22","0.0","","2015.0","10.0","5715.76","108.2","8.8","165.021942257"
"2015.0","10.0","2.0","275.0","5715.76","0.08","0.0","0.0","4.41","0.08","0.37","0.36","0.36","0.0","0.0","27.74","29.7","600.92","300.46","573.18","571.22","0.0","","2015.0","11.0","5715.76","47.2","46.86","878.74184252"
"2015.0","10.0","3.0","276.0","5715.76","0.08","0.0","0.0","4.46","0.08","0.37","0.0","0.0","0.0","0.0","28.11","29.7","600.92","300.46","572.81","571.22","0.0","","2015.0","12.0","5715.76","32.8","37.22","697.967805774"
"2015.0","10.0","4.0","277.0","5715.76","0.08","0.0","0.0","3.55","0.08","0.29","0.41","0.41","0.0","0.0","27.99","29.7","600.92","300.46","572.93","571.22","0.0","","2016.0","1.0","5715.76","34.3","39.6","742.598740157"
"2015.0","10.0","5.0","278.0","5715.76","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","28.27","29.7","600.92","300.46","572.65","571.22","0.0","","2016.0","2.0","5715.76","60.9","43.74","820.234062992"
"2015.0","10.0","6.0","279.0","5715.76","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","28.56","29.7","600.92","300.46","572.36","571.22","0.0","","2016.0","3.0","5715.76","83.8","56.17","1053.32755643"
"2015.0","10.0","7.0","280.0","5715.76","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","28.84","29.7","600.92","300.46","572.08","571.22","0.0","","2016.0","4.0","5715.76","130.55","69.3","1299.54779528"
"2015.0","10.0","8.0","281.0","5715.76","0.08","0.0","0.0","3.53","0.08","0.29","0.0","0.0","0.0","0.0","29.13","29.7","600.92","300.46","571.79","571.22","0.0","","2016.0","5.0","5715.76","164.12","112.95","2118.09413386"
"2015.0","10.0","9.0","282.0","5715.76","0.08","0.0","0.0","4.37","0.08","0.36","0.0","0.0","0.0","0.0","29.49","29.7","600.92","300.46","571.43","571.22","0.0","","2016.0","6.0","5715.76","209.37","179.91","3373.76109449"
"2015.0","10.0","10.0","283.0","5715.76","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","29.84","29.7","600.92","300.46","571.08","571.22","0.0","","2016.0","7.0","5715.76","219.93","26.27","492.628002625"
"2015.0","10.0","11.0","284.0","5715.76","0.08","0.0","0.0","3.82","0.08","0.31","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","2016.0","8.0","5715.76","194.47","19.16","359.297774278"
"2015.0","10.0","12.0","285.0","5715.76","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","30.01","29.7","600.92","300.46","570.91","571.22","0.0","","2016.0","9.0","5715.76","143.12","12.66","237.406566929"
"2015.0","10.0","13.0","286.0","5715.76","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","5715.76","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","30.05","29.7","600.92","300.46","570.87","571.22","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","5715.76","0.08","0.0","0.0","3.81","0.08","0.31","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","",""
