" Daily soil water balance output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","11336.56","0.08","0.95","0.0","3.68","0.95","3.5","0.46","0.46","0.0","0.0","36.26","60.44","254.81","127.41","218.56","194.37","0.0","","2015.0","10.0","11336.56","108.61","103.18","3837.61896588"
"2015.0","10.0","2.0","275.0","11336.56","0.08","0.95","0.0","4.58","0.95","4.35","0.02","0.02","0.0","0.0","40.59","60.44","254.81","127.41","214.22","194.37","0.0","","2015.0","11.0","11336.56","47.16","50.24","1868.59834121"
"2015.0","10.0","3.0","276.0","11336.56","0.08","0.95","0.0","4.53","0.95","4.3","0.0","0.0","0.0","0.0","44.89","60.44","254.81","127.41","209.92","194.37","0.0","","2015.0","12.0","11336.56","31.9","36.5","1357.56049869"
"2015.0","10.0","4.0","277.0","11336.56","0.08","0.95","0.0","3.67","0.95","3.49","0.82","0.82","0.0","0.0","47.56","60.44","254.81","127.41","207.25","194.37","0.0","","2016.0","1.0","11336.56","33.72","38.94","1448.31248819"
"2015.0","10.0","5.0","278.0","11336.56","0.08","0.95","0.0","3.44","0.95","3.27","0.0","0.0","0.0","0.0","50.83","60.44","254.81","127.41","203.99","194.37","0.0","","2016.0","2.0","11336.56","60.04","58.94","2192.18125459"
"2015.0","10.0","6.0","279.0","11336.56","0.08","0.95","0.0","3.48","0.95","3.31","0.0","0.0","0.0","0.0","54.13","60.44","254.81","127.41","200.68","194.37","0.0","","2016.0","3.0","11336.56","82.15","81.87","3045.02679528"
"2015.0","10.0","7.0","280.0","11336.56","0.08","0.95","0.0","3.38","0.95","3.21","0.0","0.0","0.0","0.0","57.34","60.44","254.81","127.41","197.47","194.37","0.0","","2016.0","4.0","11336.56","130.95","126.33","4698.64706299"
"2015.0","10.0","8.0","281.0","11336.56","0.08","0.95","0.0","3.47","0.95","3.3","0.0","0.0","0.0","0.0","0.0","60.44","254.81","127.41","254.81","194.37","60.64","","2016.0","5.0","11336.56","164.12","155.94","5799.94477165"
"2015.0","10.0","9.0","282.0","11336.56","0.08","0.95","0.0","4.25","0.95","4.04","0.0","0.0","0.0","0.0","4.04","60.44","254.81","127.41","250.78","194.37","0.0","","2016.0","6.0","11336.56","207.59","197.22","7335.28990551"
"2015.0","10.0","10.0","283.0","11336.56","0.08","0.95","0.0","4.21","0.95","4.0","0.0","0.0","0.0","0.0","8.04","60.44","254.81","127.41","246.78","194.37","0.0","","2016.0","7.0","11336.56","220.88","209.85","7805.0430315"
"2015.0","10.0","11.0","284.0","11336.56","0.08","0.95","0.0","3.76","0.95","3.57","0.0","0.0","0.0","0.0","11.61","60.44","254.81","127.41","243.2","194.37","0.0","","2016.0","8.0","11336.56","195.62","185.87","6913.14438058"
"2015.0","10.0","12.0","285.0","11336.56","0.08","0.95","0.0","3.79","0.95","3.6","0.0","0.0","0.0","0.0","15.21","60.44","254.81","127.41","239.6","194.37","0.0","","2016.0","9.0","11336.56","143.85","136.68","5083.59914961"
"2015.0","10.0","13.0","286.0","11336.56","0.08","0.95","0.0","4.16","0.95","3.95","0.0","0.0","0.0","0.0","19.16","60.44","254.81","127.41","235.65","194.37","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","11336.56","0.08","0.95","0.0","4.3","0.95","4.09","0.0","0.0","0.0","0.0","23.25","60.44","254.81","127.41","231.57","194.37","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","11336.56","0.08","0.95","0.0","3.77","0.95","3.58","0.0","0.0","0.0","0.0","26.83","60.44","254.81","127.41","227.98","194.37","0.0","","","","","","",""
