" Daily soil water balance output for Fallow in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Fallow at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1011.2277915","0.09","0.09","0.0","3.46","0.09","0.3114","2.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","1011.2277915","105.07","9.4563","31.3729441101"
"2015.0","10.0","2.0","275.0","1011.2277915","0.09","0.09","0.0","4.19","0.09","0.3771","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","1011.2277915","47.51","47.1117","156.301379084"
"2015.0","10.0","3.0","276.0","1011.2277915","0.09","0.09","0.0","4.26","0.09","0.3834","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","1011.2277915","32.91","37.2143","123.465007878"
"2015.0","10.0","4.0","277.0","1011.2277915","0.09","0.09","0.0","3.51","0.09","0.3159","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","1011.2277915","33.63","39.1042","129.73508466"
"2015.0","10.0","5.0","278.0","1011.2277915","0.09","0.09","0.0","3.33","0.09","0.2997","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","1011.2277915","60.32","43.5494","144.482820155"
"2015.0","10.0","6.0","279.0","1011.2277915","0.09","0.09","0.0","3.33","0.09","0.2997","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","1011.2277915","82.48","56.0316","185.89472153"
"2015.0","10.0","7.0","280.0","1011.2277915","0.09","0.09","0.0","3.41","0.09","0.3069","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","1011.2277915","126.41","68.3516","226.768495779"
"2015.0","10.0","8.0","281.0","1011.2277915","0.09","0.09","0.0","3.55","0.09","0.3195","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","1011.2277915","157.45","61.3008","203.376222445"
"2015.0","10.0","9.0","282.0","1011.2277915","0.09","0.09","0.0","4.28","0.09","0.3852","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","1011.2277915","198.28","34.1787","113.393869151"
"2015.0","10.0","10.0","283.0","1011.2277915","0.09","0.09","0.0","3.98","0.09","0.3582","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","1011.2277915","205.37","25.3335","84.048357139"
"2015.0","10.0","11.0","284.0","1011.2277915","0.09","0.09","0.0","3.67","0.09","0.3303","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","1011.2277915","181.4","18.6692","61.9383657647"
"2015.0","10.0","12.0","285.0","1011.2277915","0.09","0.09","0.0","3.66","0.09","0.3294","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","1011.2277915","136.5","12.3855","41.0910820591"
"2015.0","10.0","13.0","286.0","1011.2277915","0.09","0.09","0.0","4.12","0.09","0.3708","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1011.2277915","0.09","0.09","0.0","4.14","0.09","0.3726","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
