" Daily soil water balance output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","401.64","0.09","0.8","0.0","3.46","0.8","2.77","1.26","1.26","0.0","0.0","50.7","72.54","290.17","145.08","239.47","217.63","0.0","","2015.0","10.0","401.64","105.45","11.26","14.837488189"
"2015.0","10.0","2.0","275.0","401.64","0.09","0.0","0.0","4.31","0.09","0.37","0.01","0.01","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2015.0","11.0","401.64","47.37","47.02","61.9590314961"
"2015.0","10.0","3.0","276.0","401.64","0.09","0.0","0.0","4.3","0.09","0.37","0.0","0.0","0.0","0.0","20.77","20.4","290.17","145.08","269.4","269.77","0.0","","2015.0","12.0","401.64","32.3","36.69","48.347019685"
"2015.0","10.0","4.0","277.0","401.64","0.08","0.0","0.0","3.53","0.08","0.3","0.23","0.23","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2016.0","1.0","401.64","33.38","38.92","51.2855275591"
"2015.0","10.0","5.0","278.0","401.64","0.08","0.0","0.0","3.35","0.08","0.28","0.0","0.0","0.0","0.0","20.68","20.4","290.17","145.08","269.49","269.77","0.0","","2016.0","2.0","401.64","59.73","46.02","60.6413149606"
"2015.0","10.0","6.0","279.0","401.64","0.08","0.0","0.0","3.36","0.08","0.28","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2016.0","3.0","401.64","81.77","55.41","73.0146732283"
"2015.0","10.0","7.0","280.0","401.64","0.08","0.0","0.0","3.38","0.08","0.29","0.0","0.0","0.0","0.0","20.69","20.4","290.17","145.08","269.48","269.77","0.0","","2016.0","4.0","401.64","127.51","55.71","73.409988189"
"2015.0","10.0","8.0","281.0","401.64","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2016.0","5.0","401.64","157.74","80.05","105.483208661"
"2015.0","10.0","9.0","282.0","401.64","0.08","0.0","0.0","4.25","0.08","0.36","0.0","0.0","0.0","0.0","20.76","20.4","290.17","145.08","269.41","269.77","0.0","","2016.0","6.0","401.64","200.31","114.98","151.511047244"
"2015.0","10.0","10.0","283.0","401.64","0.08","0.0","0.0","4.01","0.08","0.34","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2016.0","7.0","401.64","209.1","178.51","235.22557874"
"2015.0","10.0","11.0","284.0","401.64","0.08","0.0","0.0","3.66","0.08","0.31","0.0","0.0","0.0","0.0","20.71","20.4","290.17","145.08","269.46","269.77","0.0","","2016.0","8.0","401.64","184.75","171.82","226.410055118"
"2015.0","10.0","12.0","285.0","401.64","0.08","0.0","0.0","3.68","0.08","0.31","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","2016.0","9.0","401.64","138.71","123.0","162.079133858"
"2015.0","10.0","13.0","286.0","401.64","0.08","0.0","0.0","4.1","0.08","0.34","0.0","0.0","0.0","0.0","20.74","20.4","290.17","145.08","269.43","269.77","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","401.64","0.08","0.0","0.0","4.19","0.08","0.35","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","401.64","0.08","0.0","0.0","3.65","0.08","0.3","0.0","0.0","0.0","0.0","20.7","20.4","290.17","145.08","269.47","269.77","0.0","","","","","","",""
