" Daily soil water balance output for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","205.49","0.08","1.02","0.0","3.76","1.02","3.82","0.31","0.31","0.0","0.0","81.69","105.25","421.01","210.51","339.33","315.76","0.0","","2015.0","10.0","205.49","109.58","100.58","67.8090032808"
"2015.0","10.0","2.0","275.0","205.49","0.08","1.01","0.0","4.74","1.01","4.79","0.0","0.0","0.0","0.0","86.48","105.25","421.01","210.51","334.54","315.76","0.0","","2015.0","11.0","205.49","47.12","44.89","30.2639307743"
"2015.0","10.0","3.0","276.0","205.49","0.08","1.0","0.0","4.63","1.0","4.64","0.0","0.0","0.0","0.0","91.12","105.25","421.01","210.51","329.89","315.76","0.0","","2015.0","12.0","205.49","31.38","33.9","22.8546948819"
"2015.0","10.0","4.0","277.0","205.49","0.08","1.0","0.0","3.8","1.0","3.78","2.04","2.04","0.0","0.0","92.86","105.25","421.01","210.51","328.15","315.76","0.0","","2016.0","1.0","205.49","33.5","37.43","25.2345495407"
"2015.0","10.0","5.0","278.0","205.49","0.08","0.99","0.0","3.49","0.99","3.45","0.0","0.0","0.0","0.0","96.32","105.25","421.01","210.51","324.7","315.76","0.0","","2016.0","2.0","205.49","59.83","44.27","29.8459393045"
"2015.0","10.0","6.0","279.0","205.49","0.08","0.98","0.0","3.52","0.98","3.46","0.0","0.0","0.0","0.0","99.77","105.25","421.01","210.51","321.24","315.76","0.0","","2016.0","3.0","205.49","81.79","54.75","36.9113435039"
"2015.0","10.0","7.0","280.0","205.49","0.08","0.98","0.0","3.34","0.98","3.26","0.0","0.0","0.0","0.0","103.03","105.25","421.01","210.51","317.98","315.76","0.0","","2016.0","4.0","205.49","131.53","76.73","51.7298152887"
"2015.0","10.0","8.0","281.0","205.49","0.08","0.97","0.0","3.43","0.97","3.32","0.0","0.0","0.0","0.0","0.0","105.25","421.01","210.51","421.01","315.76","106.35","","2016.0","5.0","205.49","165.62","123.06","82.9645649606"
"2015.0","10.0","9.0","282.0","205.49","0.08","0.96","0.0","4.18","0.96","4.02","0.0","0.0","0.0","0.0","4.02","105.25","421.01","210.51","417.0","315.76","0.0","","2016.0","6.0","205.49","206.91","190.62","128.512151575"
"2015.0","10.0","10.0","283.0","205.49","0.08","0.95","0.0","4.26","0.95","4.06","0.0","0.0","0.0","0.0","8.08","105.25","421.01","210.51","412.93","315.76","0.0","","2016.0","7.0","205.49","222.8","244.63","164.924602034"
"2015.0","10.0","11.0","284.0","205.49","0.08","0.95","0.0","3.74","0.95","3.54","0.0","0.0","0.0","0.0","11.62","105.25","421.01","210.51","409.39","315.76","0.0","","2016.0","8.0","205.49","197.3","226.91","152.978136155"
"2015.0","10.0","12.0","285.0","205.49","0.08","0.94","0.0","3.84","0.94","3.61","0.0","0.0","0.0","0.0","15.23","105.25","421.01","210.51","405.78","315.76","0.0","","2016.0","9.0","205.49","144.78","160.68","108.327208661"
"2015.0","10.0","13.0","286.0","205.49","0.08","0.93","0.0","4.14","0.93","3.86","0.0","0.0","0.0","0.0","19.1","105.25","421.01","210.51","401.92","315.76","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","205.49","0.08","0.93","0.0","4.29","0.93","3.97","0.0","0.0","0.0","0.0","23.07","105.25","421.01","210.51","397.95","315.76","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","205.49","0.08","0.92","0.0","3.77","0.92","3.46","0.0","0.0","0.0","0.0","26.53","105.25","421.01","210.51","394.48","315.76","0.0","","","","","","",""
