" Daily soil water balance output for Riparian in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Riparian in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","7456.6651905","0.08","1.1","0.0","3.74","1.1","4.114","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","7456.6651905","109.59","115.7364","2831.38971507"
"2015.0","10.0","2.0","275.0","7456.6651905","0.08","1.1","0.0","4.66","1.1","5.126","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","7456.6651905","47.06","50.58","1237.39542433"
"2015.0","10.0","3.0","276.0","7456.6651905","0.08","1.1","0.0","4.59","1.1","5.049","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","7456.6651905","31.78","36.227","886.26184336"
"2015.0","10.0","4.0","277.0","7456.6651905","0.08","1.09","0.0","3.72","1.09","4.0548","0.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","7456.6651905","33.95","38.5924","944.129283786"
"2015.0","10.0","5.0","278.0","7456.6651905","0.08","1.09","0.0","3.47","1.09","3.7823","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","7456.6651905","60.36","52.691","1289.03919145"
"2015.0","10.0","6.0","279.0","7456.6651905","0.08","1.09","0.0","3.51","1.09","3.8259","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","7456.6651905","82.59","73.3458","1794.34079308"
"2015.0","10.0","7.0","280.0","7456.6651905","0.08","1.08","0.0","3.39","1.08","3.6612","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","7456.6651905","131.18","114.9587","2812.36396534"
"2015.0","10.0","8.0","281.0","7456.6651905","0.08","1.08","0.0","3.49","1.08","3.7692","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","7456.6651905","165.11","157.2039","3845.85580361"
"2015.0","10.0","9.0","282.0","7456.6651905","0.08","1.08","0.0","4.26","1.08","4.6008","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","7456.6651905","207.79","218.1161","5336.01945655"
"2015.0","10.0","10.0","283.0","7456.6651905","0.08","1.07","0.0","4.28","1.07","4.5796","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","7456.6651905","222.59","244.849","5990.01645416"
"2015.0","10.0","11.0","284.0","7456.6651905","0.08","1.07","0.0","3.78","1.07","4.0446","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","7456.6651905","198.12","217.932","5331.51561121"
"2015.0","10.0","12.0","285.0","7456.6651905","0.08","1.07","0.0","3.84","1.07","4.1088","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","7456.6651905","145.14","159.654","3905.79535539"
"2015.0","10.0","13.0","286.0","7456.6651905","0.08","1.06","0.0","4.18","1.06","4.4308","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","7456.6651905","0.08","1.06","0.0","4.31","1.06","4.5686","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
