" Daily soil water balance output for Alfalfa in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Alfalfa in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","39402.3","0.08","0.9","0.0","3.59","0.9","3.23","2.27","2.27","0.0","0.0","42.33","123.69","600.92","300.46","558.59","477.23","0.0","","2015.0","10.0","39402.3","108.2","97.39","12589.8621949"
"2015.0","10.0","2.0","275.0","39402.3","0.08","0.9","0.0","4.41","0.9","3.97","0.36","0.36","0.0","0.0","45.93","123.69","600.92","300.46","554.98","477.23","0.0","","2015.0","11.0","39402.3","47.2","49.73","6428.72827756"
"2015.0","10.0","3.0","276.0","39402.3","0.08","0.9","0.0","4.46","0.9","4.01","0.0","0.0","0.0","0.0","49.95","123.69","600.92","300.46","550.97","477.23","0.0","","2015.0","12.0","39402.3","32.8","37.42","4837.3821063"
"2015.0","10.0","4.0","277.0","39402.3","0.08","0.9","0.0","3.55","0.9","3.2","0.41","0.41","0.0","0.0","52.73","123.69","600.92","300.46","548.19","477.23","0.0","","2016.0","1.0","39402.3","34.3","39.6","5119.19645669"
"2015.0","10.0","5.0","278.0","39402.3","0.08","0.9","0.0","3.41","0.9","3.07","0.0","0.0","0.0","0.0","55.8","123.69","600.92","300.46","545.12","477.23","0.0","","2016.0","2.0","39402.3","60.9","57.02","7371.12580709"
"2015.0","10.0","6.0","279.0","39402.3","0.08","0.9","0.0","3.44","0.9","3.1","0.0","0.0","0.0","0.0","58.9","123.69","600.92","300.46","542.02","477.23","0.0","","2016.0","3.0","39402.3","83.8","80.5","10406.4473425"
"2015.0","10.0","7.0","280.0","39402.3","0.08","0.9","0.0","3.44","0.9","3.1","0.0","0.0","0.0","0.0","61.99","123.69","600.92","300.46","538.92","477.23","0.0","","2016.0","4.0","39402.3","130.55","119.85","15493.3256398"
"2015.0","10.0","8.0","281.0","39402.3","0.08","0.9","0.0","3.53","0.9","3.18","0.0","0.0","0.0","0.0","65.17","123.69","600.92","300.46","535.75","477.23","0.0","","2016.0","5.0","39402.3","164.12","148.94","19253.8666732"
"2015.0","10.0","9.0","282.0","39402.3","0.08","0.9","0.0","4.37","0.9","3.93","0.0","0.0","0.0","0.0","69.1","123.69","600.92","300.46","531.81","477.23","0.0","","2016.0","6.0","39402.3","209.37","188.44","24360.1358661"
"2015.0","10.0","10.0","283.0","39402.3","0.08","0.9","0.0","4.22","0.9","3.8","0.0","0.0","0.0","0.0","72.9","123.69","600.92","300.46","528.02","477.23","0.0","","2016.0","7.0","39402.3","219.93","197.93","25586.9331988"
"2015.0","10.0","11.0","284.0","39402.3","0.08","0.9","0.0","3.82","0.9","3.44","0.0","0.0","0.0","0.0","76.34","123.69","600.92","300.46","524.58","477.23","0.0","","2016.0","8.0","39402.3","194.47","175.03","22626.5897933"
"2015.0","10.0","12.0","285.0","39402.3","0.08","0.9","0.0","3.76","0.9","3.38","0.0","0.0","0.0","0.0","79.72","123.69","600.92","300.46","521.19","477.23","0.0","","2016.0","9.0","39402.3","143.12","128.83","16654.1939272"
"2015.0","10.0","13.0","286.0","39402.3","0.08","0.9","0.0","4.18","0.9","3.76","0.0","0.0","0.0","0.0","83.49","123.69","600.92","300.46","517.43","477.23","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","39402.3","0.08","0.9","0.0","4.25","0.9","3.83","0.0","0.0","0.0","0.0","87.31","123.69","600.92","300.46","513.61","477.23","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","39402.3","0.08","0.9","0.0","3.81","0.9","3.43","0.0","0.0","0.0","0.0","90.74","123.69","600.92","300.46","510.18","477.23","0.0","","","","","","",""
