" Daily soil water balance output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Rice in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","3446.67","0.08","0.76","0.0","3.59","0.76","2.73","2.27","2.27","0.0","0.0","16.21","27.0","219.46","109.73","203.25","192.46","0.0","","2015.0","10.0","3446.67","108.2","43.58","492.801438976"
"2015.0","10.0","2.0","275.0","3446.67","0.08","0.75","0.0","4.41","0.75","3.3","0.36","0.36","0.0","0.0","19.15","27.0","219.46","109.73","200.3","192.46","0.0","","2015.0","11.0","3446.67","47.2","46.86","529.891588583"
"2015.0","10.0","3.0","276.0","3446.67","0.08","0.74","0.0","4.46","0.74","3.29","0.0","0.0","0.0","0.0","22.44","27.0","219.46","109.73","197.02","192.46","0.0","","2015.0","12.0","3446.67","32.8","37.22","420.882734252"
"2015.0","10.0","4.0","277.0","3446.67","0.08","0.73","0.0","3.55","0.73","2.58","0.41","0.41","0.0","0.0","24.61","27.0","219.46","109.73","194.85","192.46","0.0","","2016.0","1.0","3446.67","34.3","39.6","447.795708661"
"2015.0","10.0","5.0","278.0","3446.67","0.08","0.71","0.0","3.41","0.71","2.44","0.0","0.0","0.0","0.0","27.04","27.0","219.46","109.73","192.41","192.46","0.0","","2016.0","2.0","3446.67","60.9","43.74","494.610714567"
"2015.0","10.0","6.0","279.0","3446.67","0.08","0.7","0.0","3.44","0.7","2.42","0.0","0.0","0.0","0.0","29.46","27.0","219.46","109.73","190.0","192.46","0.0","","2016.0","3.0","3446.67","83.8","56.17","635.168812008"
"2015.0","10.0","7.0","280.0","3446.67","0.08","0.69","0.0","3.44","0.69","2.38","0.0","0.0","0.0","0.0","31.84","27.0","219.46","109.73","187.62","192.46","0.0","","2016.0","4.0","3446.67","130.55","69.3","783.642490157"
"2015.0","10.0","8.0","281.0","3446.67","0.08","0.68","0.0","3.53","0.68","2.4","0.0","0.0","0.0","0.0","34.24","27.0","219.46","109.73","185.22","192.46","0.0","","2016.0","5.0","3446.67","164.12","161.98","1831.66537598"
"2015.0","10.0","9.0","282.0","3446.67","0.08","0.67","0.0","4.37","0.67","2.92","0.0","0.0","0.0","0.0","37.16","27.0","219.46","109.73","182.3","192.46","0.0","","2016.0","6.0","3446.67","209.37","216.22","2445.00980118"
"2015.0","10.0","10.0","283.0","3446.67","0.08","0.66","0.0","4.22","0.66","2.77","0.0","0.0","0.0","0.0","39.93","27.0","219.46","109.73","179.52","192.46","0.0","","2016.0","7.0","3446.67","219.93","219.93","2486.96237894"
"2015.0","10.0","11.0","284.0","3446.67","0.08","0.65","0.0","3.82","0.65","2.47","0.0","0.0","0.0","0.0","42.4","27.0","219.46","109.73","177.06","192.46","0.0","","2016.0","8.0","3446.67","194.47","194.47","2199.06140059"
"2015.0","10.0","12.0","285.0","3446.67","0.08","0.63","0.0","3.76","0.63","2.38","0.0","0.0","0.0","0.0","44.78","27.0","219.46","109.73","174.67","192.46","0.0","","2016.0","9.0","3446.67","143.12","131.75","1489.82536909"
"2015.0","10.0","13.0","286.0","3446.67","0.08","0.62","0.0","4.18","0.62","2.6","0.0","0.0","0.0","0.0","47.39","27.0","219.46","109.73","172.07","192.46","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","3446.67","0.08","0.61","0.0","4.25","0.61","2.6","0.0","0.0","0.0","0.0","49.99","27.0","219.46","109.73","169.47","192.46","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","3446.67","0.08","0.6","0.0","3.81","0.6","2.29","0.0","0.0","0.0","0.0","52.27","27.0","219.46","109.73","167.18","192.46","0.0","","","","","","",""
