" Daily soil water balance output for Corn in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Corn in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","704.1","0.08","0.0","0.0","3.76","0.08","0.31","0.31","0.31","0.0","0.0","26.86","27.0","384.05","192.02","357.19","357.05","0.0","","2015.0","10.0","704.1","109.58","8.82","20.3745472441"
"2015.0","10.0","2.0","275.0","704.1","0.08","0.0","0.0","4.74","0.08","0.39","0.0","0.0","0.0","0.0","27.25","27.0","384.05","192.02","356.8","357.05","0.0","","2015.0","11.0","704.1","47.12","43.6","100.717716535"
"2015.0","10.0","3.0","276.0","704.1","0.08","0.0","0.0","4.63","0.08","0.38","0.0","0.0","0.0","0.0","27.0","27.0","384.05","192.02","357.05","357.05","0.0","","2015.0","12.0","704.1","31.38","33.9","78.3103346457"
"2015.0","10.0","4.0","277.0","704.1","0.08","0.0","0.0","3.8","0.08","0.31","2.04","2.04","0.0","0.0","25.27","27.0","384.05","192.02","358.78","357.05","0.0","","2016.0","1.0","704.1","33.5","37.43","86.464773622"
"2015.0","10.0","5.0","278.0","704.1","0.08","0.0","0.0","3.49","0.08","0.29","0.0","0.0","0.0","0.0","25.56","27.0","384.05","192.02","358.49","357.05","0.0","","2016.0","2.0","704.1","59.83","44.27","102.265442913"
"2015.0","10.0","6.0","279.0","704.1","0.08","0.0","0.0","3.52","0.08","0.29","0.0","0.0","0.0","0.0","25.85","27.0","384.05","192.02","358.2","357.05","0.0","","2016.0","3.0","704.1","81.79","54.75","126.474655512"
"2015.0","10.0","7.0","280.0","704.1","0.08","0.0","0.0","3.34","0.08","0.27","0.0","0.0","0.0","0.0","26.12","27.0","384.05","192.02","357.93","357.05","0.0","","2016.0","4.0","704.1","131.53","68.31","157.79878937"
"2015.0","10.0","8.0","281.0","704.1","0.08","0.0","0.0","3.43","0.08","0.28","0.0","0.0","0.0","0.0","26.4","27.0","384.05","192.02","357.65","357.05","0.0","","2016.0","5.0","704.1","165.62","44.71","103.281860236"
"2015.0","10.0","9.0","282.0","704.1","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","26.74","27.0","384.05","192.02","357.31","357.05","0.0","","2016.0","6.0","704.1","206.91","160.65","371.107824803"
"2015.0","10.0","10.0","283.0","704.1","0.08","0.0","0.0","4.26","0.08","0.35","0.0","0.0","0.0","0.0","27.08","27.0","384.05","192.02","356.96","357.05","0.0","","2016.0","7.0","704.1","222.8","233.97","540.479911417"
"2015.0","10.0","11.0","284.0","704.1","0.08","0.0","0.0","3.74","0.08","0.3","0.0","0.0","0.0","0.0","27.0","27.0","384.05","192.02","357.05","357.05","0.0","","2016.0","8.0","704.1","197.3","165.17","381.549202756"
"2015.0","10.0","12.0","285.0","704.1","0.08","0.0","0.0","3.84","0.08","0.31","0.0","0.0","0.0","0.0","27.31","27.0","384.05","192.02","356.74","357.05","0.0","","2016.0","9.0","704.1","144.78","14.97","34.5812893701"
"2015.0","10.0","13.0","286.0","704.1","0.08","0.0","0.0","4.14","0.08","0.33","0.0","0.0","0.0","0.0","27.0","27.0","384.05","192.02","357.05","357.05","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","704.1","0.08","0.0","0.0","4.29","0.08","0.35","0.0","0.0","0.0","0.0","27.35","27.0","384.05","192.02","356.7","357.05","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","704.1","0.08","0.0","0.0","3.77","0.08","0.3","0.0","0.0","0.0","0.0","27.0","27.0","384.05","192.02","357.05","357.05","0.0","","","","","","",""
