" Daily soil water balance output for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","11232.92","0.08","0.71","0.0","3.76","0.71","2.68","0.31","0.31","0.0","0.0","125.57","128.64","514.57","257.29","389.0","385.93","0.0","","2015.0","10.0","11232.92","109.58","65.93","2429.74545801"
"2015.0","10.0","2.0","275.0","11232.92","0.08","0.71","0.0","4.74","0.71","3.34","0.0","0.0","0.0","0.0","0.0","128.64","514.57","257.29","514.57","385.93","128.91","","2015.0","11.0","11232.92","47.12","44.3","1632.60615486"
"2015.0","10.0","3.0","276.0","11232.92","0.08","0.7","0.0","4.63","0.7","3.23","0.0","0.0","0.0","0.0","3.23","128.64","514.57","257.29","511.34","385.93","0.0","","2015.0","12.0","11232.92","31.38","33.9","1249.33066929"
"2015.0","10.0","4.0","277.0","11232.92","0.08","0.69","0.0","3.8","0.69","2.62","2.04","2.04","0.0","0.0","3.81","128.64","514.57","257.29","510.76","385.93","0.0","","2016.0","1.0","11232.92","33.5","37.43","1379.42321391"
"2015.0","10.0","5.0","278.0","11232.92","0.08","0.68","0.0","3.49","0.68","2.38","0.0","0.0","0.0","0.0","6.19","128.64","514.57","257.29","508.38","385.93","0.0","","2016.0","2.0","11232.92","59.83","44.27","1631.50055249"
"2015.0","10.0","6.0","279.0","11232.92","0.08","0.67","0.0","3.52","0.67","2.37","0.0","0.0","0.0","0.0","8.56","128.64","514.57","257.29","506.01","385.93","0.0","","2016.0","3.0","11232.92","81.79","54.75","2017.72431102"
"2015.0","10.0","7.0","280.0","11232.92","0.08","0.67","0.0","3.34","0.67","2.22","0.0","0.0","0.0","0.0","10.78","128.64","514.57","257.29","503.79","385.93","0.0","","2016.0","4.0","11232.92","131.53","81.96","3020.50565354"
"2015.0","10.0","8.0","281.0","11232.92","0.08","0.66","0.0","3.43","0.66","2.26","0.0","0.0","0.0","0.0","13.04","128.64","514.57","257.29","501.53","385.93","0.0","","2016.0","5.0","11232.92","165.62","121.23","4467.73914567"
"2015.0","10.0","9.0","282.0","11232.92","0.08","0.65","0.0","4.18","0.65","2.72","0.0","0.0","0.0","0.0","15.76","128.64","514.57","257.29","498.82","385.93","0.0","","2016.0","6.0","11232.92","206.91","165.52","6099.9767664"
"2015.0","10.0","10.0","283.0","11232.92","0.08","0.64","0.0","4.26","0.64","2.74","0.0","0.0","0.0","0.0","18.49","128.64","514.57","257.29","496.08","385.93","0.0","","2016.0","7.0","11232.92","222.8","178.25","6569.1207021"
"2015.0","10.0","11.0","284.0","11232.92","0.08","0.63","0.0","3.74","0.63","2.37","0.0","0.0","0.0","0.0","20.86","128.64","514.57","257.29","493.71","385.93","0.0","","2016.0","8.0","11232.92","197.3","157.85","5817.3110958"
"2015.0","10.0","12.0","285.0","11232.92","0.08","0.63","0.0","3.84","0.63","2.41","0.0","0.0","0.0","0.0","23.27","128.64","514.57","257.29","491.3","385.93","0.0","","2016.0","9.0","11232.92","144.78","113.77","4192.8126916"
"2015.0","10.0","13.0","286.0","11232.92","0.08","0.62","0.0","4.14","0.62","2.56","0.0","0.0","0.0","0.0","25.83","128.64","514.57","257.29","488.74","385.93","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","11232.92","0.08","0.61","0.0","4.29","0.61","2.62","0.0","0.0","0.0","0.0","28.45","128.64","514.57","257.29","486.12","385.93","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","11232.92","0.08","0.6","0.0","3.77","0.6","2.27","0.0","0.0","0.0","0.0","30.72","128.64","514.57","257.29","483.85","385.93","0.0","","","","","","",""
