" Daily soil water balance output for Pasture in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly outputfor Pasture in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","15888.31","0.08","0.95","0.0","3.66","0.95","3.48","0.47","0.47","0.0","0.0","13.06","52.36","214.58","107.29","201.52","162.22","0.0","","2015.0","10.0","15888.31","107.84","102.47","5341.45382448"
"2015.0","10.0","2.0","275.0","15888.31","0.08","0.95","0.0","4.58","0.95","4.35","0.0","0.0","0.0","0.0","17.41","52.36","214.58","107.29","197.17","162.22","0.0","","2015.0","11.0","15888.31","47.31","49.04","2556.30814436"
"2015.0","10.0","3.0","276.0","15888.31","0.08","0.95","0.0","4.49","0.95","4.27","0.0","0.0","0.0","0.0","21.67","52.36","214.58","107.29","192.9","162.22","0.0","","2015.0","12.0","15888.31","31.35","35.95","1873.96569718"
"2015.0","10.0","4.0","277.0","15888.31","0.08","0.95","0.0","3.72","0.95","3.53","0.83","0.83","0.0","0.0","24.38","52.36","214.58","107.29","190.2","162.22","0.0","","2016.0","1.0","15888.31","33.06","37.8","1970.40064961"
"2015.0","10.0","5.0","278.0","15888.31","0.08","0.95","0.0","3.44","0.95","3.27","0.0","0.0","0.0","0.0","27.65","52.36","214.58","107.29","186.93","162.22","0.0","","2016.0","2.0","15888.31","59.04","58.0","3023.36607612"
"2015.0","10.0","6.0","279.0","15888.31","0.08","0.95","0.0","3.47","0.95","3.3","0.0","0.0","0.0","0.0","30.94","52.36","214.58","107.29","183.64","162.22","0.0","","2016.0","3.0","15888.31","80.87","80.51","4196.74487566"
"2015.0","10.0","7.0","280.0","15888.31","0.08","0.95","0.0","3.33","0.95","3.16","0.0","0.0","0.0","0.0","34.11","52.36","214.58","107.29","180.47","162.22","0.0","","2016.0","4.0","15888.31","130.44","124.85","6508.05611385"
"2015.0","10.0","8.0","281.0","15888.31","0.08","0.95","0.0","3.41","0.95","3.24","0.0","0.0","0.0","0.0","37.35","52.36","214.58","107.29","177.23","162.22","0.0","","2016.0","5.0","15888.31","162.51","154.41","8048.93027264"
"2015.0","10.0","9.0","282.0","15888.31","0.08","0.95","0.0","4.18","0.95","3.97","0.0","0.0","0.0","0.0","41.32","52.36","214.58","107.29","173.26","162.22","0.0","","2016.0","6.0","15888.31","202.95","192.82","10051.128393"
"2015.0","10.0","10.0","283.0","15888.31","0.08","0.95","0.0","4.12","0.95","3.91","0.0","0.0","0.0","0.0","45.23","52.36","214.58","107.29","169.35","162.22","0.0","","2016.0","7.0","15888.31","216.37","205.57","10715.7476598"
"2015.0","10.0","11.0","284.0","15888.31","0.08","0.95","0.0","3.68","0.95","3.5","0.0","0.0","0.0","0.0","48.73","52.36","214.58","107.29","165.85","162.22","0.0","","2016.0","8.0","15888.31","191.21","181.66","9469.3910584"
"2015.0","10.0","12.0","285.0","15888.31","0.08","0.95","0.0","3.76","0.95","3.57","0.0","0.0","0.0","0.0","52.3","52.36","214.58","107.29","162.28","162.22","0.0","","2016.0","9.0","15888.31","141.73","134.64","7018.37945669"
"2015.0","10.0","13.0","286.0","15888.31","0.08","0.95","0.0","4.1","0.95","3.9","0.0","0.0","0.0","0.0","0.0","52.36","214.58","107.29","214.58","162.22","56.19","","","","","","",""
"2015.0","10.0","14.0","287.0","15888.31","0.08","0.95","0.0","4.27","0.95","4.06","0.0","0.0","0.0","0.0","4.06","52.36","214.58","107.29","210.52","162.22","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","15888.31","0.08","0.95","0.0","3.73","0.95","3.54","0.0","0.0","0.0","0.0","7.6","52.36","214.58","107.29","206.98","162.22","0.0","","","","","","",""
