" Daily soil water balance output for Fallow in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Fallow in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","6475.0158675","0.08","0.08","0.0","3.66","0.08","0.2928","0.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","6475.0158675","107.84","8.6272","183.271840197"
"2015.0","10.0","2.0","275.0","6475.0158675","0.08","0.08","0.0","4.58","0.08","0.3664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","6475.0158675","47.31","43.4047","922.067326851"
"2015.0","10.0","3.0","276.0","6475.0158675","0.08","0.08","0.0","4.49","0.08","0.3592","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","6475.0158675","31.35","34.6167","735.379533401"
"2015.0","10.0","4.0","277.0","6475.0158675","0.08","0.08","0.0","3.72","0.08","0.2976","0.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","6475.0158675","33.06","37.6178","799.133372377"
"2015.0","10.0","5.0","278.0","6475.0158675","0.08","0.08","0.0","3.44","0.08","0.2752","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","6475.0158675","59.04","43.8852","932.274823978"
"2015.0","10.0","6.0","279.0","6475.0158675","0.08","0.08","0.0","3.47","0.08","0.2776","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","6475.0158675","80.87","54.3523","1154.63256212"
"2015.0","10.0","7.0","280.0","6475.0158675","0.08","0.08","0.0","3.33","0.08","0.2664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","6475.0158675","130.44","54.9862","1168.09881067"
"2015.0","10.0","8.0","281.0","6475.0158675","0.08","0.08","0.0","3.41","0.08","0.2728","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","6475.0158675","162.51","32.9426","699.815806157"
"2015.0","10.0","9.0","282.0","6475.0158675","0.08","0.08","0.0","4.18","0.08","0.3344","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","6475.0158675","202.95","28.1326","597.634617434"
"2015.0","10.0","10.0","283.0","6475.0158675","0.08","0.08","0.0","4.12","0.08","0.3296","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","6475.0158675","216.37","23.4692","498.567724401"
"2015.0","10.0","11.0","284.0","6475.0158675","0.08","0.08","0.0","3.68","0.08","0.2944","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","6475.0158675","191.21","17.7696","377.488326638"
"2015.0","10.0","12.0","285.0","6475.0158675","0.08","0.08","0.0","3.76","0.08","0.3008","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","6475.0158675","141.73","11.8102","250.889870073"
"2015.0","10.0","13.0","286.0","6475.0158675","0.08","0.08","0.0","4.1","0.08","0.328","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","6475.0158675","0.08","0.08","0.0","4.27","0.08","0.3416","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
