" Daily soil water balance output for Bush_berries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Bush_berries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1236.74","0.08","0.0","0.0","3.59","0.08","0.3","2.27","2.27","0.0","0.0","19.63","21.6","307.3","153.65","287.67","285.7","0.0","","2015.0","10.0","1236.74","108.2","8.8","35.7064041995"
"2015.0","10.0","2.0","275.0","1236.74","0.08","0.0","0.0","4.41","0.08","0.37","0.36","0.36","0.0","0.0","19.64","21.6","307.3","153.65","287.66","285.7","0.0","","2015.0","11.0","1236.74","47.2","46.86","190.136602362"
"2015.0","10.0","3.0","276.0","1236.74","0.08","0.0","0.0","4.46","0.08","0.37","0.0","0.0","0.0","0.0","20.01","21.6","307.3","153.65","287.29","285.7","0.0","","2015.0","12.0","1236.74","32.8","37.22","151.02185958"
"2015.0","10.0","4.0","277.0","1236.74","0.08","0.0","0.0","3.55","0.08","0.29","0.41","0.41","0.0","0.0","19.89","21.6","307.3","153.65","287.41","285.7","0.0","","2016.0","1.0","1236.74","34.3","39.6","160.678818898"
"2015.0","10.0","5.0","278.0","1236.74","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","20.17","21.6","307.3","153.65","287.12","285.7","0.0","","2016.0","2.0","1236.74","60.9","43.74","177.477059055"
"2015.0","10.0","6.0","279.0","1236.74","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","20.46","21.6","307.3","153.65","286.84","285.7","0.0","","2016.0","3.0","1236.74","83.8","56.17","227.912354987"
"2015.0","10.0","7.0","280.0","1236.74","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","20.74","21.6","307.3","153.65","286.56","285.7","0.0","","2016.0","4.0","1236.74","130.55","72.13","292.670788058"
"2015.0","10.0","8.0","281.0","1236.74","0.08","0.0","0.0","3.53","0.08","0.29","0.0","0.0","0.0","0.0","21.03","21.6","307.3","153.65","286.26","285.7","0.0","","2016.0","5.0","1236.74","164.12","153.69","623.604234252"
"2015.0","10.0","9.0","282.0","1236.74","0.08","0.0","0.0","4.37","0.08","0.36","0.0","0.0","0.0","0.0","21.39","21.6","307.3","153.65","285.91","285.7","0.0","","2016.0","6.0","1236.74","209.37","219.86","892.092048556"
"2015.0","10.0","10.0","283.0","1236.74","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","21.74","21.6","307.3","153.65","285.56","285.7","0.0","","2016.0","7.0","1236.74","219.93","220.32","893.958519685"
"2015.0","10.0","11.0","284.0","1236.74","0.08","0.0","0.0","3.82","0.08","0.31","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","2016.0","8.0","1236.74","194.47","132.81","538.882675197"
"2015.0","10.0","12.0","285.0","1236.74","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","21.91","21.6","307.3","153.65","285.39","285.7","0.0","","2016.0","9.0","1236.74","143.12","12.66","51.3685314961"
"2015.0","10.0","13.0","286.0","1236.74","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1236.74","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","21.95","21.6","307.3","153.65","285.35","285.7","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1236.74","0.08","0.0","0.0","3.81","0.08","0.31","0.0","0.0","0.0","0.0","21.6","21.6","307.3","153.65","285.7","285.7","0.0","","","","","","",""
