" Daily soil water balance output for Sunflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Sunflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","2.0","0.56","0.0","0.0","6.18","0.56","3.48","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","2014.0","10.0","2.0","103.42","36.03","0.236417322835","0.0","0.0"
"2014.0","10.0","2.0","275.0","2.0","0.52","0.0","0.0","4.2","0.52","2.17","0.0","0.0","0.0","0.0","24.67","22.5","274.32","137.16","249.65","251.82","0.0","","2014.0","11.0","2.0","43.39","42.98","0.282020997375","0.0","0.0"
"2014.0","10.0","3.0","276.0","2.0","0.48","0.0","0.0","4.14","0.48","1.99","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","2014.0","12.0","2.0","32.08","34.9","0.229002624672","0.0","0.0"
"2014.0","10.0","4.0","277.0","2.0","0.45","0.0","0.0","4.18","0.45","1.89","0.0","0.0","0.0","0.0","24.39","22.5","274.32","137.16","249.93","251.82","0.0","","2015.0","1.0","2.0","33.25","17.16","0.112598425197","0.0","0.0"
"2014.0","10.0","5.0","278.0","2.0","0.43","0.0","0.0","4.06","0.43","1.73","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","2015.0","2.0","2.0","56.91","36.39","0.238779527559","0.0","0.0"
"2014.0","10.0","6.0","279.0","2.0","0.41","0.0","0.0","4.12","0.41","1.67","0.0","0.0","0.0","0.0","24.17","22.5","274.32","137.16","250.15","251.82","0.0","","2015.0","3.0","2.0","104.95","49.39","0.324081364829","0.0","0.0"
"2014.0","10.0","7.0","280.0","2.0","0.39","0.0","0.0","4.25","0.39","1.65","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","2015.0","4.0","2.0","140.99","71.2","0.46719160105","0.0","0.0"
"2014.0","10.0","8.0","281.0","2.0","0.37","0.0","0.0","4.81","0.37","1.77","0.0","0.0","0.0","0.0","24.27","22.5","274.32","137.16","250.05","251.82","0.0","","2015.0","5.0","2.0","160.57","50.71","0.332742782152","19.34","0.126902887139"
"2014.0","10.0","9.0","282.0","2.0","0.35","0.0","0.0","4.33","0.35","1.54","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","2015.0","6.0","2.0","209.56","188.75","1.23851706037","76.02","0.498818897638"
"2014.0","10.0","10.0","283.0","2.0","0.34","0.0","0.0","3.77","0.34","1.29","0.0","0.0","0.0","0.0","23.79","22.5","274.32","137.16","250.53","251.82","0.0","","2015.0","7.0","2.0","216.77","238.44","1.56456692913","216.08","1.41784776903"
"2014.0","10.0","11.0","284.0","2.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","2015.0","8.0","2.0","196.26","160.82","1.05524934383","215.89","1.41660104987"
"2014.0","10.0","12.0","285.0","2.0","0.32","0.0","0.0","6.72","0.32","2.13","0.0","0.0","0.0","0.0","24.63","22.5","274.32","137.16","249.69","251.82","0.0","","2015.0","9.0","2.0","150.85","14.75","0.0967847769029","118.16","0.77532808399"
"2014.0","10.0","13.0","286.0","2.0","0.31","0.0","0.0","4.16","0.31","1.28","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","2.0","0.3","0.0","0.0","3.14","0.3","0.95","0.0","0.0","0.0","0.0","23.45","22.5","274.32","137.16","250.87","251.82","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","2.0","0.3","0.0","0.0","2.28","0.3","0.68","1.75","1.75","0.0","0.0","21.7","22.5","274.32","137.16","252.62","251.82","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","2.0","0.29","0.0","0.0","2.67","0.29","0.78","0.08","0.08","0.0","0.0","22.4","22.5","274.32","137.16","251.92","251.82","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","2.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","23.13","22.5","274.32","137.16","251.19","251.82","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","2.0","0.29","0.0","0.0","2.9","0.29","0.83","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","2.0","0.28","0.0","0.0","3.02","0.28","0.85","0.0","0.0","0.0","0.0","23.35","22.5","274.32","137.16","250.97","251.82","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","2.0","0.28","0.0","0.0","2.28","0.28","0.63","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","2.0","0.27","0.0","0.0","2.62","0.27","0.72","0.0","0.0","0.0","0.0","23.22","22.5","274.32","137.16","251.1","251.82","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","2.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","2.0","0.27","0.0","0.0","2.45","0.27","0.66","0.0","0.0","0.0","0.0","23.16","22.5","274.32","137.16","251.16","251.82","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","2.0","0.26","0.0","0.0","2.62","0.26","0.69","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","2.0","0.26","0.0","0.0","2.31","0.26","0.6","0.0","0.0","0.0","0.0","23.1","22.5","274.32","137.16","251.22","251.82","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","2.0","0.26","0.0","0.0","2.62","0.26","0.68","2.42","2.42","0.0","0.0","20.68","22.5","274.32","137.16","253.64","251.82","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","2.0","0.26","0.0","0.0","2.46","0.26","0.63","0.0","0.0","0.0","0.0","21.31","22.5","274.32","137.16","253.01","251.82","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","2.0","0.25","0.0","0.0","2.35","0.25","0.6","0.0","0.0","0.0","0.0","21.91","22.5","274.32","137.16","252.41","251.82","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","2.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","22.51","22.5","274.32","137.16","251.81","251.82","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","2.0","0.25","0.0","0.0","2.55","0.25","0.63","0.0","0.0","0.0","0.0","22.5","22.5","274.32","137.16","251.82","251.82","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","2.0","0.25","0.0","0.0","1.22","0.25","0.3","0.0","0.0","0.0","0.0","22.8","22.5","274.32","137.16","251.52","251.82","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","2.0","1.15","0.0","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","13.29","22.5","274.32","137.16","261.03","251.82","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","2.0","1.14","0.0","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","15.82","22.5","274.32","137.16","258.5","251.82","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","2.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","17.9","22.5","274.32","137.16","256.42","251.82","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","2.0","1.01","0.0","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","19.67","22.5","274.32","137.16","254.65","251.82","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","2.0","0.91","0.0","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","21.27","22.5","274.32","137.16","253.05","251.82","0.0","","","","","","","","",""
