" Daily soil water balance output for Pistachios in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pistachios in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","40.0","0.08","0.78","0.0","5.56","0.78","4.36","0.0","0.0","0.0","0.0","92.19","142.49","569.98","284.99","477.79","427.48","0.0","","2014.0","10.0","40.0","100.46","70.95","9.31102362205","89.79","11.7834645669"
"2014.0","10.0","2.0","275.0","40.0","0.08","0.78","0.0","4.08","0.78","3.17","0.0","0.0","0.0","0.0","95.36","142.49","569.98","284.99","474.62","427.48","0.0","","2014.0","11.0","40.0","43.94","26.21","3.43963254593","36.49","4.78871391076"
"2014.0","10.0","3.0","276.0","40.0","0.08","0.77","0.0","4.13","0.77","3.19","0.0","0.0","0.0","0.0","98.54","142.49","569.98","284.99","471.43","427.48","0.0","","2014.0","12.0","40.0","32.25","35.14","4.61154855643","0.0","0.0"
"2014.0","10.0","4.0","277.0","40.0","0.08","0.77","0.0","4.12","0.77","3.15","0.0","0.0","0.0","0.0","101.7","142.49","569.98","284.99","468.28","427.48","0.0","","2015.0","1.0","40.0","31.89","16.61","2.17979002625","0.0","0.0"
"2014.0","10.0","5.0","278.0","40.0","0.08","0.76","0.0","3.97","0.76","3.01","0.0","0.0","0.0","0.0","104.71","142.49","569.98","284.99","465.27","427.48","0.0","","2015.0","2.0","40.0","56.06","44.82","5.88188976378","0.0","0.0"
"2014.0","10.0","6.0","279.0","40.0","0.08","0.75","0.0","3.97","0.75","2.99","0.0","0.0","0.0","0.0","107.7","142.49","569.98","284.99","462.28","427.48","0.0","","2015.0","3.0","40.0","102.94","83.94","11.0157480315","88.16","11.5695538058"
"2014.0","10.0","7.0","280.0","40.0","0.08","0.75","0.0","4.08","0.75","3.05","0.0","0.0","0.0","0.0","110.75","142.49","569.98","284.99","459.23","427.48","0.0","","2015.0","4.0","40.0","136.61","119.24","15.6482939633","126.62","16.6167979003"
"2014.0","10.0","8.0","281.0","40.0","0.08","0.74","0.0","4.81","0.74","3.56","0.0","0.0","0.0","0.0","114.31","142.49","569.98","284.99","455.66","427.48","0.0","","2015.0","5.0","40.0","150.49","133.76","17.5538057743","146.14","19.1784776903"
"2014.0","10.0","9.0","282.0","40.0","0.08","0.73","0.0","4.12","0.73","3.03","0.0","0.0","0.0","0.0","117.34","142.49","569.98","284.99","452.64","427.48","0.0","","2015.0","6.0","40.0","196.51","176.89","23.2139107612","196.51","25.7887139108"
"2014.0","10.0","10.0","283.0","40.0","0.08","0.73","0.0","3.54","0.73","2.58","0.0","0.0","0.0","0.0","119.92","142.49","569.98","284.99","450.06","427.48","0.0","","2015.0","7.0","40.0","204.06","183.68","24.1049868766","204.06","26.7795275591"
"2014.0","10.0","11.0","284.0","40.0","0.08","0.72","0.0","3.45","0.72","2.49","0.0","0.0","0.0","0.0","122.41","142.49","569.98","284.99","447.57","427.48","0.0","","2015.0","8.0","40.0","187.5","168.78","22.1496062992","187.5","24.6062992126"
"2014.0","10.0","12.0","285.0","40.0","0.08","0.72","0.0","6.01","0.72","4.31","0.0","0.0","0.0","0.0","126.71","142.49","569.98","284.99","443.26","427.48","0.0","","2015.0","9.0","40.0","144.17","125.3","16.4435695538","144.12","18.9133858268"
"2014.0","10.0","13.0","286.0","40.0","0.08","0.71","0.0","3.98","0.71","2.83","0.0","0.0","0.0","0.0","129.54","142.49","569.98","284.99","440.43","427.48","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","40.0","0.08","0.7","0.0","3.08","0.7","2.17","0.0","0.0","0.0","0.0","131.71","142.49","569.98","284.99","438.27","427.48","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","40.0","0.08","0.7","0.0","2.4","0.7","1.68","0.0","0.0","0.0","0.0","133.39","142.49","569.98","284.99","436.59","427.48","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","40.0","0.08","0.69","0.0","2.69","0.69","1.86","0.0","0.0","0.0","0.0","135.25","142.49","569.98","284.99","434.73","427.48","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","40.0","0.08","0.69","0.0","2.49","0.69","1.71","0.0","0.0","0.0","0.0","136.95","142.49","569.98","284.99","433.02","427.48","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","40.0","0.08","0.68","0.0","2.85","0.68","1.94","0.0","0.0","0.0","0.0","138.89","142.49","569.98","284.99","431.09","427.48","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","40.0","0.08","0.67","0.0","2.85","0.67","1.92","0.0","0.0","0.0","0.0","140.81","142.49","569.98","284.99","429.17","427.48","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","40.0","0.08","0.67","0.0","2.16","0.67","1.44","0.0","0.0","0.0","0.0","142.25","142.49","569.98","284.99","427.72","427.48","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","40.0","0.08","0.66","0.0","2.66","0.66","1.76","0.0","0.0","0.0","0.0","0.0","142.49","569.98","284.99","569.98","427.48","144.01","","","","","","","","",""
"2014.0","10.0","22.0","295.0","40.0","0.08","0.66","0.0","2.54","0.66","1.66","0.0","0.0","0.0","0.0","1.66","142.49","569.98","284.99","568.31","427.48","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","40.0","0.08","0.65","0.0","2.49","0.65","1.62","0.0","0.0","0.0","0.0","3.28","142.49","569.98","284.99","566.7","427.48","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","40.0","0.08","0.64","0.0","2.54","0.64","1.63","0.0","0.0","0.0","0.0","4.91","142.49","569.98","284.99","565.06","427.48","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","40.0","0.08","0.64","0.0","2.22","0.64","1.41","0.0","0.0","0.0","0.0","6.33","142.49","569.98","284.99","563.65","427.48","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","40.0","0.08","0.63","0.0","2.66","0.63","1.68","0.87","0.87","0.0","0.0","7.13","142.49","569.98","284.99","562.84","427.48","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","40.0","0.08","0.62","0.0","2.48","0.62","1.55","0.0","0.0","0.0","0.0","8.68","142.49","569.98","284.99","561.29","427.48","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","40.0","0.08","0.62","0.0","2.36","0.62","1.46","0.0","0.0","0.0","0.0","10.14","142.49","569.98","284.99","559.83","427.48","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","40.0","0.08","0.61","0.0","2.44","0.61","1.49","0.0","0.0","0.0","0.0","11.64","142.49","569.98","284.99","558.34","427.48","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","40.0","0.08","0.61","0.0","2.44","0.61","1.48","0.0","0.0","0.0","0.0","13.11","142.49","569.98","284.99","556.86","427.48","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","40.0","0.08","0.6","0.0","1.29","0.6","0.77","0.07","0.07","0.0","0.0","13.82","142.49","569.98","284.99","556.16","427.48","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","40.0","0.08","0.0","0.0","1.83","0.08","0.15","5.22","5.22","0.0","0.0","8.75","28.05","569.98","284.99","561.23","541.93","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","40.0","0.08","0.0","0.0","2.18","0.08","0.18","0.0","0.0","0.0","0.0","8.92","28.05","569.98","284.99","561.05","541.93","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","40.0","0.08","0.0","0.0","1.8","0.08","0.15","0.0","0.0","0.0","0.0","9.07","28.05","569.98","284.99","560.91","541.93","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","40.0","0.08","0.0","0.0","1.75","0.08","0.14","0.0","0.0","0.0","0.0","9.21","28.05","569.98","284.99","560.77","541.93","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","40.0","0.08","0.0","0.0","1.9","0.08","0.15","0.0","0.0","0.0","0.0","9.36","28.05","569.98","284.99","560.61","541.93","0.0","","","","","","","","",""
