" Daily soil water balance output for Citrus & Subtropical in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","2.0","0.08","0.7","0.0","5.64","0.7","3.95","0.0","0.0","0.0","0.0","51.91","88.82","395.02","197.51","343.11","306.21","0.0","","2014.0","10.0","2.0","104.06","72.84","0.477952755906"
"2014.0","10.0","2.0","275.0","2.0","0.08","0.7","0.0","4.13","0.7","2.89","0.0","0.0","0.0","0.0","54.8","88.82","395.02","197.51","340.22","306.21","0.0","","2014.0","11.0","2.0","44.11","44.05","0.289041994751"
"2014.0","10.0","3.0","276.0","2.0","0.08","0.7","0.0","4.17","0.7","2.92","0.0","0.0","0.0","0.0","57.72","88.82","395.02","197.51","337.3","306.21","0.0","","2014.0","12.0","2.0","32.86","35.82","0.235039370079"
"2014.0","10.0","4.0","277.0","2.0","0.08","0.7","0.0","4.22","0.7","2.95","0.0","0.0","0.0","0.0","60.67","88.82","395.02","197.51","334.35","306.21","0.0","","2015.0","1.0","2.0","31.82","22.3","0.146325459318"
"2014.0","10.0","5.0","278.0","2.0","0.08","0.7","0.0","4.07","0.7","2.85","0.0","0.0","0.0","0.0","63.52","88.82","395.02","197.51","331.5","306.21","0.0","","2015.0","2.0","2.0","55.9","44.36","0.291076115486"
"2014.0","10.0","6.0","279.0","2.0","0.08","0.7","0.0","4.12","0.7","2.88","0.0","0.0","0.0","0.0","66.41","88.82","395.02","197.51","328.61","306.21","0.0","","2015.0","3.0","2.0","105.04","76.65","0.502952755906"
"2014.0","10.0","7.0","280.0","2.0","0.08","0.7","0.0","4.3","0.7","3.01","0.0","0.0","0.0","0.0","69.42","88.82","395.02","197.51","325.6","306.21","0.0","","2015.0","4.0","2.0","139.8","104.35","0.684711286089"
"2014.0","10.0","8.0","281.0","2.0","0.08","0.7","0.0","5.11","0.7","3.58","0.0","0.0","0.0","0.0","72.99","88.82","395.02","197.51","322.03","306.21","0.0","","2015.0","5.0","2.0","156.12","109.31","0.717257217848"
"2014.0","10.0","9.0","282.0","2.0","0.08","0.7","0.0","4.37","0.7","3.06","0.0","0.0","0.0","0.0","76.05","88.82","395.02","197.51","318.97","306.21","0.0","","2015.0","6.0","2.0","205.59","143.95","0.944553805774"
"2014.0","10.0","10.0","283.0","2.0","0.08","0.7","0.0","3.76","0.7","2.63","0.0","0.0","0.0","0.0","78.68","88.82","395.02","197.51","316.34","306.21","0.0","","2015.0","7.0","2.0","212.75","148.94","0.977296587927"
"2014.0","10.0","11.0","284.0","2.0","0.08","0.7","0.0","3.57","0.7","2.5","0.0","0.0","0.0","0.0","81.18","88.82","395.02","197.51","313.84","306.21","0.0","","2015.0","8.0","2.0","195.07","136.58","0.896194225722"
"2014.0","10.0","12.0","285.0","2.0","0.08","0.7","0.0","6.1","0.7","4.27","0.0","0.0","0.0","0.0","85.45","88.82","395.02","197.51","309.57","306.21","0.0","","2015.0","9.0","2.0","149.12","104.41","0.685104986877"
"2014.0","10.0","13.0","286.0","2.0","0.08","0.7","0.0","4.07","0.7","2.85","0.0","0.0","0.0","0.0","88.3","88.82","395.02","197.51","306.72","306.21","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","2.0","0.08","0.7","0.0","3.32","0.7","2.32","0.0","0.0","0.0","0.0","0.0","88.82","395.02","197.51","395.02","306.21","90.63","","","","","","",""
"2014.0","10.0","15.0","288.0","2.0","0.08","0.7","0.0","2.48","0.7","1.74","0.0","0.0","0.0","0.0","1.74","88.82","395.02","197.51","393.28","306.21","0.0","","","","","","",""
