" Daily soil water balance output for Urban Landscape in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","7709.0","0.57","0.8","0.0","5.96","0.8","4.77","0.0","0.0","0.0","0.0","16.26","36.6","152.0","76.0","135.74","115.4","0.0","","2014.0","10.0","7709.0","103.02","82.42","2084.56620735"
"2014.0","10.0","2.0","275.0","7709.0","0.52","0.8","0.0","4.15","0.8","3.32","0.0","0.0","0.0","0.0","19.58","36.6","152.0","76.0","132.42","115.4","0.0","","2014.0","11.0","7709.0","43.68","44.72","1131.05800525"
"2014.0","10.0","3.0","276.0","7709.0","0.48","0.8","0.0","4.14","0.8","3.31","0.0","0.0","0.0","0.0","22.89","36.6","152.0","76.0","129.11","115.4","0.0","","2014.0","12.0","7709.0","32.29","36.63","926.445767717"
"2014.0","10.0","4.0","277.0","7709.0","0.45","0.8","0.0","4.17","0.8","3.34","0.0","0.0","0.0","0.0","26.23","36.6","152.0","76.0","125.77","115.4","0.0","","2015.0","1.0","7709.0","32.29","25.85","653.798064304"
"2014.0","10.0","5.0","278.0","7709.0","0.43","0.8","0.0","4.03","0.8","3.22","0.0","0.0","0.0","0.0","29.45","36.6","152.0","76.0","122.55","115.4","0.0","","2015.0","2.0","7709.0","56.46","48.72","1232.22598425"
"2014.0","10.0","6.0","279.0","7709.0","0.41","0.8","0.0","4.09","0.8","3.27","0.0","0.0","0.0","0.0","32.73","36.6","152.0","76.0","119.27","115.4","0.0","","2015.0","3.0","7709.0","104.49","85.62","2165.50059055"
"2014.0","10.0","7.0","280.0","7709.0","0.39","0.8","0.0","4.24","0.8","3.39","0.0","0.0","0.0","0.0","36.12","36.6","152.0","76.0","115.88","115.4","0.0","","2015.0","4.0","7709.0","140.05","115.4","2918.69619423"
"2014.0","10.0","8.0","281.0","7709.0","0.37","0.8","0.0","4.92","0.8","3.94","0.0","0.0","0.0","0.0","0.0","36.6","152.0","76.0","152.0","115.4","40.05","","2015.0","5.0","7709.0","157.44","125.93","3185.02089895"
"2014.0","10.0","9.0","282.0","7709.0","0.36","0.8","0.0","4.33","0.8","3.46","0.0","0.0","0.0","0.0","3.46","36.6","152.0","76.0","148.54","115.4","0.0","","2015.0","6.0","7709.0","206.92","165.55","4187.08973097"
"2014.0","10.0","10.0","283.0","7709.0","0.34","0.8","0.0","3.75","0.8","3.0","0.0","0.0","0.0","0.0","6.46","36.6","152.0","76.0","145.54","115.4","0.0","","2015.0","7.0","7709.0","214.06","171.26","4331.507021"
"2014.0","10.0","11.0","284.0","7709.0","0.33","0.8","0.0","3.53","0.8","2.82","0.0","0.0","0.0","0.0","9.29","36.6","152.0","76.0","142.71","115.4","0.0","","2015.0","8.0","7709.0","194.99","155.95","3944.28658136"
"2014.0","10.0","12.0","285.0","7709.0","0.32","0.8","0.0","6.45","0.8","5.16","0.0","0.0","0.0","0.0","14.45","36.6","152.0","76.0","137.55","115.4","0.0","","2015.0","9.0","7709.0","149.52","119.61","3025.17549213"
"2014.0","10.0","13.0","286.0","7709.0","0.31","0.8","0.0","4.08","0.8","3.26","0.0","0.0","0.0","0.0","17.71","36.6","152.0","76.0","134.29","115.4","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","7709.0","0.3","0.8","0.0","3.18","0.8","2.54","0.0","0.0","0.0","0.0","20.26","36.6","152.0","76.0","131.74","115.4","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","7709.0","0.3","0.8","0.0","2.39","0.8","1.91","0.15","0.15","0.0","0.0","22.02","36.6","152.0","76.0","129.98","115.4","0.0","","","","","","",""
