" Daily soil water balance output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","7712.0","0.56","0.8","0.0","6.18","0.8","4.94","0.0","0.0","0.0","0.0","20.71","29.45","120.0","60.0","99.29","90.55","0.0","","2014.0","10.0","7712.0","103.42","82.76","2093.98005249"
"2014.0","10.0","2.0","275.0","7712.0","0.52","0.8","0.0","4.2","0.8","3.36","0.0","0.0","0.0","0.0","24.07","29.45","120.0","60.0","95.93","90.55","0.0","","2014.0","11.0","7712.0","43.39","44.41","1123.65459318"
"2014.0","10.0","3.0","276.0","7712.0","0.48","0.8","0.0","4.14","0.8","3.31","0.0","0.0","0.0","0.0","27.39","29.45","120.0","60.0","92.61","90.55","0.0","","2014.0","12.0","7712.0","32.08","35.1","888.094488189"
"2014.0","10.0","4.0","277.0","7712.0","0.45","0.8","0.0","4.18","0.8","3.34","0.0","0.0","0.0","0.0","0.0","29.45","120.0","60.0","120.0","90.55","30.73","","2015.0","1.0","7712.0","33.25","26.62","673.534908136"
"2014.0","10.0","5.0","278.0","7712.0","0.43","0.8","0.0","4.06","0.8","3.25","0.0","0.0","0.0","0.0","3.25","29.45","120.0","60.0","116.75","90.55","0.0","","2015.0","2.0","7712.0","56.91","49.09","1242.0671916"
"2014.0","10.0","6.0","279.0","7712.0","0.41","0.8","0.0","4.12","0.8","3.3","0.0","0.0","0.0","0.0","6.54","29.45","120.0","60.0","113.46","90.55","0.0","","2015.0","3.0","7712.0","104.95","85.93","2174.18687664"
"2014.0","10.0","7.0","280.0","7712.0","0.39","0.8","0.0","4.25","0.8","3.4","0.0","0.0","0.0","0.0","9.94","29.45","120.0","60.0","110.06","90.55","0.0","","2015.0","4.0","7712.0","140.99","116.96","2959.30288714"
"2014.0","10.0","8.0","281.0","7712.0","0.37","0.8","0.0","4.81","0.8","3.85","0.0","0.0","0.0","0.0","13.79","29.45","120.0","60.0","106.21","90.55","0.0","","2015.0","5.0","7712.0","160.57","128.44","3249.767979"
"2014.0","10.0","9.0","282.0","7712.0","0.35","0.8","0.0","4.33","0.8","3.46","0.0","0.0","0.0","0.0","17.26","29.45","120.0","60.0","102.74","90.55","0.0","","2015.0","6.0","7712.0","209.56","167.65","4241.85301837"
"2014.0","10.0","10.0","283.0","7712.0","0.34","0.8","0.0","3.77","0.8","3.02","0.0","0.0","0.0","0.0","20.27","29.45","120.0","60.0","99.73","90.55","0.0","","2015.0","7.0","7712.0","216.77","173.43","4388.0976378"
"2014.0","10.0","11.0","284.0","7712.0","0.33","0.8","0.0","3.53","0.8","2.82","0.0","0.0","0.0","0.0","23.1","29.45","120.0","60.0","96.9","90.55","0.0","","2015.0","8.0","7712.0","196.26","157.0","3972.38845144"
"2014.0","10.0","12.0","285.0","7712.0","0.32","0.8","0.0","6.72","0.8","5.38","0.0","0.0","0.0","0.0","28.47","29.45","120.0","60.0","91.53","90.55","0.0","","2015.0","9.0","7712.0","150.85","120.66","3052.91968504"
"2014.0","10.0","13.0","286.0","7712.0","0.31","0.8","0.0","4.16","0.8","3.33","0.0","0.0","0.0","0.0","0.0","29.45","120.0","60.0","120.0","90.55","31.8","","","","","","",""
"2014.0","10.0","14.0","287.0","7712.0","0.3","0.8","0.0","3.14","0.8","2.51","0.0","0.0","0.0","0.0","2.51","29.45","120.0","60.0","117.49","90.55","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","7712.0","0.3","0.8","0.0","2.28","0.8","1.82","1.75","1.75","0.0","0.0","2.59","29.45","120.0","60.0","117.41","90.55","0.0","","","","","","",""
