" Daily soil water balance output for Potatoes in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Potatoes in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","36.0","0.56","0.0","0.0","6.18","0.56","3.48","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","2014.0","10.0","36.0","103.42","36.03","4.25551181102","0.0","0.0"
"2014.0","10.0","2.0","275.0","36.0","0.52","0.0","0.0","4.2","0.52","2.17","0.0","0.0","0.0","0.0","22.42","20.25","162.0","81.0","139.58","141.75","0.0","","2014.0","11.0","36.0","43.39","42.98","5.07637795276","0.0","0.0"
"2014.0","10.0","3.0","276.0","36.0","0.48","0.0","0.0","4.14","0.48","1.99","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","2014.0","12.0","36.0","32.08","34.9","4.12204724409","0.0","0.0"
"2014.0","10.0","4.0","277.0","36.0","0.45","0.0","0.0","4.18","0.45","1.89","0.0","0.0","0.0","0.0","22.14","20.25","162.0","81.0","139.86","141.75","0.0","","2015.0","1.0","36.0","33.25","17.16","2.02677165354","0.0","0.0"
"2014.0","10.0","5.0","278.0","36.0","0.43","0.0","0.0","4.06","0.43","1.73","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","2015.0","2.0","36.0","56.91","36.39","4.29803149606","0.0","0.0"
"2014.0","10.0","6.0","279.0","36.0","0.41","0.0","0.0","4.12","0.41","1.67","0.0","0.0","0.0","0.0","21.92","20.25","162.0","81.0","140.08","141.75","0.0","","2015.0","3.0","36.0","104.95","49.39","5.83346456693","0.0","0.0"
"2014.0","10.0","7.0","280.0","36.0","0.39","0.0","0.0","4.25","0.39","1.65","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","2015.0","4.0","36.0","140.99","100.01","11.8122047244","68.85","8.13188976378"
"2014.0","10.0","8.0","281.0","36.0","0.37","0.0","0.0","4.81","0.37","1.77","0.0","0.0","0.0","0.0","22.02","20.25","162.0","81.0","139.98","141.75","0.0","","2015.0","5.0","36.0","160.57","136.69","16.144488189","136.72","16.1480314961"
"2014.0","10.0","9.0","282.0","36.0","0.35","0.0","0.0","4.33","0.35","1.54","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","2015.0","6.0","36.0","209.56","223.9","26.4448818898","223.89","26.4437007874"
"2014.0","10.0","10.0","283.0","36.0","0.34","0.0","0.0","3.77","0.34","1.29","0.0","0.0","0.0","0.0","21.54","20.25","162.0","81.0","140.46","141.75","0.0","","2015.0","7.0","36.0","216.77","238.41","28.1586614173","238.45","28.1633858268"
"2014.0","10.0","11.0","284.0","36.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","2015.0","8.0","36.0","196.26","176.87","20.8901574803","176.86","20.888976378"
"2014.0","10.0","12.0","285.0","36.0","0.32","0.0","0.0","6.72","0.32","2.13","0.0","0.0","0.0","0.0","22.38","20.25","162.0","81.0","139.62","141.75","0.0","","2015.0","9.0","36.0","150.85","12.92","1.52598425197","0.0","0.0"
"2014.0","10.0","13.0","286.0","36.0","0.31","0.0","0.0","4.16","0.31","1.28","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","36.0","0.3","0.0","0.0","3.14","0.3","0.95","0.0","0.0","0.0","0.0","21.2","20.25","162.0","81.0","140.8","141.75","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","36.0","0.3","0.0","0.0","2.28","0.3","0.68","1.75","1.75","0.0","0.0","19.45","20.25","162.0","81.0","142.55","141.75","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","36.0","0.29","0.0","0.0","2.67","0.29","0.78","0.08","0.08","0.0","0.0","20.15","20.25","162.0","81.0","141.85","141.75","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","36.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","20.88","20.25","162.0","81.0","141.12","141.75","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","36.0","0.29","0.0","0.0","2.9","0.29","0.83","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","36.0","0.28","0.0","0.0","3.02","0.28","0.85","0.0","0.0","0.0","0.0","21.1","20.25","162.0","81.0","140.9","141.75","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","36.0","0.28","0.0","0.0","2.28","0.28","0.63","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","36.0","0.27","0.0","0.0","2.62","0.27","0.72","0.0","0.0","0.0","0.0","20.97","20.25","162.0","81.0","141.03","141.75","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","36.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","36.0","0.27","0.0","0.0","2.45","0.27","0.66","0.0","0.0","0.0","0.0","20.91","20.25","162.0","81.0","141.09","141.75","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","36.0","0.26","0.0","0.0","2.62","0.26","0.69","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","36.0","0.26","0.0","0.0","2.31","0.26","0.6","0.0","0.0","0.0","0.0","20.85","20.25","162.0","81.0","141.15","141.75","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","36.0","0.26","0.0","0.0","2.62","0.26","0.68","2.42","2.42","0.0","0.0","18.43","20.25","162.0","81.0","143.57","141.75","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","36.0","0.26","0.0","0.0","2.46","0.26","0.63","0.0","0.0","0.0","0.0","19.06","20.25","162.0","81.0","142.94","141.75","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","36.0","0.25","0.0","0.0","2.35","0.25","0.6","0.0","0.0","0.0","0.0","19.66","20.25","162.0","81.0","142.34","141.75","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","36.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","20.26","20.25","162.0","81.0","141.74","141.75","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","36.0","0.25","0.0","0.0","2.55","0.25","0.63","0.0","0.0","0.0","0.0","20.25","20.25","162.0","81.0","141.75","141.75","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","36.0","0.25","0.0","0.0","1.22","0.25","0.3","0.0","0.0","0.0","0.0","20.55","20.25","162.0","81.0","141.45","141.75","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","36.0","1.15","0.0","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","11.04","20.25","162.0","81.0","150.96","141.75","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","36.0","1.14","0.0","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","13.57","20.25","162.0","81.0","148.43","141.75","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","36.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","15.65","20.25","162.0","81.0","146.35","141.75","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","36.0","1.01","0.0","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","17.42","20.25","162.0","81.0","144.58","141.75","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","36.0","0.91","0.0","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","19.02","20.25","162.0","81.0","142.98","141.75","0.0","","","","","","","","",""
