" Daily soil water balance output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","12750.0","0.08","0.8","0.0","5.56","0.8","4.45","0.0","0.0","0.0","0.0","0.0","32.83","136.0","68.0","136.0","103.17","36.61","","2014.0","10.0","12750.0","100.46","80.36","3361.51574803"
"2014.0","10.0","2.0","275.0","12750.0","0.08","0.8","0.0","4.08","0.8","3.26","0.0","0.0","0.0","0.0","3.26","32.83","136.0","68.0","132.74","103.17","0.0","","2014.0","11.0","12750.0","43.94","41.98","1756.05314961"
"2014.0","10.0","3.0","276.0","12750.0","0.08","0.8","0.0","4.13","0.8","3.3","0.0","0.0","0.0","0.0","6.57","32.83","136.0","68.0","129.43","103.17","0.0","","2014.0","12.0","12750.0","32.25","35.33","1477.87893701"
"2014.0","10.0","4.0","277.0","12750.0","0.08","0.8","0.0","4.12","0.8","3.3","0.0","0.0","0.0","0.0","9.86","32.83","136.0","68.0","126.14","103.17","0.0","","2015.0","1.0","12750.0","31.89","25.51","1067.10137795"
"2014.0","10.0","5.0","278.0","12750.0","0.08","0.8","0.0","3.97","0.8","3.18","0.0","0.0","0.0","0.0","13.04","32.83","136.0","68.0","122.96","103.17","0.0","","2015.0","2.0","12750.0","56.06","49.16","2056.3976378"
"2014.0","10.0","6.0","279.0","12750.0","0.08","0.8","0.0","3.97","0.8","3.18","0.0","0.0","0.0","0.0","16.22","32.83","136.0","68.0","119.78","103.17","0.0","","2015.0","3.0","12750.0","102.94","84.52","3535.53149606"
"2014.0","10.0","7.0","280.0","12750.0","0.08","0.8","0.0","4.08","0.8","3.26","0.0","0.0","0.0","0.0","19.48","32.83","136.0","68.0","116.52","103.17","0.0","","2015.0","4.0","12750.0","136.61","114.43","4786.68799213"
"2014.0","10.0","8.0","281.0","12750.0","0.08","0.8","0.0","4.81","0.8","3.85","0.0","0.0","0.0","0.0","23.33","32.83","136.0","68.0","112.67","103.17","0.0","","2015.0","5.0","12750.0","150.49","120.39","5035.99901575"
"2014.0","10.0","9.0","282.0","12750.0","0.08","0.8","0.0","4.12","0.8","3.3","0.0","0.0","0.0","0.0","26.62","32.83","136.0","68.0","109.38","103.17","0.0","","2015.0","6.0","12750.0","196.51","157.2","6575.78740157"
"2014.0","10.0","10.0","283.0","12750.0","0.08","0.8","0.0","3.54","0.8","2.83","0.0","0.0","0.0","0.0","29.46","32.83","136.0","68.0","106.54","103.17","0.0","","2015.0","7.0","12750.0","204.06","163.26","6829.28149606"
"2014.0","10.0","11.0","284.0","12750.0","0.08","0.8","0.0","3.45","0.8","2.76","0.0","0.0","0.0","0.0","32.22","32.83","136.0","68.0","103.78","103.17","0.0","","2015.0","8.0","12750.0","187.5","150.0","6274.60629921"
"2014.0","10.0","12.0","285.0","12750.0","0.08","0.8","0.0","6.01","0.8","4.81","0.0","0.0","0.0","0.0","0.0","32.83","136.0","68.0","136.0","103.17","37.02","","2015.0","9.0","12750.0","144.17","115.32","4823.91732283"
"2014.0","10.0","13.0","286.0","12750.0","0.08","0.8","0.0","3.98","0.8","3.18","0.0","0.0","0.0","0.0","3.18","32.83","136.0","68.0","132.82","103.17","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","12750.0","0.08","0.8","0.0","3.08","0.8","2.46","0.0","0.0","0.0","0.0","5.65","32.83","136.0","68.0","130.35","103.17","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","12750.0","0.08","0.8","0.0","2.4","0.8","1.92","0.0","0.0","0.0","0.0","7.57","32.83","136.0","68.0","128.43","103.17","0.0","","","","","","",""
