" Daily soil water balance output for Turf_farm in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Turf_farm in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","238.0","0.56","0.85","0.0","6.18","0.85","5.25","0.0","0.0","0.0","0.0","0.0","47.26","201.17","100.58","201.17","153.9","50.18","","2014.0","10.0","238.0","103.42","87.91","68.6436351706"
"2014.0","10.0","2.0","275.0","238.0","0.52","0.85","0.0","4.2","0.85","3.57","0.0","0.0","0.0","0.0","3.57","47.26","201.17","100.58","197.6","153.9","0.0","","2014.0","11.0","238.0","43.39","44.98","35.1221784777"
"2014.0","10.0","3.0","276.0","238.0","0.48","0.85","0.0","4.14","0.85","3.52","0.0","0.0","0.0","0.0","7.09","47.26","201.17","100.58","194.08","153.9","0.0","","2014.0","12.0","238.0","32.08","35.35","27.6026902887"
"2014.0","10.0","4.0","277.0","238.0","0.45","0.85","0.0","4.18","0.85","3.55","0.0","0.0","0.0","0.0","10.64","47.26","201.17","100.58","190.53","153.9","0.0","","2015.0","1.0","238.0","33.25","28.27","22.074343832"
"2014.0","10.0","5.0","278.0","238.0","0.43","0.85","0.0","4.06","0.85","3.45","0.0","0.0","0.0","0.0","14.09","47.26","201.17","100.58","187.08","153.9","0.0","","2015.0","2.0","238.0","56.91","51.27","40.0336614173"
"2014.0","10.0","6.0","279.0","238.0","0.41","0.85","0.0","4.12","0.85","3.5","0.0","0.0","0.0","0.0","17.6","47.26","201.17","100.58","183.57","153.9","0.0","","2015.0","3.0","238.0","104.95","90.7","70.8221784777"
"2014.0","10.0","7.0","280.0","238.0","0.39","0.85","0.0","4.25","0.85","3.61","0.0","0.0","0.0","0.0","21.21","47.26","201.17","100.58","179.96","153.9","0.0","","2015.0","4.0","238.0","140.99","123.0","96.0433070866"
"2014.0","10.0","8.0","281.0","238.0","0.37","0.85","0.0","4.81","0.85","4.09","0.0","0.0","0.0","0.0","25.3","47.26","201.17","100.58","175.87","153.9","0.0","","2015.0","5.0","238.0","160.57","136.49","106.57683727"
"2014.0","10.0","9.0","282.0","238.0","0.35","0.85","0.0","4.33","0.85","3.68","0.0","0.0","0.0","0.0","28.98","47.26","201.17","100.58","172.19","153.9","0.0","","2015.0","6.0","238.0","209.56","178.13","139.091010499"
"2014.0","10.0","10.0","283.0","238.0","0.34","0.85","0.0","3.77","0.85","3.2","0.0","0.0","0.0","0.0","32.18","47.26","201.17","100.58","168.99","153.9","0.0","","2015.0","7.0","238.0","216.77","184.26","143.877559055"
"2014.0","10.0","11.0","284.0","238.0","0.33","0.85","0.0","3.53","0.85","3.0","0.0","0.0","0.0","0.0","35.18","47.26","201.17","100.58","165.99","153.9","0.0","","2015.0","8.0","238.0","196.26","166.82","130.259711286"
"2014.0","10.0","12.0","285.0","238.0","0.32","0.85","0.0","6.72","0.85","5.71","0.0","0.0","0.0","0.0","40.89","47.26","201.17","100.58","160.27","153.9","0.0","","2015.0","9.0","238.0","150.85","128.22","100.119291339"
"2014.0","10.0","13.0","286.0","238.0","0.31","0.85","0.0","4.16","0.85","3.54","0.0","0.0","0.0","0.0","44.43","47.26","201.17","100.58","156.74","153.9","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","238.0","0.3","0.85","0.0","3.14","0.85","2.67","0.0","0.0","0.0","0.0","47.1","47.26","201.17","100.58","154.07","153.9","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","238.0","0.3","0.85","0.0","2.28","0.85","1.94","1.75","1.75","0.0","0.0","0.0","47.26","201.17","100.58","201.17","153.9","47.29","","","","","","",""
