" Daily soil water balance output for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","595.0","0.08","0.98","0.0","5.56","0.98","5.44","0.0","0.0","0.0","0.0","112.06","116.59","466.34","233.17","354.28","349.76","0.0","","2014.0","10.0","595.0","100.46","90.76","177.172572178","103.84","202.706036745"
"2014.0","10.0","2.0","275.0","595.0","0.08","0.97","0.0","4.08","0.97","3.97","0.0","0.0","0.0","0.0","116.03","116.59","466.34","233.17","350.31","349.76","0.0","","2014.0","11.0","595.0","43.94","26.21","51.1645341207","23.78","46.4209317585"
"2014.0","10.0","3.0","276.0","595.0","0.08","0.97","0.0","4.13","0.97","3.99","0.0","0.0","0.0","0.0","0.0","116.59","466.34","233.17","466.34","349.76","120.02","","2014.0","12.0","595.0","32.25","35.14","68.5967847769","0.0","0.0"
"2014.0","10.0","4.0","277.0","595.0","0.08","0.96","0.0","4.12","0.96","3.96","0.0","0.0","0.0","0.0","3.96","116.59","466.34","233.17","462.39","349.76","0.0","","2015.0","1.0","595.0","31.89","16.61","32.4243766404","0.0","0.0"
"2014.0","10.0","5.0","278.0","595.0","0.08","0.95","0.0","3.97","0.95","3.79","0.0","0.0","0.0","0.0","7.75","116.59","466.34","233.17","458.6","349.76","0.0","","2015.0","2.0","595.0","56.06","37.9","73.9845800525","0.0","0.0"
"2014.0","10.0","6.0","279.0","595.0","0.08","0.95","0.0","3.97","0.95","3.77","0.0","0.0","0.0","0.0","11.52","116.59","466.34","233.17","454.83","349.76","0.0","","2015.0","3.0","595.0","102.94","49.15","95.9457020997","0.0","0.0"
"2014.0","10.0","7.0","280.0","595.0","0.08","0.94","0.0","4.08","0.94","3.85","0.0","0.0","0.0","0.0","15.36","116.59","466.34","233.17","450.98","349.76","0.0","","2015.0","4.0","595.0","136.61","85.11","166.143208661","97.17","189.685531496"
"2014.0","10.0","8.0","281.0","595.0","0.08","0.94","0.0","4.81","0.94","4.51","0.0","0.0","0.0","0.0","19.87","116.59","466.34","233.17","446.48","349.76","0.0","","2015.0","5.0","595.0","150.49","111.43","217.522473753","121.9","237.960958005"
"2014.0","10.0","9.0","282.0","595.0","0.08","0.93","0.0","4.12","0.93","3.84","0.0","0.0","0.0","0.0","23.7","116.59","466.34","233.17","442.64","349.76","0.0","","2015.0","6.0","595.0","196.51","182.6","356.453412073","193.9","378.512139108"
"2014.0","10.0","10.0","283.0","595.0","0.08","0.93","0.0","3.54","0.93","3.27","0.0","0.0","0.0","0.0","26.98","116.59","466.34","233.17","439.37","349.76","0.0","","2015.0","7.0","595.0","204.06","213.63","417.027066929","214.26","418.256889764"
"2014.0","10.0","11.0","284.0","595.0","0.08","0.92","0.0","3.45","0.92","3.17","0.0","0.0","0.0","0.0","30.15","116.59","466.34","233.17","436.19","349.76","0.0","","2015.0","8.0","595.0","187.5","196.9","384.36843832","196.88","384.329396325"
"2014.0","10.0","12.0","285.0","595.0","0.08","0.91","0.0","6.01","0.91","5.49","0.0","0.0","0.0","0.0","35.64","116.59","466.34","233.17","430.71","349.76","0.0","","2015.0","9.0","595.0","144.17","149.8","292.424540682","151.38","295.508858268"
"2014.0","10.0","13.0","286.0","595.0","0.08","0.91","0.0","3.98","0.91","3.61","0.0","0.0","0.0","0.0","39.25","116.59","466.34","233.17","427.1","349.76","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","595.0","0.08","0.9","0.0","3.08","0.9","2.78","0.0","0.0","0.0","0.0","42.02","116.59","466.34","233.17","424.32","349.76","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","595.0","0.08","0.9","0.0","2.4","0.9","2.15","0.0","0.0","0.0","0.0","44.17","116.59","466.34","233.17","422.17","349.76","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","595.0","0.08","0.89","0.0","2.69","0.89","2.39","0.0","0.0","0.0","0.0","46.56","116.59","466.34","233.17","419.78","349.76","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","595.0","0.08","0.88","0.0","2.49","0.88","2.2","0.0","0.0","0.0","0.0","48.76","116.59","466.34","233.17","417.58","349.76","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","595.0","0.08","0.88","0.0","2.85","0.88","2.5","0.0","0.0","0.0","0.0","51.26","116.59","466.34","233.17","415.08","349.76","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","595.0","0.08","0.87","0.0","2.85","0.87","2.48","0.0","0.0","0.0","0.0","53.75","116.59","466.34","233.17","412.6","349.76","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","595.0","0.08","0.87","0.0","2.16","0.87","1.87","0.0","0.0","0.0","0.0","55.62","116.59","466.34","233.17","410.73","349.76","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","595.0","0.08","0.86","0.0","2.66","0.86","2.29","0.0","0.0","0.0","0.0","57.9","116.59","466.34","233.17","408.44","349.76","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","595.0","0.08","0.85","0.0","2.54","0.85","2.17","0.0","0.0","0.0","0.0","60.07","116.59","466.34","233.17","406.27","349.76","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","595.0","0.08","0.85","0.0","2.49","0.85","2.11","0.0","0.0","0.0","0.0","62.18","116.59","466.34","233.17","404.16","349.76","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","595.0","0.08","0.84","0.0","2.54","0.84","2.14","0.0","0.0","0.0","0.0","64.32","116.59","466.34","233.17","402.02","349.76","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","595.0","0.08","0.84","0.0","2.22","0.84","1.86","0.0","0.0","0.0","0.0","66.18","116.59","466.34","233.17","400.17","349.76","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","595.0","0.08","0.83","0.0","2.66","0.83","2.21","0.87","0.87","0.0","0.0","67.51","116.59","466.34","233.17","398.83","349.76","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","595.0","0.08","0.82","0.0","2.48","0.82","2.04","0.0","0.0","0.0","0.0","69.56","116.59","466.34","233.17","396.79","349.76","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","595.0","0.08","0.82","0.0","2.36","0.82","1.93","0.0","0.0","0.0","0.0","71.49","116.59","466.34","233.17","394.86","349.76","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","595.0","0.08","0.81","0.0","2.44","0.81","1.98","0.0","0.0","0.0","0.0","73.47","116.59","466.34","233.17","392.88","349.76","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","595.0","0.08","0.81","0.0","2.44","0.81","1.97","0.0","0.0","0.0","0.0","75.43","116.59","466.34","233.17","390.91","349.76","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","595.0","0.08","0.8","0.0","1.29","0.8","1.03","0.07","0.07","0.0","0.0","76.4","116.59","466.34","233.17","389.95","349.76","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","595.0","0.08","0.0","0.0","1.83","0.08","0.15","5.22","5.22","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","595.0","0.08","0.0","0.0","2.18","0.08","0.18","0.0","0.0","0.0","0.0","23.13","22.95","466.34","233.17","443.22","443.39","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","595.0","0.08","0.0","0.0","1.8","0.08","0.15","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","595.0","0.08","0.0","0.0","1.75","0.08","0.14","0.0","0.0","0.0","0.0","23.09","22.95","466.34","233.17","443.25","443.39","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","595.0","0.08","0.0","0.0","1.9","0.08","0.15","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
