" Daily soil water balance output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","22.0","0.57","0.0","0.0","5.96","0.57","3.38","0.0","0.0","0.0","0.0","14.22","22.8","185.32","92.66","171.1","162.52","0.0","","2014.0","10.0","22.0","103.02","35.97","2.59625984252","0.0","0.0"
"2014.0","10.0","2.0","275.0","22.0","0.52","0.0","0.0","4.15","0.52","2.16","0.0","0.0","0.0","0.0","16.38","22.8","185.32","92.66","168.94","162.52","0.0","","2014.0","11.0","22.0","43.68","43.33","3.12749343832","0.0","0.0"
"2014.0","10.0","3.0","276.0","22.0","0.48","0.0","0.0","4.14","0.48","2.0","0.0","0.0","0.0","0.0","18.38","22.8","185.32","92.66","166.94","162.52","0.0","","2014.0","12.0","22.0","32.29","36.63","2.6438976378","0.0","0.0"
"2014.0","10.0","4.0","277.0","22.0","0.45","0.0","0.0","4.17","0.45","1.89","0.0","0.0","0.0","0.0","20.27","22.8","185.32","92.66","165.05","162.52","0.0","","2015.0","1.0","22.0","32.29","18.19","1.31292650919","0.0","0.0"
"2014.0","10.0","5.0","278.0","22.0","0.43","0.0","0.0","4.03","0.43","1.73","0.0","0.0","0.0","0.0","22.0","22.8","185.32","92.66","163.32","162.52","0.0","","2015.0","2.0","22.0","56.46","36.47","2.63234908136","0.0","0.0"
"2014.0","10.0","6.0","279.0","22.0","0.41","0.0","0.0","4.09","0.41","1.67","0.0","0.0","0.0","0.0","23.67","22.8","185.32","92.66","161.65","162.52","0.0","","2015.0","3.0","22.0","104.49","49.32","3.55984251969","29.05","2.0967847769"
"2014.0","10.0","7.0","280.0","22.0","0.39","0.0","0.0","4.24","0.39","1.65","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","2015.0","4.0","22.0","140.05","68.86","4.97020997375","84.72","6.11496062992"
"2014.0","10.0","8.0","281.0","22.0","0.37","0.0","0.0","4.92","0.37","1.82","0.0","0.0","0.0","0.0","24.62","22.8","185.32","92.66","160.7","162.52","0.0","","2015.0","5.0","22.0","157.44","49.13","3.54612860892","152.23","10.9877296588"
"2014.0","10.0","9.0","282.0","22.0","0.36","0.0","0.0","4.33","0.36","1.54","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","2015.0","6.0","22.0","206.92","150.56","10.867191601","217.27","15.6822178478"
"2014.0","10.0","10.0","283.0","22.0","0.34","0.0","0.0","3.75","0.34","1.29","0.0","0.0","0.0","0.0","24.09","22.8","185.32","92.66","161.23","162.52","0.0","","2015.0","7.0","22.0","214.06","224.78","16.2242782152","224.56","16.2083989501"
"2014.0","10.0","11.0","284.0","22.0","0.33","0.0","0.0","3.53","0.33","1.18","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","2015.0","8.0","22.0","194.99","199.32","14.3866141732","171.58","12.3843832021"
"2014.0","10.0","12.0","285.0","22.0","0.32","0.0","0.0","6.45","0.32","2.05","0.0","0.0","0.0","0.0","24.85","22.8","185.32","92.66","160.47","162.52","0.0","","2015.0","9.0","22.0","149.52","105.62","7.62349081365","79.95","5.77066929134"
"2014.0","10.0","13.0","286.0","22.0","0.31","0.0","0.0","4.08","0.31","1.26","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","22.0","0.3","0.0","0.0","3.18","0.3","0.96","0.0","0.0","0.0","0.0","23.76","22.8","185.32","92.66","161.55","162.52","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","22.0","0.3","0.0","0.0","2.39","0.3","0.72","0.15","0.15","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","22.0","0.29","0.0","0.0","2.7","0.29","0.8","0.0","0.0","0.0","0.0","23.6","22.8","185.32","92.66","161.72","162.52","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","22.0","0.29","0.0","0.0","2.51","0.29","0.73","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","22.0","0.29","0.0","0.0","2.88","0.29","0.82","0.0","0.0","0.0","0.0","23.62","22.8","185.32","92.66","161.69","162.52","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","22.0","0.28","0.0","0.0","2.97","0.28","0.84","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","22.0","0.28","0.0","0.0","2.25","0.28","0.63","0.0","0.0","0.0","0.0","23.43","22.8","185.32","92.66","161.89","162.52","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","22.0","0.27","0.0","0.0","2.67","0.27","0.73","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","22.0","0.27","0.0","0.0","2.57","0.27","0.7","0.0","0.0","0.0","0.0","23.5","22.8","185.32","92.66","161.82","162.52","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","22.0","0.27","0.0","0.0","2.51","0.27","0.67","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","22.0","0.27","0.0","0.0","2.57","0.27","0.68","0.0","0.0","0.0","0.0","23.48","22.8","185.32","92.66","161.84","162.52","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","22.0","0.26","0.0","0.0","2.27","0.26","0.6","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","22.0","0.26","0.0","0.0","2.66","0.26","0.69","1.25","1.25","0.0","0.0","22.24","22.8","185.32","92.66","163.08","162.52","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","22.0","0.26","0.0","0.0","2.48","0.26","0.64","0.0","0.0","0.0","0.0","22.88","22.8","185.32","92.66","162.44","162.52","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","22.0","0.25","0.0","0.0","2.37","0.25","0.6","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","22.0","0.25","0.0","0.0","2.4","0.25","0.6","0.0","0.0","0.0","0.0","23.4","22.8","185.32","92.66","161.91","162.52","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","22.0","0.25","0.0","0.0","2.51","0.25","0.62","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","22.0","0.25","0.0","0.0","1.29","0.25","0.32","0.01","0.01","0.0","0.0","23.11","22.8","185.32","92.66","162.21","162.52","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","22.0","1.15","0.0","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","16.01","22.8","185.32","92.66","169.31","162.52","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","22.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","18.53","22.8","185.32","92.66","166.79","162.52","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","22.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","20.58","22.8","185.32","92.66","164.74","162.52","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","22.0","1.01","0.0","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","22.35","22.8","185.32","92.66","162.97","162.52","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","22.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","24.0","22.8","185.32","92.66","161.32","162.52","0.0","","","","","","","","",""
