" Daily soil water balance output for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","11322.0","0.56","0.71","0.0","6.18","0.71","4.36","0.0","0.0","0.0","0.0","114.08","125.73","502.92","251.46","388.84","377.19","0.0","","2014.0","10.0","11322.0","103.42","62.72","2329.77637795","62.71","2329.40492126"
"2014.0","10.0","2.0","275.0","11322.0","0.52","0.7","0.0","4.2","0.7","2.93","0.0","0.0","0.0","0.0","117.01","125.73","502.92","251.46","385.91","377.19","0.0","","2014.0","11.0","11322.0","43.39","42.98","1596.52086614","22.9","850.635826772"
"2014.0","10.0","3.0","276.0","11322.0","0.48","0.69","0.0","4.14","0.69","2.85","0.0","0.0","0.0","0.0","119.87","125.73","502.92","251.46","383.05","377.19","0.0","","2014.0","12.0","11322.0","32.08","34.9","1296.38385827","0.0","0.0"
"2014.0","10.0","4.0","277.0","11322.0","0.45","0.68","0.0","4.18","0.68","2.85","0.0","0.0","0.0","0.0","122.71","125.73","502.92","251.46","380.21","377.19","0.0","","2015.0","1.0","11322.0","33.25","17.16","637.419685039","0.0","0.0"
"2014.0","10.0","5.0","278.0","11322.0","0.43","0.67","0.0","4.06","0.67","2.74","0.0","0.0","0.0","0.0","125.45","125.73","502.92","251.46","377.47","377.19","0.0","","2015.0","2.0","11322.0","56.91","36.39","1351.73090551","0.0","0.0"
"2014.0","10.0","6.0","279.0","11322.0","0.41","0.67","0.0","4.12","0.67","2.74","0.0","0.0","0.0","0.0","0.0","125.73","502.92","251.46","502.92","377.19","128.19","","2015.0","3.0","11322.0","104.95","49.39","1834.6246063","0.0","0.0"
"2014.0","10.0","7.0","280.0","11322.0","0.39","0.66","0.0","4.25","0.66","2.8","0.0","0.0","0.0","0.0","2.8","125.73","502.92","251.46","500.12","377.19","0.0","","2015.0","4.0","11322.0","140.99","88.44","3285.16299213","88.44","3285.16299213"
"2014.0","10.0","8.0","281.0","11322.0","0.37","0.65","0.0","4.81","0.65","3.13","0.0","0.0","0.0","0.0","5.92","125.73","502.92","251.46","497.0","377.19","0.0","","2015.0","5.0","11322.0","160.57","116.59","4330.81358268","116.61","4331.55649606"
"2014.0","10.0","9.0","282.0","11322.0","0.35","0.64","0.0","4.33","0.64","2.78","0.0","0.0","0.0","0.0","8.7","125.73","502.92","251.46","494.22","377.19","0.0","","2015.0","6.0","11322.0","209.56","167.65","6227.47145669","167.65","6227.47145669"
"2014.0","10.0","10.0","283.0","11322.0","0.34","0.63","0.0","3.77","0.63","2.39","0.0","0.0","0.0","0.0","11.09","125.73","502.92","251.46","491.83","377.19","0.0","","2015.0","7.0","11322.0","216.77","173.43","6442.1734252","173.42","6441.8019685"
"2014.0","10.0","11.0","284.0","11322.0","0.33","0.63","0.0","3.53","0.63","2.21","0.0","0.0","0.0","0.0","13.3","125.73","502.92","251.46","489.62","377.19","0.0","","2015.0","8.0","11322.0","196.26","157.0","5831.87007874","157.01","5832.24153543"
"2014.0","10.0","12.0","285.0","11322.0","0.32","0.62","0.0","6.72","0.62","4.16","0.0","0.0","0.0","0.0","17.46","125.73","502.92","251.46","485.46","377.19","0.0","","2015.0","9.0","11322.0","150.85","118.4","4398.04724409","118.41","4398.41870079"
"2014.0","10.0","13.0","286.0","11322.0","0.31","0.61","0.0","4.16","0.61","2.54","0.0","0.0","0.0","0.0","20.0","125.73","502.92","251.46","482.92","377.19","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","11322.0","0.3","0.6","0.0","3.14","0.6","1.89","0.0","0.0","0.0","0.0","21.89","125.73","502.92","251.46","481.03","377.19","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","11322.0","0.3","0.59","0.0","2.28","0.59","1.36","1.75","1.75","0.0","0.0","21.5","125.73","502.92","251.46","481.42","377.19","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","11322.0","0.29","0.59","0.0","2.67","0.59","1.57","0.08","0.08","0.0","0.0","22.99","125.73","502.92","251.46","479.93","377.19","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","11322.0","0.29","0.58","0.0","2.51","0.58","1.45","0.0","0.0","0.0","0.0","24.44","125.73","502.92","251.46","478.48","377.19","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","11322.0","0.29","0.57","0.0","2.9","0.57","1.66","0.0","0.0","0.0","0.0","26.09","125.73","502.92","251.46","476.83","377.19","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","11322.0","0.28","0.56","0.0","3.02","0.56","1.7","0.0","0.0","0.0","0.0","27.8","125.73","502.92","251.46","475.12","377.19","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","11322.0","0.28","0.56","0.0","2.28","0.56","1.27","0.0","0.0","0.0","0.0","29.06","125.73","502.92","251.46","473.86","377.19","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","11322.0","0.27","0.55","0.0","2.62","0.55","1.43","0.0","0.0","0.0","0.0","30.5","125.73","502.92","251.46","472.42","377.19","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","11322.0","0.27","0.54","0.0","2.57","0.54","1.39","0.0","0.0","0.0","0.0","31.88","125.73","502.92","251.46","471.04","377.19","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","11322.0","0.27","0.53","0.0","2.45","0.53","1.3","0.0","0.0","0.0","0.0","33.18","125.73","502.92","251.46","469.74","377.19","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","11322.0","0.26","0.52","0.0","2.62","0.52","1.37","0.0","0.0","0.0","0.0","34.56","125.73","502.92","251.46","468.36","377.19","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","11322.0","0.26","0.52","0.0","2.31","0.52","1.19","0.0","0.0","0.0","0.0","35.75","125.73","502.92","251.46","467.17","377.19","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","11322.0","0.26","0.51","0.0","2.62","0.51","1.33","2.42","2.42","0.0","0.0","34.66","125.73","502.92","251.46","468.26","377.19","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","11322.0","0.26","0.5","0.0","2.46","0.5","1.23","0.0","0.0","0.0","0.0","35.89","125.73","502.92","251.46","467.03","377.19","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","11322.0","0.25","0.49","0.0","2.35","0.49","1.16","0.0","0.0","0.0","0.0","37.04","125.73","502.92","251.46","465.88","377.19","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","11322.0","0.25","0.48","0.0","2.4","0.48","1.16","0.0","0.0","0.0","0.0","38.21","125.73","502.92","251.46","464.71","377.19","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","11322.0","0.25","0.48","0.0","2.55","0.48","1.21","0.0","0.0","0.0","0.0","39.42","125.73","502.92","251.46","463.5","377.19","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","11322.0","0.25","0.47","0.0","1.22","0.47","0.57","0.0","0.0","0.0","0.0","39.99","125.73","502.92","251.46","462.93","377.19","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","11322.0","1.15","0.46","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","32.6","125.73","502.92","251.46","470.32","377.19","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","11322.0","1.14","0.45","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","35.13","125.73","502.92","251.46","467.79","377.19","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","11322.0","1.14","0.44","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","37.21","125.73","502.92","251.46","465.71","377.19","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","11322.0","1.01","0.44","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","38.98","125.73","502.92","251.46","463.94","377.19","0.0","","","","","","","","",""
