" Daily soil water balance output for Safflower in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","167.0","0.08","0.0","0.0","5.32","0.08","0.45","0.0","0.0","0.0","0.0","10.34","26.4","375.51","187.76","365.17","349.11","0.0","","2014.0","10.0","167.0","100.62","8.35","4.5749671916","0.0","0.0"
"2014.0","10.0","2.0","275.0","167.0","0.08","0.0","0.0","4.09","0.08","0.35","0.0","0.0","0.0","0.0","10.69","26.4","375.51","187.76","364.83","349.11","0.0","","2014.0","11.0","167.0","44.55","43.74","23.9651574803","0.0","0.0"
"2014.0","10.0","3.0","276.0","167.0","0.08","0.0","0.0","4.19","0.08","0.35","0.0","0.0","0.0","0.0","11.04","26.4","375.51","187.76","364.47","349.11","0.0","","2014.0","12.0","167.0","32.61","35.56","19.4833333333","0.0","0.0"
"2014.0","10.0","4.0","277.0","167.0","0.08","0.0","0.0","4.16","0.08","0.35","0.0","0.0","0.0","0.0","11.39","26.4","375.51","187.76","364.12","349.11","0.0","","2015.0","1.0","167.0","32.17","16.75","9.17732939633","0.0","0.0"
"2014.0","10.0","5.0","278.0","167.0","0.08","0.0","0.0","4.02","0.08","0.34","0.0","0.0","0.0","0.0","11.73","26.4","375.51","187.76","363.78","349.11","0.0","","2015.0","2.0","167.0","56.25","36.44","19.9654855643","0.0","0.0"
"2014.0","10.0","6.0","279.0","167.0","0.08","0.0","0.0","3.98","0.08","0.33","0.0","0.0","0.0","0.0","12.06","26.4","375.51","187.76","363.45","349.11","0.0","","2015.0","3.0","167.0","102.43","50.54","27.6908792651","0.0","0.0"
"2014.0","10.0","7.0","280.0","167.0","0.08","0.0","0.0","4.04","0.08","0.34","0.0","0.0","0.0","0.0","12.4","26.4","375.51","187.76","363.11","349.11","0.0","","2015.0","4.0","167.0","135.2","57.17","31.3234580052","0.0","0.0"
"2014.0","10.0","8.0","281.0","167.0","0.08","0.0","0.0","4.82","0.08","0.4","0.0","0.0","0.0","0.0","12.81","26.4","375.51","187.76","362.71","349.11","0.0","","2015.0","5.0","167.0","148.97","54.35","29.7783792651","31.19","17.0890091864"
"2014.0","10.0","9.0","282.0","167.0","0.08","0.0","0.0","4.07","0.08","0.34","0.0","0.0","0.0","0.0","13.15","26.4","375.51","187.76","362.37","349.11","0.0","","2015.0","6.0","167.0","193.42","107.9","59.1184383202","107.92","59.1293963255"
"2014.0","10.0","10.0","283.0","167.0","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","13.44","26.4","375.51","187.76","362.08","349.11","0.0","","2015.0","7.0","167.0","200.86","209.71","114.900164042","209.73","114.911122047"
"2014.0","10.0","11.0","284.0","167.0","0.08","0.0","0.0","3.42","0.08","0.28","0.0","0.0","0.0","0.0","13.72","26.4","375.51","187.76","361.79","349.11","0.0","","2015.0","8.0","167.0","184.58","141.39","77.4676181102","141.38","77.4621391076"
"2014.0","10.0","12.0","285.0","167.0","0.08","0.0","0.0","5.74","0.08","0.48","0.0","0.0","0.0","0.0","14.2","26.4","375.51","187.76","361.32","349.11","0.0","","2015.0","9.0","167.0","143.41","13.63","7.46788057743","0.0","0.0"
"2014.0","10.0","13.0","286.0","167.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","14.53","26.4","375.51","187.76","360.99","349.11","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","167.0","0.08","0.0","0.0","3.13","0.08","0.26","0.0","0.0","0.0","0.0","14.79","26.4","375.51","187.76","360.73","349.11","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","167.0","0.08","0.0","0.0","2.43","0.08","0.2","0.0","0.0","0.0","0.0","14.99","26.4","375.51","187.76","360.53","349.11","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","167.0","0.08","0.0","0.0","2.72","0.08","0.22","0.0","0.0","0.0","0.0","15.21","26.4","375.51","187.76","360.3","349.11","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","167.0","0.08","0.0","0.0","2.53","0.08","0.21","0.0","0.0","0.0","0.0","15.42","26.4","375.51","187.76","360.09","349.11","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","167.0","0.08","0.0","0.0","2.88","0.08","0.24","0.0","0.0","0.0","0.0","15.66","26.4","375.51","187.76","359.86","349.11","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","167.0","0.08","0.0","0.0","2.84","0.08","0.23","0.0","0.0","0.0","0.0","15.89","26.4","375.51","187.76","359.62","349.11","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","167.0","0.08","0.0","0.0","2.22","0.08","0.18","0.0","0.0","0.0","0.0","16.07","26.4","375.51","187.76","359.44","349.11","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","167.0","0.08","0.0","0.0","2.7","0.08","0.22","0.0","0.0","0.0","0.0","16.3","26.4","375.51","187.76","359.22","349.11","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","167.0","0.08","0.0","0.0","2.55","0.08","0.21","0.0","0.0","0.0","0.0","16.5","26.4","375.51","187.76","359.01","349.11","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","167.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","16.72","26.4","375.51","187.76","358.8","349.11","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","167.0","0.08","0.0","0.0","2.55","0.08","0.21","0.0","0.0","0.0","0.0","16.92","26.4","375.51","187.76","358.59","349.11","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","167.0","0.08","0.0","0.0","2.29","0.08","0.19","0.0","0.0","0.0","0.0","17.11","26.4","375.51","187.76","358.4","349.11","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","167.0","0.08","0.0","0.0","2.69","0.08","0.22","1.42","1.42","0.0","0.0","15.91","26.4","375.51","187.76","359.6","349.11","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","167.0","0.08","0.0","0.0","2.51","0.08","0.21","0.0","0.0","0.0","0.0","16.12","26.4","375.51","187.76","359.4","349.11","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","167.0","0.08","0.0","0.0","2.39","0.08","0.2","0.0","0.0","0.0","0.0","16.31","26.4","375.51","187.76","359.2","349.11","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","167.0","0.08","0.0","0.0","2.5","0.08","0.2","0.0","0.0","0.0","0.0","16.52","26.4","375.51","187.76","359.0","349.11","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","167.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","16.72","26.4","375.51","187.76","358.8","349.11","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","167.0","0.08","0.0","0.0","1.38","0.08","0.11","0.0","0.0","0.0","0.0","16.83","26.4","375.51","187.76","358.69","349.11","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","167.0","1.15","0.0","0.0","1.85","1.15","2.12","8.58","8.58","0.0","0.0","10.37","26.4","375.51","187.76","365.15","349.11","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","167.0","1.14","0.0","0.0","2.15","1.14","2.45","0.0","0.0","0.0","0.0","12.82","26.4","375.51","187.76","362.69","349.11","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","167.0","1.14","0.0","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","14.88","26.4","375.51","187.76","360.64","349.11","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","167.0","1.01","0.0","0.0","1.77","1.01","1.79","0.0","0.0","0.0","0.0","16.66","26.4","375.51","187.76","358.85","349.11","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","167.0","0.9","0.0","0.0","1.98","0.9","1.78","0.0","0.0","0.0","0.0","18.45","26.4","375.51","187.76","357.07","349.11","0.0","","","","","","","","",""
