" Daily soil water balance output for Bush_berries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Bush_berries in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","1176.0","0.08","0.0","0.0","5.64","0.08","0.46","0.0","0.0","0.0","0.0","15.86","21.6","175.56","87.78","159.7","153.96","0.0","","2014.0","10.0","1176.0","104.06","8.38","32.3322834646","0.0","0.0"
"2014.0","10.0","2.0","275.0","1176.0","0.08","0.0","0.0","4.13","0.08","0.34","0.0","0.0","0.0","0.0","16.2","21.6","175.56","87.78","159.36","153.96","0.0","","2014.0","11.0","1176.0","44.11","43.59","168.181889764","0.0","0.0"
"2014.0","10.0","3.0","276.0","1176.0","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","16.54","21.6","175.56","87.78","159.02","153.96","0.0","","2014.0","12.0","1176.0","32.86","35.82","138.203149606","0.0","0.0"
"2014.0","10.0","4.0","277.0","1176.0","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","16.89","21.6","175.56","87.78","158.68","153.96","0.0","","2015.0","1.0","1176.0","31.82","16.64","64.2015748031","0.0","0.0"
"2014.0","10.0","5.0","278.0","1176.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","17.22","21.6","175.56","87.78","158.35","153.96","0.0","","2015.0","2.0","1176.0","55.9","36.29","140.016535433","0.0","0.0"
"2014.0","10.0","6.0","279.0","1176.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","17.56","21.6","175.56","87.78","158.01","153.96","0.0","","2015.0","3.0","1176.0","105.04","49.57","191.254330709","29.15","112.468503937"
"2014.0","10.0","7.0","280.0","1176.0","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","17.91","21.6","175.56","87.78","157.66","153.96","0.0","","2015.0","4.0","1176.0","139.8","75.48","291.222047244","86.51","333.778740157"
"2014.0","10.0","8.0","281.0","1176.0","0.08","0.0","0.0","5.11","0.08","0.41","0.0","0.0","0.0","0.0","18.32","21.6","175.56","87.78","157.24","153.96","0.0","","2015.0","5.0","1176.0","156.12","141.45","545.751968504","151.03","582.714173228"
"2014.0","10.0","9.0","282.0","1176.0","0.08","0.0","0.0","4.37","0.08","0.35","0.0","0.0","0.0","0.0","18.67","21.6","175.56","87.78","156.89","153.96","0.0","","2015.0","6.0","1176.0","205.59","215.88","832.922834646","215.87","832.884251969"
"2014.0","10.0","10.0","283.0","1176.0","0.08","0.0","0.0","3.76","0.08","0.3","0.0","0.0","0.0","0.0","18.98","21.6","175.56","87.78","156.59","153.96","0.0","","2015.0","7.0","1176.0","212.75","213.3","822.968503937","223.19","861.126771654"
"2014.0","10.0","11.0","284.0","1176.0","0.08","0.0","0.0","3.57","0.08","0.29","0.0","0.0","0.0","0.0","19.27","21.6","175.56","87.78","156.3","153.96","0.0","","2015.0","8.0","1176.0","195.07","132.52","511.297637795","171.53","661.808661417"
"2014.0","10.0","12.0","285.0","1176.0","0.08","0.0","0.0","6.1","0.08","0.49","0.0","0.0","0.0","0.0","19.76","21.6","175.56","87.78","155.81","153.96","0.0","","2015.0","9.0","1176.0","149.12","12.91","49.8102362205","79.84","308.044094488"
"2014.0","10.0","13.0","286.0","1176.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","20.08","21.6","175.56","87.78","155.48","153.96","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","1176.0","0.08","0.0","0.0","3.32","0.08","0.27","0.0","0.0","0.0","0.0","20.35","21.6","175.56","87.78","155.21","153.96","0.0","","","","","","981.83","3788.16299213","",""
"2014.0","10.0","15.0","288.0","1176.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","20.55","21.6","175.56","87.78","155.01","153.96","0.0","","","","","","1119.91","4320.91259843","",""
"2014.0","10.0","16.0","289.0","1176.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","20.77","21.6","175.56","87.78","154.79","153.96","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","1176.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","20.98","21.6","175.56","87.78","154.59","153.96","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","1176.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","21.21","21.6","175.56","87.78","154.35","153.96","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","1176.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","21.45","21.6","175.56","87.78","154.12","153.96","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","1176.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","21.64","21.6","175.56","87.78","153.92","153.96","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","1176.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","1176.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","21.81","21.6","175.56","87.78","153.76","153.96","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","1176.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","1176.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","21.81","21.6","175.56","87.78","153.76","153.96","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","1176.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","1176.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","21.05","21.6","175.56","87.78","154.52","153.96","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","1176.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","21.25","21.6","175.56","87.78","154.31","153.96","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","1176.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","21.44","21.6","175.56","87.78","154.12","153.96","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","1176.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","21.64","21.6","175.56","87.78","153.93","153.96","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","1176.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","21.6","21.6","175.56","87.78","153.96","153.96","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","1176.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","21.33","21.6","175.56","87.78","154.23","153.96","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","1176.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","14.68","21.6","175.56","87.78","160.89","153.96","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","1176.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","17.18","21.6","175.56","87.78","158.39","153.96","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","1176.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","19.22","21.6","175.56","87.78","156.34","153.96","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","1176.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","21.0","21.6","175.56","87.78","154.57","153.96","0.0","","","","","","","","",""
