" Daily soil water balance output for Pears in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Pears in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","339.0","0.57","0.92","0.0","6.01","0.92","5.54","0.0","0.0","0.0","0.0","94.02","109.73","438.91","219.46","344.89","329.18","0.0","","2014.0","10.0","339.0","101.46","88.32","98.2299212598","86.99","96.7506889764"
"2014.0","10.0","2.0","275.0","339.0","0.52","0.92","0.0","4.13","0.92","3.79","0.0","0.0","0.0","0.0","97.81","109.73","438.91","219.46","341.11","329.18","0.0","","2014.0","11.0","339.0","43.45","43.15","47.9916338583","0.0","0.0"
"2014.0","10.0","3.0","276.0","339.0","0.49","0.91","0.0","4.1","0.91","3.74","0.0","0.0","0.0","0.0","101.55","109.73","438.91","219.46","337.36","329.18","0.0","","2014.0","12.0","339.0","31.93","34.69","38.5823818898","0.0","0.0"
"2014.0","10.0","4.0","277.0","339.0","0.46","0.91","0.0","4.11","0.91","3.74","0.0","0.0","0.0","0.0","105.28","109.73","438.91","219.46","333.63","329.18","0.0","","2015.0","1.0","339.0","32.71","16.86","18.7517716535","0.0","0.0"
"2014.0","10.0","5.0","278.0","339.0","0.43","0.9","0.0","3.99","0.9","3.61","0.0","0.0","0.0","0.0","108.89","109.73","438.91","219.46","330.02","329.18","0.0","","2015.0","2.0","339.0","56.48","36.24","40.3062992126","0.0","0.0"
"2014.0","10.0","6.0","279.0","339.0","0.41","0.9","0.0","4.02","0.9","3.62","0.0","0.0","0.0","0.0","0.0","109.73","438.91","219.46","438.91","329.18","112.52","","2015.0","3.0","339.0","103.75","60.08","66.8212598425","77.95","86.6963582677"
"2014.0","10.0","7.0","280.0","339.0","0.39","0.9","0.0","4.14","0.9","3.71","0.0","0.0","0.0","0.0","3.71","109.73","438.91","219.46","435.2","329.18","0.0","","2015.0","4.0","339.0","139.25","84.88","94.4039370079","122.48","136.222834646"
"2014.0","10.0","8.0","281.0","339.0","0.37","0.89","0.0","4.75","0.89","4.24","0.0","0.0","0.0","0.0","7.95","109.73","438.91","219.46","430.96","329.18","0.0","","2015.0","5.0","339.0","156.1","125.14","139.181299213","159.85","177.785925197"
"2014.0","10.0","9.0","282.0","339.0","0.36","0.89","0.0","4.2","0.89","3.73","0.0","0.0","0.0","0.0","11.69","109.73","438.91","219.46","427.23","329.18","0.0","","2015.0","6.0","339.0","203.55","207.85","231.171751969","213.73","237.711515748"
"2014.0","10.0","10.0","283.0","339.0","0.35","0.88","0.0","3.66","0.88","3.24","0.0","0.0","0.0","0.0","14.92","109.73","438.91","219.46","423.99","329.18","0.0","","2015.0","7.0","339.0","210.84","221.38","246.21988189","221.38","246.21988189"
"2014.0","10.0","11.0","284.0","339.0","0.34","0.88","0.0","3.47","0.88","3.06","0.0","0.0","0.0","0.0","17.98","109.73","438.91","219.46","420.93","329.18","0.0","","2015.0","8.0","339.0","191.5","201.06","223.61988189","198.69","220.983956693"
"2014.0","10.0","12.0","285.0","339.0","0.32","0.88","0.0","6.52","0.88","5.72","0.0","0.0","0.0","0.0","23.7","109.73","438.91","219.46","415.22","329.18","0.0","","2015.0","9.0","339.0","147.5","145.63","161.970374016","140.51","156.275885827"
"2014.0","10.0","13.0","286.0","339.0","0.31","0.87","0.0","4.07","0.87","3.55","0.0","0.0","0.0","0.0","27.25","109.73","438.91","219.46","411.67","329.18","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","339.0","0.31","0.87","0.0","3.0","0.87","2.61","0.0","0.0","0.0","0.0","29.85","109.73","438.91","219.46","409.06","329.18","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","339.0","0.3","0.86","0.0","2.3","0.86","1.99","0.46","0.46","0.0","0.0","31.38","109.73","438.91","219.46","407.53","329.18","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","339.0","0.3","0.86","0.0","2.65","0.86","2.28","0.27","0.27","0.0","0.0","33.39","109.73","438.91","219.46","405.52","329.18","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","339.0","0.29","0.86","0.0","2.47","0.86","2.12","0.0","0.0","0.0","0.0","35.51","109.73","438.91","219.46","403.41","329.18","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","339.0","0.29","0.85","0.0","2.85","0.85","2.43","0.0","0.0","0.0","0.0","37.94","109.73","438.91","219.46","400.98","329.18","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","339.0","0.28","0.85","0.0","2.92","0.85","2.48","0.0","0.0","0.0","0.0","40.41","109.73","438.91","219.46","398.5","329.18","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","339.0","0.28","0.84","0.0","2.24","0.84","1.89","0.0","0.0","0.0","0.0","42.3","109.73","438.91","219.46","396.61","329.18","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","339.0","0.28","0.84","0.0","2.61","0.84","2.19","0.0","0.0","0.0","0.0","44.5","109.73","438.91","219.46","394.41","329.18","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","339.0","0.27","0.84","0.0","2.54","0.84","2.12","0.0","0.0","0.0","0.0","46.62","109.73","438.91","219.46","392.29","329.18","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","339.0","0.27","0.83","0.0","2.44","0.83","2.03","0.0","0.0","0.0","0.0","48.65","109.73","438.91","219.46","390.26","329.18","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","339.0","0.27","0.83","0.0","2.57","0.83","2.13","0.0","0.0","0.0","0.0","50.78","109.73","438.91","219.46","388.13","329.18","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","339.0","0.26","0.82","0.0","2.26","0.82","1.86","0.0","0.0","0.0","0.0","52.64","109.73","438.91","219.46","386.27","329.18","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","339.0","0.26","0.82","0.0","2.62","0.82","2.15","1.47","1.47","0.0","0.0","53.32","109.73","438.91","219.46","385.59","329.18","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","339.0","0.26","0.82","0.0","2.46","0.82","2.01","0.0","0.0","0.0","0.0","55.33","109.73","438.91","219.46","383.58","329.18","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","339.0","0.26","0.81","0.0","2.33","0.81","1.89","0.0","0.0","0.0","0.0","57.22","109.73","438.91","219.46","381.69","329.18","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","339.0","0.25","0.81","0.0","2.38","0.81","1.92","0.0","0.0","0.0","0.0","59.15","109.73","438.91","219.46","379.77","329.18","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","339.0","0.25","0.8","0.0","2.46","0.8","1.98","0.0","0.0","0.0","0.0","61.12","109.73","438.91","219.46","377.79","329.18","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","339.0","0.25","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","62.08","109.73","438.91","219.46","376.84","329.18","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","339.0","1.15","0.0","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","339.0","1.14","0.0","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","24.12","21.6","438.91","219.46","414.8","417.31","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","339.0","1.14","0.0","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","339.0","1.01","0.0","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","23.35","21.6","438.91","219.46","415.56","417.31","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","339.0","0.91","0.0","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","21.6","21.6","438.91","219.46","417.31","417.31","0.0","","","","","","","","",""
