" Daily soil water balance output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","1407.0","0.08","0.0","0.0","5.64","0.08","0.46","0.0","0.0","0.0","0.0","23.96","29.7","600.92","300.46","576.96","571.22","0.0","","2014.0","10.0","1407.0","104.06","8.38","38.6832677165","0.0","0.0"
"2014.0","10.0","2.0","275.0","1407.0","0.08","0.0","0.0","4.13","0.08","0.34","0.0","0.0","0.0","0.0","24.3","29.7","600.92","300.46","576.62","571.22","0.0","","2014.0","11.0","1407.0","44.11","43.59","201.21761811","0.0","0.0"
"2014.0","10.0","3.0","276.0","1407.0","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","24.64","29.7","600.92","300.46","576.28","571.22","0.0","","2014.0","12.0","1407.0","32.86","35.82","165.35019685","0.0","0.0"
"2014.0","10.0","4.0","277.0","1407.0","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","24.99","29.7","600.92","300.46","575.93","571.22","0.0","","2015.0","1.0","1407.0","31.82","16.64","76.8125984252","0.0","0.0"
"2014.0","10.0","5.0","278.0","1407.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","25.32","29.7","600.92","300.46","575.6","571.22","0.0","","2015.0","2.0","1407.0","55.9","36.29","167.519783465","0.0","0.0"
"2014.0","10.0","6.0","279.0","1407.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","25.66","29.7","600.92","300.46","575.26","571.22","0.0","","2015.0","3.0","1407.0","105.04","49.57","228.822145669","0.0","0.0"
"2014.0","10.0","7.0","280.0","1407.0","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","26.01","29.7","600.92","300.46","574.91","571.22","0.0","","2015.0","4.0","1407.0","139.8","71.08","328.115354331","0.0","0.0"
"2014.0","10.0","8.0","281.0","1407.0","0.08","0.0","0.0","5.11","0.08","0.41","0.0","0.0","0.0","0.0","26.42","29.7","600.92","300.46","574.5","571.22","0.0","","2015.0","5.0","1407.0","156.12","92.96","429.116535433","16.86","77.8281496063"
"2014.0","10.0","9.0","282.0","1407.0","0.08","0.0","0.0","4.37","0.08","0.35","0.0","0.0","0.0","0.0","26.77","29.7","600.92","300.46","574.14","571.22","0.0","","2015.0","6.0","1407.0","205.59","176.99","817.010925197","113.36","523.285826772"
"2014.0","10.0","10.0","283.0","1407.0","0.08","0.0","0.0","3.76","0.08","0.3","0.0","0.0","0.0","0.0","27.08","29.7","600.92","300.46","573.84","571.22","0.0","","2015.0","7.0","1407.0","212.75","24.49","113.049311024","222.14","1025.42972441"
"2014.0","10.0","11.0","284.0","1407.0","0.08","0.0","0.0","3.57","0.08","0.29","0.0","0.0","0.0","0.0","27.37","29.7","600.92","300.46","573.55","571.22","0.0","","2015.0","8.0","1407.0","195.07","18.84","86.9681102362","149.58","690.482480315"
"2014.0","10.0","12.0","285.0","1407.0","0.08","0.0","0.0","6.1","0.08","0.49","0.0","0.0","0.0","0.0","27.86","29.7","600.92","300.46","573.06","571.22","0.0","","2015.0","9.0","1407.0","149.12","12.91","59.5943897638","0.0","0.0"
"2014.0","10.0","13.0","286.0","1407.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","28.18","29.7","600.92","300.46","572.73","571.22","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","1407.0","0.08","0.0","0.0","3.32","0.08","0.27","0.0","0.0","0.0","0.0","28.45","29.7","600.92","300.46","572.47","571.22","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","1407.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","28.65","29.7","600.92","300.46","572.27","571.22","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","1407.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","28.87","29.7","600.92","300.46","572.05","571.22","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","1407.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","29.08","29.7","600.92","300.46","571.84","571.22","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","1407.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","29.31","29.7","600.92","300.46","571.61","571.22","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","1407.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","29.55","29.7","600.92","300.46","571.37","571.22","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","1407.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","29.74","29.7","600.92","300.46","571.18","571.22","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","1407.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","1407.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","29.91","29.7","600.92","300.46","571.01","571.22","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","1407.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","1407.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","29.91","29.7","600.92","300.46","571.01","571.22","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","1407.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","1407.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","29.15","29.7","600.92","300.46","571.77","571.22","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","1407.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","29.35","29.7","600.92","300.46","571.57","571.22","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","1407.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","29.54","29.7","600.92","300.46","571.37","571.22","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","1407.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","29.74","29.7","600.92","300.46","571.18","571.22","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","1407.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","1407.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","29.43","29.7","600.92","300.46","571.48","571.22","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","1407.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","22.78","29.7","600.92","300.46","578.14","571.22","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","1407.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","25.28","29.7","600.92","300.46","575.64","571.22","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","1407.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","27.32","29.7","600.92","300.46","573.6","571.22","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","1407.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","29.1","29.7","600.92","300.46","571.82","571.22","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","1407.0","0.91","0.0","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","30.83","29.7","600.92","300.46","570.09","571.22","0.0","","","","","","","","",""
