" Daily soil water balance output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","1583.0","0.08","0.85","0.0","5.64","0.85","4.79","0.0","0.0","0.0","0.0","4.79","56.87","241.4","120.7","236.61","184.54","0.0","","2014.0","10.0","1583.0","104.06","88.45","459.371227034"
"2014.0","10.0","2.0","275.0","1583.0","0.08","0.85","0.0","4.13","0.85","3.51","0.0","0.0","0.0","0.0","8.3","56.87","241.4","120.7","233.1","184.54","0.0","","2014.0","11.0","1583.0","44.11","45.56","236.619028871"
"2014.0","10.0","3.0","276.0","1583.0","0.08","0.85","0.0","4.17","0.85","3.54","0.0","0.0","0.0","0.0","11.85","56.87","241.4","120.7","229.55","184.54","0.0","","2014.0","12.0","1583.0","32.86","36.24","188.21496063"
"2014.0","10.0","4.0","277.0","1583.0","0.08","0.85","0.0","4.22","0.85","3.59","0.0","0.0","0.0","0.0","15.44","56.87","241.4","120.7","225.97","184.54","0.0","","2015.0","1.0","1583.0","31.82","27.05","140.48605643"
"2014.0","10.0","5.0","278.0","1583.0","0.08","0.85","0.0","4.07","0.85","3.46","0.0","0.0","0.0","0.0","18.9","56.87","241.4","120.7","222.51","184.54","0.0","","2015.0","2.0","1583.0","55.9","50.5","262.275262467"
"2014.0","10.0","6.0","279.0","1583.0","0.08","0.85","0.0","4.12","0.85","3.5","0.0","0.0","0.0","0.0","22.4","56.87","241.4","120.7","219.0","184.54","0.0","","2015.0","3.0","1583.0","105.04","90.83","471.731922572"
"2014.0","10.0","7.0","280.0","1583.0","0.08","0.85","0.0","4.3","0.85","3.66","0.0","0.0","0.0","0.0","26.05","56.87","241.4","120.7","215.35","184.54","0.0","","2015.0","4.0","1583.0","139.8","121.99","633.563549869"
"2014.0","10.0","8.0","281.0","1583.0","0.08","0.85","0.0","5.11","0.85","4.34","0.0","0.0","0.0","0.0","30.4","56.87","241.4","120.7","211.01","184.54","0.0","","2015.0","5.0","1583.0","156.12","132.71","689.238615486"
"2014.0","10.0","9.0","282.0","1583.0","0.08","0.85","0.0","4.37","0.85","3.71","0.0","0.0","0.0","0.0","34.11","56.87","241.4","120.7","207.29","184.54","0.0","","2015.0","6.0","1583.0","205.59","174.76","907.628215223"
"2014.0","10.0","10.0","283.0","1583.0","0.08","0.85","0.0","3.76","0.85","3.2","0.0","0.0","0.0","0.0","37.31","56.87","241.4","120.7","204.1","184.54","0.0","","2015.0","7.0","1583.0","212.75","180.82","939.101246719"
"2014.0","10.0","11.0","284.0","1583.0","0.08","0.85","0.0","3.57","0.85","3.03","0.0","0.0","0.0","0.0","40.34","56.87","241.4","120.7","201.06","184.54","0.0","","2015.0","8.0","1583.0","195.07","165.81","861.145767717"
"2014.0","10.0","12.0","285.0","1583.0","0.08","0.85","0.0","6.1","0.85","5.19","0.0","0.0","0.0","0.0","45.53","56.87","241.4","120.7","195.88","184.54","0.0","","2015.0","9.0","1583.0","149.12","126.76","658.33687664"
"2014.0","10.0","13.0","286.0","1583.0","0.08","0.85","0.0","4.07","0.85","3.46","0.0","0.0","0.0","0.0","48.99","56.87","241.4","120.7","192.42","184.54","0.0","","","","","","",""
"2014.0","10.0","14.0","287.0","1583.0","0.08","0.85","0.0","3.32","0.85","2.82","0.0","0.0","0.0","0.0","51.81","56.87","241.4","120.7","189.59","184.54","0.0","","","","","","",""
"2014.0","10.0","15.0","288.0","1583.0","0.08","0.85","0.0","2.48","0.85","2.11","0.0","0.0","0.0","0.0","53.92","56.87","241.4","120.7","187.49","184.54","0.0","","","","","","",""
