" Daily soil water balance output for Other Deciduous in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Other Deciduous in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","5767.0","0.08","0.0","0.0","5.64","0.08","0.46","0.0","0.0","0.0","0.0","18.5","24.3","345.64","172.82","327.14","321.34","0.0","","2014.0","10.0","5767.0","104.06","8.38","158.554658793","94.12","1780.80721785"
"2014.0","10.0","2.0","275.0","5767.0","0.08","0.0","0.0","4.13","0.08","0.34","0.0","0.0","0.0","0.0","18.84","24.3","345.64","172.82","326.8","321.34","0.0","","2014.0","11.0","5767.0","44.11","43.59","824.749114173","0.0","0.0"
"2014.0","10.0","3.0","276.0","5767.0","0.08","0.0","0.0","4.17","0.08","0.34","0.0","0.0","0.0","0.0","19.18","24.3","345.64","172.82","326.46","321.34","0.0","","2014.0","12.0","5767.0","32.86","35.82","677.736023622","0.0","0.0"
"2014.0","10.0","4.0","277.0","5767.0","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","19.53","24.3","345.64","172.82","326.12","321.34","0.0","","2015.0","1.0","5767.0","31.82","16.64","314.838845144","0.0","0.0"
"2014.0","10.0","5.0","278.0","5767.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","19.86","24.3","345.64","172.82","325.78","321.34","0.0","","2015.0","2.0","5767.0","55.9","36.29","686.628707349","0.0","0.0"
"2014.0","10.0","6.0","279.0","5767.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","20.19","24.3","345.64","172.82","325.45","321.34","0.0","","2015.0","3.0","5767.0","105.04","49.57","937.894324147","67.71","1281.1140748"
"2014.0","10.0","7.0","280.0","5767.0","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","20.54","24.3","345.64","172.82","325.1","321.34","0.0","","2015.0","4.0","5767.0","139.8","85.02","1608.62972441","113.59","2149.19137139"
"2014.0","10.0","8.0","281.0","5767.0","0.08","0.0","0.0","5.11","0.08","0.41","0.0","0.0","0.0","0.0","20.96","24.3","345.64","172.82","324.68","321.34","0.0","","2015.0","5.0","5767.0","156.12","124.63","2358.07483596","145.42","2751.43418635"
"2014.0","10.0","9.0","282.0","5767.0","0.08","0.0","0.0","4.37","0.08","0.35","0.0","0.0","0.0","0.0","21.31","24.3","345.64","172.82","324.33","321.34","0.0","","2015.0","6.0","5767.0","205.59","214.36","4055.82060367","222.79","4215.32129265"
"2014.0","10.0","10.0","283.0","5767.0","0.08","0.0","0.0","3.76","0.08","0.3","0.0","0.0","0.0","0.0","21.62","24.3","345.64","172.82","324.03","321.34","0.0","","2015.0","7.0","5767.0","212.75","240.41","4548.7023294","238.28","4508.40144357"
"2014.0","10.0","11.0","284.0","5767.0","0.08","0.0","0.0","3.57","0.08","0.29","0.0","0.0","0.0","0.0","21.91","24.3","345.64","172.82","323.74","321.34","0.0","","2015.0","8.0","5767.0","195.07","208.03","3936.05318241","218.48","4133.77349081"
"2014.0","10.0","12.0","285.0","5767.0","0.08","0.0","0.0","6.1","0.08","0.49","0.0","0.0","0.0","0.0","22.4","24.3","345.64","172.82","323.25","321.34","0.0","","2015.0","9.0","5767.0","149.12","75.95","1437.01984908","160.11","3029.37785433"
"2014.0","10.0","13.0","286.0","5767.0","0.08","0.0","0.0","4.07","0.08","0.33","0.0","0.0","0.0","0.0","22.72","24.3","345.64","172.82","322.92","321.34","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","5767.0","0.08","0.0","0.0","3.32","0.08","0.27","0.0","0.0","0.0","0.0","22.99","24.3","345.64","172.82","322.65","321.34","0.0","","","","","","1138.69","21544.7021982","",""
"2014.0","10.0","15.0","288.0","5767.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","23.19","24.3","345.64","172.82","322.45","321.34","0.0","","","","","","1394.76","26389.7011811","",""
"2014.0","10.0","16.0","289.0","5767.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","23.41","24.3","345.64","172.82","322.23","321.34","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","5767.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","23.62","24.3","345.64","172.82","322.03","321.34","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","5767.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","23.85","24.3","345.64","172.82","321.79","321.34","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","5767.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","24.09","24.3","345.64","172.82","321.56","321.34","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","5767.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","24.28","24.3","345.64","172.82","321.36","321.34","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","5767.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","24.5","24.3","345.64","172.82","321.14","321.34","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","5767.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","5767.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","24.51","24.3","345.64","172.82","321.14","321.34","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","5767.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","24.3","24.3","345.64","172.82","321.34","321.34","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","5767.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","24.45","24.3","345.64","172.82","321.2","321.34","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","5767.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","23.68","24.3","345.64","172.82","321.97","321.34","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","5767.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","23.88","24.3","345.64","172.82","321.76","321.34","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","5767.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","24.07","24.3","345.64","172.82","321.57","321.34","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","5767.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","24.27","24.3","345.64","172.82","321.38","321.34","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","5767.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","24.47","24.3","345.64","172.82","321.18","321.34","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","5767.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","24.09","24.3","345.64","172.82","321.56","321.34","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","5767.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","17.43","24.3","345.64","172.82","328.21","321.34","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","5767.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","19.93","24.3","345.64","172.82","325.71","321.34","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","5767.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","21.98","24.3","345.64","172.82","323.67","321.34","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","5767.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","23.75","24.3","345.64","172.82","321.89","321.34","0.0","","","","","","","","",""
