" Daily soil water balance output for Other Deciduous in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Other Deciduous in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","271.0","0.56","0.96","0.0","6.18","0.96","5.91","0.0","0.0","0.0","0.0","89.69","105.25","421.01","210.51","331.32","315.76","0.0","","2014.0","10.0","271.0","103.42","92.11","81.8957020997","92.51","82.2513451444"
"2014.0","10.0","2.0","275.0","271.0","0.52","0.95","0.0","4.2","0.95","3.99","0.0","0.0","0.0","0.0","93.69","105.25","421.01","210.51","327.33","315.76","0.0","","2014.0","11.0","271.0","43.39","42.98","38.2138451444","0.0","0.0"
"2014.0","10.0","3.0","276.0","271.0","0.48","0.95","0.0","4.14","0.95","3.91","0.0","0.0","0.0","0.0","97.6","105.25","421.01","210.51","323.41","315.76","0.0","","2014.0","12.0","271.0","32.08","34.9","31.029855643","0.0","0.0"
"2014.0","10.0","4.0","277.0","271.0","0.45","0.94","0.0","4.18","0.94","3.93","0.0","0.0","0.0","0.0","101.53","105.25","421.01","210.51","319.48","315.76","0.0","","2015.0","1.0","271.0","33.25","17.16","15.2570866142","0.0","0.0"
"2014.0","10.0","5.0","278.0","271.0","0.43","0.93","0.0","4.06","0.93","3.8","0.0","0.0","0.0","0.0","0.0","105.25","421.01","210.51","421.01","315.76","105.33","","2015.0","2.0","271.0","56.91","36.39","32.3546259843","0.0","0.0"
"2014.0","10.0","6.0","279.0","271.0","0.41","0.93","0.0","4.12","0.93","3.83","0.0","0.0","0.0","0.0","3.83","105.25","421.01","210.51","417.18","315.76","0.0","","2015.0","3.0","271.0","104.95","49.39","43.9130249344","70.51","62.6909776903"
"2014.0","10.0","7.0","280.0","271.0","0.39","0.92","0.0","4.25","0.92","3.93","0.0","0.0","0.0","0.0","7.76","105.25","421.01","210.51","413.25","315.76","0.0","","2015.0","4.0","271.0","140.99","84.69","75.298523622","113.61","101.011515748"
"2014.0","10.0","8.0","281.0","271.0","0.37","0.92","0.0","4.81","0.92","4.42","0.0","0.0","0.0","0.0","12.18","105.25","421.01","210.51","408.83","315.76","0.0","","2015.0","5.0","271.0","160.57","117.95","104.870242782","146.49","130.245374016"
"2014.0","10.0","9.0","282.0","271.0","0.35","0.91","0.0","4.33","0.91","3.96","0.0","0.0","0.0","0.0","16.14","105.25","421.01","210.51","404.87","315.76","0.0","","2015.0","6.0","271.0","209.56","192.3","170.975393701","222.08","197.453018373"
"2014.0","10.0","10.0","283.0","271.0","0.34","0.91","0.0","3.77","0.91","3.43","0.0","0.0","0.0","0.0","19.57","105.25","421.01","210.51","401.45","315.76","0.0","","2015.0","7.0","271.0","216.77","229.11","203.703444882","244.95","217.786909449"
"2014.0","10.0","11.0","284.0","271.0","0.33","0.9","0.0","3.53","0.9","3.19","0.0","0.0","0.0","0.0","22.76","105.25","421.01","210.51","398.25","315.76","0.0","","2015.0","8.0","271.0","196.26","210.01","186.721489501","221.77","197.177395013"
"2014.0","10.0","12.0","285.0","271.0","0.32","0.9","0.0","6.72","0.9","6.04","0.0","0.0","0.0","0.0","28.8","105.25","421.01","210.51","392.22","315.76","0.0","","2015.0","9.0","271.0","150.85","155.94","138.647440945","158.52","140.941338583"
"2014.0","10.0","13.0","286.0","271.0","0.31","0.89","0.0","4.16","0.89","3.72","0.0","0.0","0.0","0.0","32.51","105.25","421.01","210.51","388.5","315.76","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","271.0","0.3","0.89","0.0","3.14","0.89","2.79","0.0","0.0","0.0","0.0","35.3","105.25","421.01","210.51","385.71","315.76","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","271.0","0.3","0.88","0.0","2.28","0.88","2.01","1.75","1.75","0.0","0.0","35.57","105.25","421.01","210.51","385.45","315.76","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","271.0","0.29","0.88","0.0","2.67","0.88","2.34","0.08","0.08","0.0","0.0","37.83","105.25","421.01","210.51","383.18","315.76","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","271.0","0.29","0.87","0.0","2.51","0.87","2.19","0.0","0.0","0.0","0.0","40.02","105.25","421.01","210.51","380.99","315.76","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","271.0","0.29","0.87","0.0","2.9","0.87","2.52","0.0","0.0","0.0","0.0","42.54","105.25","421.01","210.51","378.48","315.76","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","271.0","0.28","0.86","0.0","3.02","0.86","2.6","0.0","0.0","0.0","0.0","45.14","105.25","421.01","210.51","375.87","315.76","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","271.0","0.28","0.86","0.0","2.28","0.86","1.95","0.0","0.0","0.0","0.0","47.1","105.25","421.01","210.51","373.92","315.76","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","271.0","0.27","0.85","0.0","2.62","0.85","2.23","0.0","0.0","0.0","0.0","49.33","105.25","421.01","210.51","371.69","315.76","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","271.0","0.27","0.85","0.0","2.57","0.85","2.18","0.0","0.0","0.0","0.0","51.5","105.25","421.01","210.51","369.51","315.76","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","271.0","0.27","0.84","0.0","2.45","0.84","2.06","0.0","0.0","0.0","0.0","53.57","105.25","421.01","210.51","367.45","315.76","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","271.0","0.26","0.84","0.0","2.62","0.84","2.19","0.0","0.0","0.0","0.0","55.76","105.25","421.01","210.51","365.26","315.76","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","271.0","0.26","0.83","0.0","2.31","0.83","1.92","0.0","0.0","0.0","0.0","57.68","105.25","421.01","210.51","363.34","315.76","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","271.0","0.26","0.83","0.0","2.62","0.83","2.16","2.42","2.42","0.0","0.0","57.42","105.25","421.01","210.51","363.59","315.76","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","271.0","0.26","0.82","0.0","2.46","0.82","2.02","0.0","0.0","0.0","0.0","59.44","105.25","421.01","210.51","361.57","315.76","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","271.0","0.25","0.82","0.0","2.35","0.82","1.92","0.0","0.0","0.0","0.0","61.36","105.25","421.01","210.51","359.66","315.76","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","271.0","0.25","0.81","0.0","2.4","0.81","1.94","0.0","0.0","0.0","0.0","63.3","105.25","421.01","210.51","357.71","315.76","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","271.0","0.25","0.81","0.0","2.55","0.81","2.05","0.0","0.0","0.0","0.0","65.35","105.25","421.01","210.51","355.66","315.76","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","271.0","0.25","0.8","0.0","1.22","0.8","0.98","0.0","0.0","0.0","0.0","66.33","105.25","421.01","210.51","354.68","315.76","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","271.0","1.15","0.0","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","271.0","1.14","0.0","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","22.78","20.25","421.01","210.51","398.24","400.76","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","271.0","1.14","0.0","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","271.0","1.01","0.0","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","22.02","20.25","421.01","210.51","398.99","400.76","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","271.0","0.91","0.0","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","20.25","20.25","421.01","210.51","400.76","400.76","0.0","","","","","","","","",""
