" Daily soil water balance output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"," mm","acre-ft"
"2014.0","10.0","1.0","274.0","34.0","0.08","0.0","0.0","5.56","0.08","0.47","0.0","0.0","0.0","0.0","24.44","28.05","569.98","284.99","545.54","541.93","0.0","","2014.0","10.0","34.0","100.46","8.3","0.925853018373","0.0","0.0"
"2014.0","10.0","2.0","275.0","34.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","24.78","28.05","569.98","284.99","545.19","541.93","0.0","","2014.0","11.0","34.0","43.94","26.21","2.92368766404","0.0","0.0"
"2014.0","10.0","3.0","276.0","34.0","0.08","0.0","0.0","4.13","0.08","0.35","0.0","0.0","0.0","0.0","25.13","28.05","569.98","284.99","544.85","541.93","0.0","","2014.0","12.0","34.0","32.25","35.14","3.91981627297","0.0","0.0"
"2014.0","10.0","4.0","277.0","34.0","0.08","0.0","0.0","4.12","0.08","0.35","0.0","0.0","0.0","0.0","25.47","28.05","569.98","284.99","544.5","541.93","0.0","","2015.0","1.0","34.0","31.89","16.61","1.85282152231","0.0","0.0"
"2014.0","10.0","5.0","278.0","34.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","25.81","28.05","569.98","284.99","544.17","541.93","0.0","","2015.0","2.0","34.0","56.06","37.9","4.22769028871","0.0","0.0"
"2014.0","10.0","6.0","279.0","34.0","0.08","0.0","0.0","3.97","0.08","0.33","0.0","0.0","0.0","0.0","26.14","28.05","569.98","284.99","543.84","541.93","0.0","","2015.0","3.0","34.0","102.94","49.15","5.48261154856","0.0","0.0"
"2014.0","10.0","7.0","280.0","34.0","0.08","0.0","0.0","4.08","0.08","0.34","0.0","0.0","0.0","0.0","26.48","28.05","569.98","284.99","543.5","541.93","0.0","","2015.0","4.0","34.0","136.61","72.68","8.10734908136","0.0","0.0"
"2014.0","10.0","8.0","281.0","34.0","0.08","0.0","0.0","4.81","0.08","0.4","0.0","0.0","0.0","0.0","26.88","28.05","569.98","284.99","543.1","541.93","0.0","","2015.0","5.0","34.0","150.49","46.31","5.16581364829","46.32","5.16692913386"
"2014.0","10.0","9.0","282.0","34.0","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","27.22","28.05","569.98","284.99","542.76","541.93","0.0","","2015.0","6.0","34.0","196.51","160.52","17.9057742782","160.5","17.9035433071"
"2014.0","10.0","10.0","283.0","34.0","0.08","0.0","0.0","3.54","0.08","0.29","0.0","0.0","0.0","0.0","27.51","28.05","569.98","284.99","542.46","541.93","0.0","","2015.0","7.0","34.0","204.06","214.28","23.9026246719","214.26","23.9003937008"
"2014.0","10.0","11.0","284.0","34.0","0.08","0.0","0.0","3.45","0.08","0.29","0.0","0.0","0.0","0.0","27.8","28.05","569.98","284.99","542.18","541.93","0.0","","2015.0","8.0","34.0","187.5","136.45","15.2208005249","136.45","15.2208005249"
"2014.0","10.0","12.0","285.0","34.0","0.08","0.0","0.0","6.01","0.08","0.5","0.0","0.0","0.0","0.0","28.29","28.05","569.98","284.99","541.68","541.93","0.0","","2015.0","9.0","34.0","144.17","12.83","1.431167979","0.0","0.0"
"2014.0","10.0","13.0","286.0","34.0","0.08","0.0","0.0","3.98","0.08","0.33","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2014.0","10.0","14.0","287.0","34.0","0.08","0.0","0.0","3.08","0.08","0.25","0.0","0.0","0.0","0.0","28.3","28.05","569.98","284.99","541.67","541.93","0.0","","","","","","","","",""
"2014.0","10.0","15.0","288.0","34.0","0.08","0.0","0.0","2.4","0.08","0.2","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2014.0","10.0","16.0","289.0","34.0","0.08","0.0","0.0","2.69","0.08","0.22","0.0","0.0","0.0","0.0","28.27","28.05","569.98","284.99","541.71","541.93","0.0","","","","","","","","",""
"2014.0","10.0","17.0","290.0","34.0","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2014.0","10.0","18.0","291.0","34.0","0.08","0.0","0.0","2.85","0.08","0.23","0.0","0.0","0.0","0.0","28.28","28.05","569.98","284.99","541.69","541.93","0.0","","","","","","","","",""
"2014.0","10.0","19.0","292.0","34.0","0.08","0.0","0.0","2.85","0.08","0.23","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2014.0","10.0","20.0","293.0","34.0","0.08","0.0","0.0","2.16","0.08","0.18","0.0","0.0","0.0","0.0","28.23","28.05","569.98","284.99","541.75","541.93","0.0","","","","","","","","",""
"2014.0","10.0","21.0","294.0","34.0","0.08","0.0","0.0","2.66","0.08","0.22","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2014.0","10.0","22.0","295.0","34.0","0.08","0.0","0.0","2.54","0.08","0.21","0.0","0.0","0.0","0.0","28.26","28.05","569.98","284.99","541.72","541.93","0.0","","","","","","","","",""
"2014.0","10.0","23.0","296.0","34.0","0.08","0.0","0.0","2.49","0.08","0.2","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2014.0","10.0","24.0","297.0","34.0","0.08","0.0","0.0","2.54","0.08","0.21","0.0","0.0","0.0","0.0","28.26","28.05","569.98","284.99","541.72","541.93","0.0","","","","","","","","",""
"2014.0","10.0","25.0","298.0","34.0","0.08","0.0","0.0","2.22","0.08","0.18","0.0","0.0","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2014.0","10.0","26.0","299.0","34.0","0.08","0.0","0.0","2.66","0.08","0.22","0.87","0.87","0.0","0.0","27.4","28.05","569.98","284.99","542.58","541.93","0.0","","","","","","","","",""
"2014.0","10.0","27.0","300.0","34.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","27.6","28.05","569.98","284.99","542.38","541.93","0.0","","","","","","","","",""
"2014.0","10.0","28.0","301.0","34.0","0.08","0.0","0.0","2.36","0.08","0.19","0.0","0.0","0.0","0.0","27.79","28.05","569.98","284.99","542.19","541.93","0.0","","","","","","","","",""
"2014.0","10.0","29.0","302.0","34.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","27.99","28.05","569.98","284.99","541.99","541.93","0.0","","","","","","","","",""
"2014.0","10.0","30.0","303.0","34.0","0.08","0.0","0.0","2.44","0.08","0.2","0.0","0.0","0.0","0.0","28.19","28.05","569.98","284.99","541.79","541.93","0.0","","","","","","","","",""
"2014.0","10.0","31.0","304.0","34.0","0.08","0.0","0.0","1.29","0.08","0.1","0.07","0.07","0.0","0.0","28.05","28.05","569.98","284.99","541.93","541.93","0.0","","","","","","","","",""
"2014.0","11.0","1.0","305.0","34.0","0.08","0.0","0.0","1.83","0.08","0.15","5.22","5.22","0.0","0.0","22.98","28.05","569.98","284.99","547.0","541.93","0.0","","","","","","","","",""
"2014.0","11.0","2.0","306.0","34.0","0.08","0.0","0.0","2.18","0.08","0.18","0.0","0.0","0.0","0.0","23.15","28.05","569.98","284.99","546.82","541.93","0.0","","","","","","","","",""
"2014.0","11.0","3.0","307.0","34.0","0.08","0.0","0.0","1.8","0.08","0.15","0.0","0.0","0.0","0.0","23.3","28.05","569.98","284.99","546.68","541.93","0.0","","","","","","","","",""
"2014.0","11.0","4.0","308.0","34.0","0.08","0.0","0.0","1.75","0.08","0.14","0.0","0.0","0.0","0.0","23.44","28.05","569.98","284.99","546.53","541.93","0.0","","","","","","","","",""
"2014.0","11.0","5.0","309.0","34.0","0.08","0.0","0.0","1.9","0.08","0.15","0.0","0.0","0.0","0.0","23.6","28.05","569.98","284.99","546.38","541.93","0.0","","","","","","","","",""
